format,arithmetic_type,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
bf16_e8m7,fp32,gemv,dense,thread_packet,4,1,dense/thread_packet/x4/native_scalar,native_scalar,0.024984493848121375,1
bf16_e8m7,fp32,gemv,dense,thread_packet,4,2,dense/thread_packet/x4/native_packed,native_packed,0.024988827580540329,1
bf16_e8m7,fp32,gemv,dense,thread_packet,4,3,dense/thread_packet/x4/direct_branchy,direct_branchy,0.025626895492101755,0
bf16_e8m7,fp32,gemv,dense,thread_packet,4,4,dense/thread_packet/x4/subnormal_lut_shared,subnormal_lut_shared,0.033442857821700755,0
bf16_e8m7,fp32,gemv,dense,thread_packet,4,5,dense/thread_packet/x4/subnormal_lut_global,subnormal_lut_global,0.039142415462478902,0
bf16_e8m7,fp32,gemv,dense,thread_packet,4,6,dense/thread_packet/x4/prefix_lut_global,prefix_lut_global,0.045558589696884158,0
bf16_e8m7,fp32,gemv,dense,thread_packet,4,7,dense/thread_packet/x4/prefix_lut_shared,prefix_lut_shared,0.045645332925922266,0
bf16_e8m7,fp32,gemv,dense,thread_packet,8,1,dense/thread_packet/x8/native_scalar,native_scalar,0.032167880014441479,1
bf16_e8m7,fp32,gemv,dense,thread_packet,8,2,dense/thread_packet/x8/native_packed,native_packed,0.032177483132803636,1
bf16_e8m7,fp32,gemv,dense,thread_packet,8,3,dense/thread_packet/x8/direct_branchy,direct_branchy,0.03225498641359395,0
bf16_e8m7,fp32,gemv,dense,thread_packet,8,4,dense/thread_packet/x8/subnormal_lut_shared,subnormal_lut_shared,0.0359502894277791,0
bf16_e8m7,fp32,gemv,dense,thread_packet,8,5,dense/thread_packet/x8/subnormal_lut_global,subnormal_lut_global,0.038426198578668913,0
bf16_e8m7,fp32,gemv,dense,thread_packet,8,6,dense/thread_packet/x8/prefix_lut_global,prefix_lut_global,0.043732563290027303,0
bf16_e8m7,fp32,gemv,dense,thread_packet,8,7,dense/thread_packet/x8/prefix_lut_shared,prefix_lut_shared,0.045259580158051989,0
bf16_e8m7,fp32,gemv,padded,scalar,1,1,padded/scalar/x1/generic,generic,0.019517344549366329,1
bf16_e8m7,fp32,gemv,padded,scalar,1,2,padded/scalar/x1/direct_branchy,direct_branchy,0.019534264493273924,1
bf16_e8m7,fp32,gemv,padded,scalar,1,3,padded/scalar/x1/native_scalar,native_scalar,0.020484125634252878,0
bf16_e8m7,fp32,gemv,padded,scalar,1,4,padded/scalar/x1/subnormal_lut_shared,subnormal_lut_shared,0.031663526945093071,0
bf16_e8m7,fp32,gemv,padded,scalar,1,5,padded/scalar/x1/subnormal_lut_global,subnormal_lut_global,0.035239380045583121,0
bf16_e8m7,fp32,gemv,padded,scalar,1,6,padded/scalar/x1/prefix_lut_shared,prefix_lut_shared,0.036202047538260264,0
bf16_e8m7,fp32,gemv,padded,scalar,1,7,padded/scalar/x1/prefix_lut_global,prefix_lut_global,0.039729444877687606,0
bf16_e8m7,fp32,gemv,padded,thread_packet,2,1,padded/thread_packet/x2/direct_branchy,direct_branchy,0.016103216746284277,1
bf16_e8m7,fp32,gemv,padded,thread_packet,2,2,padded/thread_packet/x2/native_packed,native_packed,0.016264590542280126,1
bf16_e8m7,fp32,gemv,padded,thread_packet,2,3,padded/thread_packet/x2/native_scalar,native_scalar,0.016297912430427115,0
bf16_e8m7,fp32,gemv,padded,thread_packet,2,4,padded/thread_packet/x2/subnormal_lut_shared,subnormal_lut_shared,0.025212021263102846,0
bf16_e8m7,fp32,gemv,padded,thread_packet,2,5,padded/thread_packet/x2/subnormal_lut_global,subnormal_lut_global,0.027931415931486979,0
