distribution,benchmark_format,component,n,m,strategy,decode_kind,table_location,unpack,lanes,median_time_ms,speedup_vs_fp64,cv_percent
normal_0_1,e1m14,dot,134217728,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.15796017139515978,3.1880508107986594,0.1123795451074124
uniform_0_1,e1m14,dot,4096,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.004430163124833448,0.9805101664750349,0.08474573946334811
uniform_0_1,e1m14,dot,65536,1,e1_integer_x1,e1_integer,none,shift_mask,1,0.004728147018713298,0.9840593506679814,0.032840797037706745
uniform_0_1,e1m14,dot,1048576,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.006691634787748545,1.4063637983183412,0.23290595428843305
uniform_0_1,e1m14,dot,16777216,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.029650249634401864,2.4562020597235423,0.10097385633901496
uniform_0_1,e1m14,dot,134217728,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.15736612360528174,3.1967574394005314,0.09793629266517324
normal_0_1,e1m14,gemv,256,1024,e1_integer_x1,e1_integer,none,shift_mask,1,0.0033602712921628956,0.9972755245438136,0.43537363617046293
normal_0_1,e1m14,gemv,1024,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.004255887403048918,1.003119523568295,0.22690219752632199
normal_0_1,e1m14,gemv,4096,1024,e1_integer_x8,e1_integer,none,shift_mask,8,0.007823004023728822,0.9888183537943355,0.1324440995824181
normal_0_1,e1m14,gemv,16384,1024,e1_integer_x8,e1_integer,none,shift_mask,8,0.022543871844256366,1.9302742169520382,0.1822759605597601
normal_0_1,e1m14,gemv,65536,1024,e1_integer_x8,e1_integer,none,shift_mask,8,0.08183568783020706,1.8358106747690928,0.14761682033195928
uniform_0_1,e1m14,gemv,256,1024,e1_integer_x1,e1_integer,none,shift_mask,1,0.003371685926417849,0.9941178492330589,0.5387338087765721
uniform_0_1,e1m14,gemv,1024,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.004255015124100417,1.0035203083598427,0.2391855497486742
uniform_0_1,e1m14,gemv,4096,1024,e1_integer_x8,e1_integer,none,shift_mask,8,0.007822551289383245,0.9897175208457669,0.15456862413591202
uniform_0_1,e1m14,gemv,16384,1024,e1_integer_x8,e1_integer,none,shift_mask,8,0.02253347058450022,1.932028575452189,0.14800420504015682
uniform_0_1,e1m14,gemv,65536,1024,e1_integer_x8,e1_integer,none,shift_mask,8,0.08180729018317329,1.8368592585953056,0.12593189341911856
normal_0_1,e1m30,dot,4096,1,e1_integer_x2,e1_integer,none,shift_mask,2,0.004390131185558596,0.9894071303577842,0.023523283533063592
normal_0_1,e1m30,dot,65536,1,e1_integer_x1,e1_integer,none,shift_mask,1,0.0047369267657417675,0.9831837435832,0.007007124367737677
normal_0_1,e1m30,dot,1048576,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.006893719536118494,1.3671223322523087,0.15876694188001184
normal_0_1,e1m30,dot,16777216,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.04136395454406738,1.7709793872333082,0.10336804089372426
normal_0_1,e1m30,dot,134217728,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.25510888180490265,1.9744312467561775,0.10743168087155726
uniform_0_1,e1m30,dot,4096,1,e1_integer_x2,e1_integer,none,shift_mask,2,0.004398666247933521,0.9874689078316913,0.05219750135115305
uniform_0_1,e1m30,dot,65536,1,e1_integer_x1,e1_integer,none,shift_mask,1,0.0047356673762722935,0.9831828388772553,0.007372565871851302
uniform_0_1,e1m30,dot,1048576,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.006897837822509199,1.3665359262327987,0.17177461299529193
uniform_0_1,e1m30,dot,16777216,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.04094161249656045,1.7787187165983787,0.06806082013626422
uniform_0_1,e1m30,dot,134217728,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.25475742857334976,1.9756100428537373,0.04926136512916031
normal_0_1,e1m30,gemv,256,1024,e1_integer_x2,e1_integer,none,shift_mask,2,0.0033486539521199667,1.0009249609308184,0.1785702242975187
normal_0_1,e1m30,gemv,1024,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.004174509853853799,1.0261337506891195,0.15091753408983571
normal_0_1,e1m30,gemv,4096,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.007543044769718038,1.0348840784937992,0.09369133851860234
normal_0_1,e1m30,gemv,16384,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.024010775639460635,1.8144715498207256,0.25913803301847044
normal_0_1,e1m30,gemv,65536,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.08131366244630317,1.847393692364014,0.33779039480468454
uniform_0_1,e1m30,gemv,256,1024,e1_integer_x2,e1_integer,none,shift_mask,2,0.0033464143946438413,1.001523328249265,0.21367467570721696
uniform_0_1,e1m30,gemv,1024,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.0041736638160229855,1.021032272475329,0.16089210959025696
uniform_0_1,e1m30,gemv,4096,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.0075429256875716635,1.02845605163277,0.09804980811801045
uniform_0_1,e1m30,gemv,16384,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.023971693625069637,1.816289392626787,0.16381763011939138
uniform_0_1,e1m30,gemv,65536,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.08094094308574548,1.8559245497675316,0.2772740686957432
normal_0_1,e1m6,dot,4096,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.004438469823407586,0.9786252369601747,0.010845340447453722
normal_0_1,e1m6,dot,65536,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.0047308782467970975,0.9842241068775424,0.006268264674737678
normal_0_1,e1m6,dot,1048576,1,e1_integer_x8,e1_integer,none,shift_mask,8,0.006407645670572917,1.4704846094376254,0.04869668092972253
normal_0_1,e1m6,dot,16777216,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.023939900087792804,3.0601248772546197,0.11344519999137993
normal_0_1,e1m6,dot,134217728,1,full_high_global_x8,full_high_lut,global,shift_mask,8,0.13544465845281428,3.719273496335212,0.13906796248820588
uniform_0_1,e1m6,dot,4096,1,e1_integer_x4,e1_integer,none,shift_mask,4,0.004430472994194857,0.9803450806694405,0.05175068844528348
uniform_0_1,e1m6,dot,65536,1,e1_integer_x1,e1_integer,none,shift_mask,1,0.004696934209393628,0.9904462683689734,0.04903896466203599
uniform_0_1,e1m6,dot,1048576,1,full_high_global_x8,full_high_lut,global,shift_mask,8,0.0062094213073156474,1.517128957991648,0.05890256766305155
uniform_0_1,e1m6,dot,16777216,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.019120228596222706,3.8090110477616985,0.1328611064156822
uniform_0_1,e1m6,dot,134217728,1,full_high_shared_x8,full_high_lut,shared,shift_mask,8,0.10207386539406972,4.931309826816518,0.04272337756471028
normal_0_1,e1m6,gemv,256,1024,e1_integer_x1,e1_integer,none,shift_mask,1,0.00334930064193917,1.0005860458515774,0.22933388949161124
normal_0_1,e1m6,gemv,1024,1024,e1_integer_x4,e1_integer,none,shift_mask,4,0.004166819731022212,1.0234565783690488,0.2630589459153378
normal_0_1,e1m6,gemv,4096,1024,full_high_global_x4,full_high_lut,global,shift_mask,4,0.0072047249291858125,1.072140412776374,0.1673400151985387
normal_0_1,e1m6,gemv,16384,1024,full_high_shared_x4,full_high_lut,shared,shift_mask,4,0.018853459658322635,2.3098717301841503,0.16882287058881368
