format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
e0m1,gemv,normal_0_1,full_high_global_x8,8,5,1.5605122015358435,6.8,0,0.13468009115933466
e0m1,gemv,normal_0_1,pair_l2_x8,8,5,1.5305490323171556,10.8,0,0.13042748177793506
e0m1,gemv,normal_0_1,full_high_global_x4,4,5,1.460929941608819,7.0,0,0.15125898460260814
e0m1,gemv,normal_0_1,full_high_shared_x4,4,5,1.442466010482302,13.6,0,0.10100181754758553
e0m1,gemv,normal_0_1,word_masked_x8,8,5,1.4007294509141386,12.4,0,0.12985893909597143
e0m1,gemv,normal_0_1,word_branchy_x8,8,5,1.3999859391611569,13.0,0,0.1358709679227025
e0m1,gemv,normal_0_1,word_branchy_x4,4,5,1.3544272757950817,9.0,0,0.26593335855863937
e0m1,gemv,normal_0_1,word_masked_x4,4,5,1.351629739145562,9.2,1,0.27471613081820356
e0m1,gemv,normal_0_1,fixed_integer_x8,8,5,1.3114987725606626,16.2,0,0.06204110952126667
e0m1,gemv,normal_0_1,byte_quad_shared_x4,4,5,1.3093705162931584,15.0,0,0.21476938872804827
e0m1,gemv,normal_0_1,fixed_integer_x4,4,5,1.2689186438562092,12.8,0,0.13643294735762918
e0m1,gemv,normal_0_1,byte_quad_l2_x4,4,5,1.2624088357417218,16.2,0,0.10841616500217051
e0m1,gemv,normal_0_1,full_high_warp_x4,4,5,1.1448692680994688,18.6,0,0.10833150449420598
e0m1,gemv,normal_0_1,full_high_warp_x8,8,5,1.1159961100083202,23.4,0,0.16447932090952722
e0m1,gemv,normal_0_1,byte_quad_shared_x8,8,5,1.0904419928930404,24.6,0,0.3203849132808762
e0m1,gemv,normal_0_1,pair_l2_x2,2,5,1.0827631191914455,18.0,0,0.16620459035369844
e0m1,gemv,normal_0_1,pair_shared_x2,2,5,1.0655651339252539,21.4,0,0.0508697679384872
e0m1,gemv,normal_0_1,full_high_global_x2,2,5,1.0488868789865384,20.8,0,0.18727132831519525
e0m1,gemv,normal_0_1,full_high_shared_x2,2,5,1.0462444834399462,21.4,0,0.130918420115496
e0m1,gemv,normal_0_1,byte_quad_l2_x8,8,5,0.9876197123930716,27.2,0,0.09242262940465146
e0m1,gemv,normal_0_1,word_masked_x2,2,5,0.9827313972615039,21.0,0,0.11829740777410513
e0m1,gemv,normal_0_1,word_branchy_x2,2,5,0.982534759800893,22.0,0,0.15143552814869835
e0m1,gemv,normal_0_1,fixed_integer_x2,2,5,0.9599748940806911,23.6,0,0.22329332700260104
e0m1,gemv,normal_0_1,full_high_global_x1,1,5,0.9334759263593918,24.2,0,0.22286547954605818
e0m1,gemv,normal_0_1,full_high_shared_x1,1,5,0.9183491576406525,27.0,0,0.20086149119194402
e0m1,gemv,normal_0_1,fp32_bits_x4,4,5,0.8860694349536948,29.8,0,0.11297755254927189
e0m1,gemv,normal_0_1,full_high_warp_x2,2,5,0.8427554091850887,31.0,0,0.2063639406535047
e0m1,gemv,normal_0_1,word_masked_x1,1,5,0.8263250023544624,27.0,0,0.20519656749033538
e0m1,gemv,normal_0_1,word_branchy_x1,1,5,0.8261173479594156,27.2,0,0.2112110259570286
e0m1,gemv,normal_0_1,fp32_bits_x8,8,5,0.8112194436981498,32.6,0,0.14754776738139166
e0m1,gemv,normal_0_1,fixed_integer_x1,1,5,0.7989475211259024,29.2,0,0.21073189367548728
e0m1,gemv,normal_0_1,fp32_bits_x2,2,5,0.7404757332692231,33.4,0,0.1682350803269223
e0m1,gemv,normal_0_1,full_high_warp_x1,1,5,0.6991520403002047,36.0,0,0.2010836115274816
e0m1,gemv,normal_0_1,generic_x4,4,5,0.6799051244904121,38.0,0,0.10362975895443545
e0m1,gemv,normal_0_1,generic_x8,8,5,0.6412166752200856,38.6,0,0.12876909635475514
