distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,16777216,15,0.02577296312708054,0.02573278872636113,0.025791708570327202,3.252586309056976e-05,0.025717314142380317,0.02581068547102657,33554432.0,67108864.0,33554432.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,4096,15,0.005507229932872804,0.0055068894697262,0.005507594226080259,4.275254481267421e-07,0.005506374881976551,0.005522129619434174,8192.0,16384.0,8192.0
normal_0_1,dot,bf16_e8m7,16,bf16,scalar_unrolled,8,1,65536,15,0.0055593258233239806,0.0055590903093367065,0.005559723752404227,2.9239557721317394e-07,0.005558594834380949,0.005560674038030169,131072.0,262144.0,131072.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,1048576,15,0.006165623474121093,0.006164761606852214,0.006169361114501953,3.0039469401041408e-06,0.006161288452148438,0.006172313435872396,2097152.0,4194304.0,1048576.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,134217728,15,0.25745409626071736,0.25739932464340987,0.25749586396298163,5.26137271170124e-05,0.25729952020160224,0.2576905751632432,268435456.0,536870912.0,134217728.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,16777216,15,0.03890999427974691,0.038905191048007104,0.03891922724153603,5.682205718116062e-06,0.03887682483961937,0.03894074093890875,33554432.0,67108864.0,16777216.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,4096,15,0.005318894174312113,0.005318682893753984,0.005319167651021311,2.3434205234564714e-07,0.005318002929091162,0.005319800793862541,8192.0,16384.0,4096.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,2,1,65536,15,0.005319710697036192,0.0053194487238504805,0.005319849726665451,1.5442629894540233e-07,0.005319201917533415,0.005320235103009695,131072.0,262144.0,65536.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,1048576,15,0.005975325819604975,0.005973269614419133,0.0059777149672810915,2.4640721411417835e-06,0.0059707469920338005,0.00598047030207766,2097152.0,4194304.0,524288.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,134217728,15,0.1569121712132504,0.15686500950863486,0.1569392856798674,3.8397939581602536e-05,0.156848837199964,0.15705735056023848,268435456.0,536870912.0,67108864.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,16777216,15,0.026536998358074736,0.02653279739607202,0.026551299920961176,1.1680290463694787e-05,0.026518406148729377,0.026576804049188198,33554432.0,67108864.0,8388608.0
