gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,4,138412032,256,0,0,946,0.013699145448132246,540672,540672,138412032,0,10103698257972.086,39.467571320203461,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,8,134217728,1,0,0,223,0.06563429554481677,134217728,134217728,134217728,0,2044932864531.9688,2044.9328645319688,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,4,2214592512,4096,0,0,96,0.15455533067385355,0,0,0,4429185024,14328800581283.654,0,28657.601162567309
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,4,134217728,1,0,0,127,0.11835162095197542,134217728,134217728,134217728,0,1134059059946.9922,1134.0590599469922,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_single,1,134217728,1,0,0,38,0.40195452539544357,134217728,134217728,134217728,0,333912717783.07849,333.91271778307851,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,2,69206016,256,0,0,1209,0.01022094256430248,270336,270336,69206016,0,6771001359669.8955,26.449224061210529,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,2,134217728,1,0,0,71,0.212600331910899,134217728,67108864,134217728,0,631314762275.39832,631.31476227539827,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_unrolled,4,134217728,1,0,0,132,0.11106521433049982,134217728,134217728,134217728,0,1208458731287.4092,1208.4587312874091,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,2,69206016,256,0,1,1430,0.0083136671906584633,270336,270336,69206016,0,8324366902461.8125,32.517058212741453,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,2,134217728,1,0,1,71,0.21251200286435409,134217728,134217728,134217728,0,631577163599.88782,631.57716359988785,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_single,1,134217728,1,0,1,38,0.40163451746890422,134217728,134217728,134217728,0,334178767417.29889,334.1787674172989,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,4,2214592512,4096,0,1,96,0.15497300028800964,0,0,0,4429185024,14290182856912.428,0,28580.365713824856
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,4,138412032,256,0,1,1066,0.011776600277669882,540672,540672,138412032,0,11753140018044.852,45.910703195487699,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,2,134217728,1,0,1,73,0.20628164892327294,134217728,134217728,134217728,0,650652778376.43555,650.65277837643555,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,1,34603008,256,0,1,1434,0.0081677436828613281,135168,135168,34603008,0,4236544306919.0259,16.549001198902445,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,2,1107296256,4096,0,1,119,0.12396208178095457,0,0,0,2214592512,8932540016201.3418,0,17865.080032402682
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,8,134217728,1,0,1,226,0.066159290550029379,134217728,16777216,134217728,0,2028705672085.542,2028.7056720855419,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,vector_packet,4,134217728,1,0,1,131,0.11425612355006561,134217728,33554432,134217728,0,1174709274476.5444,1174.7092744765444,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,2,134217728,1,0,1,73,0.20642279272210107,134217728,67108864,134217728,0,650207887559.646,650.207887559646,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,8,134217728,1,0,1,223,0.065601579811540953,134217728,134217728,134217728,0,2045952679578.4231,2045.9526795784232,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_unrolled,4,134217728,1,0,1,132,0.11095660383051092,134217728,134217728,134217728,0,1209641637959.8374,1209.6416379598375,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,vector_packet,8,134217728,1,0,1,244,0.061192786107297802,134217728,16777216,0,0,2193358670818.7698,2193.35867081877,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,2,69206016,256,0,1,1209,0.010213902412711143,270336,270336,69206016,0,6775668417770.8135,26.467454756917242,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,4,134217728,1,0,1,134,0.11141659608527796,134217728,134217728,0,0,1204647536505.873,1204.6475365058729,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,vector_packet,2,134217728,1,0,1,73,0.20586608207389101,134217728,67108864,134217728,0,651966203698.50708,651.96620369850712,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,1,553648128,4096,0,1,149,0.098646765587313862,0,0,0,1107296256,5612430622572.79,0,11224.861245145579
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,2,134217728,1,0,1,73,0.205447889354131,134217728,134217728,0,0,653293292143.04358,653.29329214304357,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,4,2214592512,4096,0,1,130,0.11308554135836088,0,0,0,4429185024,19583339173149.441,0,39166.678346298882
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,8,276824064,256,0,1,591,0.022873339515853856,1081344,1081344,276824064,0,12102476938626.695,47.275300541510532,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_unrolled,2,134217728,1,0,1,73,0.20622071827927682,134217728,134217728,134217728,0,650845022362.07935,650.84502236207936,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_single,1,134217728,1,0,1,38,0.40204883876599762,134217728,134217728,134217728,0,333834387911.55927,333.83438791155925,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,8,276824064,256,0,1,713,0.018446586576785478,1081344,1081344,276824064,0,15006790706112.287,58.620276195751124,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,8,4429185024,4096,0,1,71,0.20916821923054441,0,0,0,8858370048,21175229393324.656,0,42350.458786649309
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,1,553648128,4096,0,1,149,0.098607895358296851,0,0,0,1107296256,5614642985617.8467,0,11229.285971235693
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,scalar_unrolled,8,134217728,1,0,1,224,0.065456858703068319,134217728,134217728,134217728,0,2050476155735.6628,2050.4761557356628,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp64,register_resident,4,138412032,256,0,1,946,0.013702866390946047,540672,540672,138412032,0,10100954650733.043,39.45685410442595,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_single,1,134217728,1,0,1,37,0.41205795391185862,134217728,134217728,134217728,0,325725366361.23248,325.72536636123249,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,2,69206016,256,0,1,1310,0.009492616435043684,270336,270336,69206016,0,7290510100514.9297,28.478555080136445,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,vector_packet,4,134217728,1,0,1,138,0.10785599722378496,134217728,33554432,0,0,1244415994054.7249,1244.4159940547249,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,8,276824064,256,0,1,856,0.015429943521446157,1081344,1081344,276824064,0,17940704942648.742,70.080878682221652,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,4,2214592512,4096,0,1,90,0.16440782546997071,0,0,0,4429185024,13470116192276.371,0,26940.232384552743
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,vector_packet,8,134217728,1,0,1,213,0.067852168016030751,134217728,16777216,134217728,0,1978090485897.0715,1978.0904858970716,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,8,4429185024,4096,0,1,49,0.307535677540059,0,0,0,8858370048,14402182730239.691,0,28804.365460479381
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,8,134217728,1,0,1,185,0.079394938494708092,134217728,134217728,134217728,0,1690507361611.5464,1690.5073616115465,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,8,134217728,1,0,1,220,0.066515346006913625,134217728,134217728,0,0,2017846046926.5146,2017.8460469265146,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,1,34603008,256,0,1,1400,0.0084245259421212339,135168,135168,34603008,0,4107413074365.4897,16.044582321740194,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,8,4429185024,4096,0,1,89,0.16518004556720176,0,0,0,8858370048,26814286246204.195,0,53628.572492408392
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,2,1107296256,4096,0,1,149,0.098650842705028968,0,0,0,2214592512,11224397335468,0,22448.794670936
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp16,register_resident,4,138412032,256,0,1,1267,0.0094737682929637405,540672,540672,138412032,0,14610029263941.355,57.070426812270917,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,4,134217728,1,0,1,123,0.12056949274326728,134217728,33554432,134217728,0,1113198081423.4192,1113.1980814234191,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp16,scalar_unrolled,4,134217728,1,0,1,134,0.11077707205245745,134217728,134217728,134217728,0,1211602053685.283,1211.602053685283,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_single,1,134217728,1,0,1,38,0.40199156811362818,134217728,134217728,0,0,333881948394.65289,333.88194839465291,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,2,134217728,1,0,1,71,0.21266523549254512,134217728,67108864,134217728,0,631122090496.56799,631.12209049656803,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,8,134217728,1,0,1,189,0.078047661554245723,134217728,16777216,134217728,0,1719689294043.9246,1719.6892940439245,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,1,34603008,256,0,1,1144,0.0081779298248824545,135168,135168,34603008,0,4231267416200.5747,16.528388344533496,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,vector_packet,2,134217728,1,0,1,73,0.20502093066907909,134217728,67108864,0,0,654653783698.98547,654.65378369898542,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,1,553648128,4096,0,1,143,0.10325862644435642,0,0,0,1107296256,5361761501818.4229,0,10723.523003636845
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,2,1107296256,4096,0,1,114,0.12999860027380156,0,0,0,2214592512,8517755219424.0957,0,17035.510438848192
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,scalar_unrolled,4,134217728,1,0,1,127,0.11828233313372755,134217728,134217728,134217728,0,1134723372832.4941,1134.7233728324941,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,4,134217728,1,0,1,132,0.1125915122754646,134217728,33554432,134217728,0,1192076785252.0271,1192.0767852520271,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp64,vector_packet,4,134217728,1,0,2,123,0.12038582127268721,134217728,33554432,134217728,0,1114896476853.2168,1114.8964768532169,0
