gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,8,276824064,256,0,1,593,0.023121375458638543,2162688,1081344,276824064,0,11972646890977.836,93.536303835764343,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,8,4429185024,4096,0,1,88,0.16752327572215686,0,0,0,8858370048,26439221683713.707,0,52878.443367427411
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,1,553648128,4096,0,1,147,0.098475319998604913,0,0,0,1107296256,5622201867512.0166,0,11244.403735024032
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_unrolled,2,134217728,1,0,1,71,0.2127909861819845,268435456,134217728,0,0,630749123391.97229,1261.4982467839445,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,4,2214592512,4096,0,1,91,0.16404008341359569,0,0,0,4429185024,13500313252196.59,0,27000.626504393178
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,vector_packet,2,134217728,1,0,1,71,0.21114501147203044,268435456,67108864,0,0,635666109581.65735,1271.3322191633147,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,4,2214592512,4096,0,1,130,0.1132509525005634,0,0,0,4429185024,19554736301127.207,0,39109.472602254413
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_unrolled,8,134217728,1,0,1,158,0.09229265889034996,268435456,134217728,134217728,0,1454262230752.9346,2908.5244615058691,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_single,1,134217728,1,0,1,37,0.4062114664026209,268435456,134217728,134217728,0,330413440045.45807,660.82688009091612,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,1,34603008,256,0,1,1359,0.0086073640341965737,270336,135168,34603008,0,4020163183818.437,31.40752487358154,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,4,134217728,1,0,1,125,0.11728819274902344,268435456,33554432,134217728,0,1144341342927.8669,2288.6826858557338,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,2,69206016,256,0,1,1375,0.0086075342351740053,540672,270336,69206016,0,8040167382337.5703,62.813807674512269,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_single,1,134217728,1,0,1,37,0.40513211327630122,268435456,134217728,0,0,331293727654.86786,662.58745530973567,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_unrolled,4,134217728,1,0,1,125,0.11829529571533202,268435456,134217728,134217728,0,1134599031925.8679,2269.1980638517357,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,2,1107296256,4096,0,1,114,0.13009038724397359,0,0,0,2214592512,8511745406087.2227,0,17023.490812174445
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,1,34603008,256,0,1,1404,0.008359566712990785,270336,135168,34603008,0,4139330325126.4023,32.338518165050019,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,2,69206016,256,0,1,1175,0.010275622428731715,540672,270336,69206016,0,6734970701774.0098,52.616958607609455,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_unrolled,8,134217728,1,0,1,172,0.085134700287220089,268435456,134217728,134217728,0,1576533746488.6567,3153.0674929773136,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,8,276824064,256,0,1,735,0.018368130638485865,2162688,1081344,276824064,0,15070889327190.639,117.74132286867686,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,bf16,register_resident,4,138412032,256,0,1,1285,0.0096184526436059858,1081344,540672,138412032,0,14390259756803.141,112.42390435002454,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,8,134217728,1,0,1,184,0.079065042993296752,268435456,16777216,134217728,0,1697560931085.2986,3395.1218621705971,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_single,1,134217728,1,0,1,37,0.41397708171122782,268435456,134217728,134217728,0,324215358601.96332,648.43071720392663,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,1,553648128,4096,0,1,143,0.1036741816914165,0,0,0,1107296256,5340270055353.9863,0,10680.540110707972
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_unrolled,2,134217728,1,0,1,68,0.21887953141156366,268435456,134217728,134217728,0,613203651956.0509,1226.4073039121017,0
