distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,useful_flops,logical_storage_bytes,modeled_load_instructions,report,kernel_role,kernel_name,block_size,grid_size,duration_ns,dram_read_bytes,dram_write_bytes,instructions,fp32_add_instructions,fp32_mul_instructions,fp32_fma_instructions,fp64_add_instructions,fp64_mul_instructions,fp64_fma_instructions,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,achieved_occupancy_percent,eligible_warps_per_scheduler,long_scoreboard_stall_percent,math_pipe_throttle_percent,mio_throttle_percent,registers_per_thread,shared_memory_bytes,duration_ms
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_single,1,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 0, 1>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",125920.0,134370816.0,2447104.0,34375680.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,39.28,43.55,17.93,96.55,0.59,nan,nan,nan,18.0,1536.0,0.12592
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_unrolled,2,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 1, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",72736.0,134362624.0,2423040.0,21850112.0,0.0,0.0,0.0,0.0,0.0,0.0,40.81,44.1,71.77,5.86,93.44,0.86,nan,nan,nan,18.0,1536.0,0.072736
normal_0_1,gemv,bf16_e8m7,16,bf16,vector_packet,2,1024,65536,1.34218e+08,1.34349e+08,6.71089e+07,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 2, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",72896.0,134362112.0,2440704.0,21850112.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75,51.36,43.55,6.0,95.19,0.97,nan,nan,nan,17.0,1536.0,0.072896
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_unrolled,4,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 1, 4>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",60288.0,134365440.0,2446592.0,15058944.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28,43.06,85.88,6.73,95.93,0.65,nan,nan,nan,23.0,1536.0,0.060287999999999994
normal_0_1,gemv,bf16_e8m7,16,bf16,vector_packet,4,1024,65536,1.34218e+08,1.34349e+08,3.35544e+07,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 2, 4>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",47136.0,134361856.0,2493440.0,13494272.0,0.0,0.0,0.0,0.0,0.0,0.0,62.97,46.86,43.54,4.87,92.41,0.97,nan,nan,nan,22.0,1536.0,0.047136
normal_0_1,gemv,bf16_e8m7,16,bf16,scalar_unrolled,8,1024,65536,1.34218e+08,1.34349e+08,1.34218e+08,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 1, 8>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",108128.0,134452992.0,2421248.0,11697152.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51,23.02,92.43,10.85,85.48,0.36,nan,nan,nan,32.0,1536.0,0.108128
normal_0_1,gemv,bf16_e8m7,16,bf16,vector_packet,8,1024,65536,1.34218e+08,1.34349e+08,1.67772e+07,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void gemv<bf16_e8m7, 1, 2, 8>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",39840.0,134361600.0,2685952.0,10116096.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,47.33,43.53,4.43,98.66,0.84,nan,nan,nan,24.0,1536.0,0.03984
normal_0_1,gemv,bf16_e8m7,16,bf16,packed_arithmetic,2,1024,65536,1.34218e+08,1.34349e+08,6.71089e+07,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void packed_arithmetic_gemv<bf16_e8m7, 2>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",71232.0,134365696.0,2497280.0,17500160.0,0.0,0.0,0.0,0.0,0.0,0.0,41.72,36.45,43.55,5.44,93.97,0.63,nan,nan,nan,16.0,1536.0,0.071232
normal_0_1,gemv,bf16_e8m7,16,bf16,packed_arithmetic,4,1024,65536,1.34218e+08,1.34349e+08,3.35544e+07,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void packed_arithmetic_gemv<bf16_e8m7, 4>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",47264.0,134363136.0,2404352.0,10700800.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8,32.68,71.77,4.86,95.49,0.6,nan,nan,nan,19.0,1536.0,0.047264
normal_0_1,gemv,bf16_e8m7,16,bf16,packed_arithmetic,8,1024,65536,1.34218e+08,1.34349e+08,1.67772e+07,bf16/bf16/gemv/bf16_bf16_gemv_20260810T181143Z_ncu_raw.csv,main,"void packed_arithmetic_gemv<bf16_e8m7, 8>(const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, const conditional<total_bits<8, unsigned char, codec<T1>::storage_type>::type *, unsigned long, unsigned long, unsigned long, double *)","(256, 1, 1)","(1024, 1, 1)",54592.0,134363648.0,2664448.0,7333888.0,0.0,0.0,0.0,0.0,0.0,0.0,54.47,24.31,85.89,6.12,96.61,0.3,nan,nan,nan,25.0,1536.0,0.054591999999999995
