distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,modeled_conversions
normal_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,4,138412032.0,256.0,15,0.009604464747376125,0.009598575980546671,0.009612728140310181,6.36445682528769e-06,0.009588195690653662,0.009629511125774124,0.0,1081344.0,540672.0,138412032.0
normal_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,8,276824064.0,256.0,15,0.018324103066831913,0.01826335442512798,0.01833415512392775,1.4478260227171469e-05,0.018218928180441733,0.01839469695297373,0.0,2162688.0,1081344.0,276824064.0
normal_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,1,34603008.0,256.0,15,0.008360405894567898,0.008358075041556902,0.00836442094063215,2.82523384683743e-06,0.008319999997978968,0.00836584513638281,0.0,270336.0,135168.0,34603008.0
normal_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,2,69206016.0,256.0,15,0.01026957105882097,0.010268264084365895,0.010281755585875055,3.4063169271642685e-06,0.010265689478455598,0.010290402390382472,0.0,540672.0,270336.0,69206016.0
normal_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,4,138412032.0,256.0,15,0.014163718934644732,0.014153526017540378,0.014166122988650673,7.192293802896557e-06,0.014109368909869278,0.014243684316936293,0.0,1081344.0,540672.0,138412032.0
normal_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,8,276824064.0,256.0,15,0.023122146295570155,0.023120679353412832,0.023162757601519392,2.2279386407073054e-06,0.023113181109339354,0.02318190880663731,0.0,2162688.0,1081344.0,276824064.0
normal_0_1,register_decode,fp32_e8m23,32,fp32,register_resident,1,34603008.0,256.0,15,0.008520776884896414,0.008495234421321324,0.008563245705195836,2.7473994663781975e-05,0.008489348547799246,0.008581462587629046,0.0,540672.0,135168.0,34603008.0
normal_0_1,register_decode,fp32_e8m23,32,fp32,register_resident,2,69206016.0,256.0,15,0.00958989194767204,0.009582011999484307,0.009608658844839312,1.2454872359773245e-05,0.009573533149536498,0.009626323591449304,0.0,1081344.0,270336.0,69206016.0
normal_0_1,register_decode,fp32_e8m23,32,fp32,register_resident,4,138412032.0,256.0,15,0.01201950062259374,0.011991201572820916,0.012028299229158778,1.034947137228473e-05,0.011972053952500825,0.012036207312585754,0.0,2162688.0,540672.0,138412032.0
normal_0_1,register_decode,fp32_e8m23,32,fp32,register_resident,8,276824064.0,256.0,15,0.016946251068882007,0.016943839327174814,0.01695340722050499,2.77356286743774e-06,0.01693680418196635,0.016964944762800208,0.0,4325376.0,1081344.0,276824064.0
