distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,hbm_floor_ms,stream_load_scaled_component_ms,stream_decode_scaled_component_ms,register_decode_scaled_component_ms,arithmetic_chain_scaled_component_ms,note
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,65536,0.005374727855856802,6.148333195596934e-05,0.00011657875031232833,0.00011554786876317054,9.095137071378906e-06,3.3493807196339247e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,1048576,0.006665779363428033,0.0009837333112955094,0.0013524736577307272,0.0013317441524461258,0.00013881896262751448,3.908526917499324e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,134217728,0.15311866998672485,0.1259178638458252,0.17311662818953308,0.1704632515131041,0.017768827216321854,0.0050029144543991344,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,16777216,0.025336184543845928,0.01573973298072815,0.021639578523691635,0.021307906439138012,0.0022211034020402317,0.0006253643067998918,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,4096,0.00549881833458915,3.842708247248084e-06,5.283100225510653e-06,5.202125595492679e-06,5.422615727637284e-07,1.5267683271481734e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,65536,0.005549788183856139,6.148333195596934e-05,8.452960360817045e-05,8.323400952788286e-05,8.676185164219655e-06,2.4428293234370774e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,1048576,0.006174072771441212,0.0009837333112955094,0.003299464852037564,0.0033034155486335215,0.00026077583670287754,9.336933048124936e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,134217728,0.2571398636390423,0.1259178638458252,0.4223315010608082,0.42283719022509075,0.033379307097968325,0.011951274301599918,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,16777216,0.03846604266065232,0.01573973298072815,0.052791437632601024,0.052854648778136344,0.004172413387246041,0.0014939092876999898,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,4096,0.005269328197800969,3.842708247248084e-06,1.2888534578271734e-05,1.2903966986849693e-05,1.0186556121206154e-06,3.647239471923803e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,65536,0.00527010443854693,6.148333195596934e-05,0.00020621655325234775,0.0002064634717895951,1.6298489793929846e-05,5.835583155078085e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,1048576,0.005978048664249786,0.0009837333112955094,0.001834666681668115,0.0018335077911615372,0.0001455221931420625,5.3590091514142794e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,134217728,0.15657066305478415,0.1259178638458252,0.23483733525351871,0.23468899726867676,0.018626840722184,0.006859531713810278,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,16777216,0.026078736118611143,0.01573973298072815,0.02935466690668984,0.029336124658584595,0.002328355090273,0.0008574414642262847,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,4096,0.005365045722611174,3.842708247248084e-06,7.166666725266074e-06,7.1621398092247546e-06,5.684460669611816e-07,2.093362949771203e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,65536,0.005368702180057778,6.148333195596934e-05,0.00011466666760425718,0.00011459423694759607,9.095137071378906e-06,3.3493807196339247e-06,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,1048576,0.005937840299548589,0.0009837333112955094,0.001239625645465538,0.0012367581543715103,0.00013881896262751448,3.908526917499324e-05,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,134217728,0.12920662452434672,0.1259178638458252,0.15867208261958887,0.15830504375955332,0.017768827216321854,0.0050029144543991344,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,16777216,0.022600148775562736,0.01573973298072815,0.01983401032744861,0.019788130469944164,0.0022211034020402317,0.0006253643067998918,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,4096,0.0053648095186582334,3.842708247248084e-06,4.842287677599758e-06,4.831086540513712e-06,5.422615727637284e-07,1.5267683271481734e-07,isolated_component_equivalents_can_exceed_kernel_time_and_do_not_sum
