distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,x1_time_ms,speedup_over_x1
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,16777216,0.022559396513215788,0.06643476486206054,2.944882183490219
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,4096,0.00536081197903241,0.0052679441646187606,0.9826765395285489
normal_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,65536,0.005375116731583639,0.005272242994193571,0.9808611156692482
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,1048576,0.00687908286478982,0.00687908286478982,1.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,134217728,0.479297012090683,0.479297012090683,1.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,16777216,0.06643476486206054,0.06643476486206054,1.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,4096,0.0052679441646187606,0.0052679441646187606,1.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_single,1,1,65536,0.005272242994193571,0.005272242994193571,1.0
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,1048576,0.006183290660925798,0.00687908286478982,1.1125278176329243
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,134217728,0.25917959213256836,0.479297012090683,1.8492853088738803
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,16777216,0.038708178537816676,0.06643476486206054,1.7162978825561594
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,4096,0.005269652593159628,0.0052679441646187606,0.9996757986393477
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,2,1,65536,0.005270157574234448,0.005272242994193571,1.0003957035306341
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,1048576,0.005975907897148653,0.00687908286478982,1.1511360253848806
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,134217728,0.15869276574317445,0.479297012090683,3.0202826817346464
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,16777216,0.026277514719663445,0.06643476486206054,2.528198178968099
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,4096,0.005367302984902353,0.0052679441646187606,0.981488129035555
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,65536,0.005374727855856802,0.005272242994193571,0.9809320835562764
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,1048576,0.006665779363428033,0.00687908286478982,1.0319997842310957
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,134217728,0.15311866998672485,0.479297012090683,3.1302323363456415
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,16777216,0.025336184543845928,0.06643476486206054,2.622129813867231
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,4096,0.00549881833458915,0.0052679441646187606,0.958013857537696
normal_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,65536,0.005549788183856139,0.005272242994193571,0.949989949081314
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,1048576,0.006174072771441212,0.00687908286478982,1.1141888214550535
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,134217728,0.2571398636390423,0.479297012090683,1.8639545238442365
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,16777216,0.03846604266065232,0.06643476486206054,1.7271016269635133
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,4096,0.005269328197800969,0.0052679441646187606,0.9997373416249179
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,65536,0.00527010443854693,0.005272242994193571,1.0004057899936478
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,1048576,0.005978048664249786,0.00687908286478982,1.1507237982066694
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,134217728,0.15657066305478415,0.479297012090683,3.061218511433248
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,16777216,0.026078736118611143,0.06643476486206054,2.5474687331434454
