gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,1,34603008,256,0,1,1328,0.0086033495075731395,270336,135168,34603008,0,4022039087164.8926,31.422180368475722,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,4,134217728,1,0,1,126,0.11724724088396345,268435456,33554432,134217728,0,1144741036020.0442,2289.4820720400885,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,2,69206016,256,0,1,1336,0.008603089583848051,540672,270336,69206016,0,8044321208735.46,62.846259443245778,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_single,1,134217728,1,0,1,37,0.40548064257647543,268435456,134217728,0,0,331008965427.21136,662.01793085442273,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,4,134217728,1,0,1,126,0.11831441001286583,268435456,134217728,134217728,0,1134415731654.3674,2268.8314633087348,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,2,1107296256,4096,0,1,113,0.13024906563547861,0,0,0,2214592512,8501375811009.1426,0,17002.751622018284
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,1,34603008,256,0,1,1367,0.0083630491366941031,270336,135168,34603008,0,4137606683210.103,32.325052212578932,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,2,69206016,256,0,1,1190,0.010269767697117909,540672,270336,69206016,0,6738810267287.9209,52.646955213186885,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,8,134217728,1,0,1,173,0.085249294435357767,268435456,134217728,134217728,0,1574414531979.1904,3148.8290639583811,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,8,276824064,256,0,1,730,0.018314344589024374,2162688,1081344,276824064,0,15115149911829.125,118.08710868616504,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,4,138412032,256,0,1,1244,0.0096089257304691426,1081344,540672,138412032,0,14404527195075.139,112.53536871152453,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,8,134217728,1,0,1,186,0.079157331938384687,268435456,16777216,134217728,0,1695581757410.3408,3391.1635148206815,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_single,1,134217728,1,0,1,37,0.41400128441887935,268435456,134217728,134217728,0,324196404821.29718,648.39280964259433,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,1,553648128,4096,0,1,142,0.10340146615471639,0,0,0,1107296256,5354354716514.3047,0,10708.709433028609
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,2,134217728,1,0,1,68,0.21867293470046101,268435456,134217728,134217728,0,613782991406.1012,1227.5659828122025,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,8,4429185024,4096,0,1,49,0.30784587470852598,0,0,0,8858370048,14387670545183.145,0,28775.341090366288
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,8,134217728,1,0,1,187,0.079233883536435706,268435456,16777216,0,0,1693943575771.8472,3387.8871515436945,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,2,134217728,1,0,1,71,0.21142085169402647,268435456,67108864,134217728,0,634836757701.85254,1269.6735154037051,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,4,134217728,1,0,1,120,0.12347839673360189,268435456,33554432,134217728,0,1086973361741.7114,2173.9467234834228,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,2,134217728,1,0,1,69,0.21739687435868857,268435456,67108864,134217728,0,617385730111.97388,1234.7714602239478,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,4,138412032,256,0,1,895,0.014163414726044214,1081344,540672,138412032,0,9772504348508.7539,76.347690222724637,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,8,134217728,1,0,1,171,0.086426762809530336,268435456,16777216,134217728,0,1552964887691.012,3105.9297753820238,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,4,134217728,1,0,1,120,0.1242682695388794,268435456,134217728,134217728,0,1080064351889.9869,2160.1287037799739,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,2,1107296256,4096,0,1,149,0.098595651204153992,0,0,0,2214592512,11230680486172.881,0,22461.360972345763
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,4,134217728,1,0,1,127,0.11737826490026759,268435456,33554432,0,0,1143463213688.1587,2286.9264273763174,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,2,134217728,1,0,1,71,0.21320157655527894,268435456,134217728,134217728,0,629534406680.14954,1259.0688133602991,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,8,134217728,1,0,1,171,0.086522013123272457,268435456,134217728,0,0,1551255260424.5691,3102.5105208491382,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,4,134217728,1,0,2,126,0.11730412831382146,268435456,33554432,134217728,0,1144185886117.5789,2288.3717722351576,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,2,134217728,1,0,2,69,0.21755084438600403,268435456,67108864,134217728,0,616948779853.29846,1233.8975597065969,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,2,1107296256,4096,0,2,149,0.098601232439079547,0,0,0,2214592512,11230044783508.557,0,22460.089567017112
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,8,276824064,256,0,2,730,0.018302859998729132,2162688,1081344,276824064,0,15124634293177.209,118.16120541544694,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,1,34603008,256,0,2,1367,0.0083497528098496372,270336,135168,34603008,0,4144195497521.936,32.376527324390125,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,4,2214592512,4096,0,2,90,0.16407928466796876,0,0,0,4429185024,13497087804115.279,0,26994.175608230558
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,4,138412032,256,0,2,1244,0.0096227908057798534,1081344,540672,138412032,0,14383772316536.686,112.37322122294286,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,2,1107296256,4096,0,2,113,0.13022130780515417,0,0,0,2214592512,8503187954899.1377,0,17006.375909798277
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,4,2214592512,4096,0,2,131,0.1132802453659873,0,0,0,4429185024,19549679689031.973,0,39099.359378063942
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,vector_packet,4,134217728,1,0,2,120,0.12364213466644287,268435456,33554432,134217728,0,1085533894752.6874,2171.0677895053745,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,1,553648128,4096,0,2,148,0.098813192264453786,0,0,0,1107296256,5602977854599.3262,0,11205.955709198652
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,2,69206016,256,0,2,1336,0.0086058442464131794,540672,270336,69206016,0,8041746285246.1348,62.826142853485429,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,4,138412032,256,0,2,895,0.014153331351679796,1081344,540672,138412032,0,9779466654228.5469,76.402083236160522,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,1,553648128,4096,0,2,142,0.10339538144393706,0,0,0,1107296256,5354669814726.6719,0,10709.339629453343
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,8,134217728,1,0,2,173,0.085289618872493672,268435456,134217728,134217728,0,1573670157919.8391,3147.3403158396782,0
