distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,sustainable_hbm_gb_per_s,empirical_arithmetic_peak_gflop_per_s,memory_floor_ms,compute_floor_ms,classical_roof_time_ms,roof_gap,roof_efficiency
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,4,1024,1024,0.007610622991962492,4263.659623842958,42346.44232648553,0.0001230867485446652,4.95236880546241e-05,0.0001230867485446652,61.83137569192334,0.01617301877581585
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,4,1024,16384,0.07413737460820362,4263.659623842958,42346.44232648553,0.001969387976714643,0.0007923790088739856,0.001969387976714643,37.64488027995402,0.02656403719611514
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,4,1024,256,0.004652199209251733,4263.659623842958,42346.44232648553,3.07716871361663e-05,1.2380922013656025e-05,3.07716871361663e-05,151.18440495854233,0.006614438838941221
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,4,1024,4096,0.021036246676503875,4263.659623842958,42346.44232648553,0.0004923469941786608,0.0001980947522184964,0.0004923469941786608,42.72646512567178,0.023404697698690732
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,4,1024,65536,0.2858953842749962,4263.659623842958,42346.44232648553,0.007877551906858573,0.0031695160354959424,0.007877551906858573,36.292415163406545,0.027553966730996034
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,8,1024,1024,0.008864435562090068,4263.659623842958,42346.44232648553,0.0001230867485446652,4.95236880546241e-05,0.0001230867485446652,72.01778962317279,0.013885458096290076
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,8,1024,16384,0.07403894867559876,4263.659623842958,42346.44232648553,0.001969387976714643,0.0007923790088739856,0.001969387976714643,37.59490235088742,0.026599350908445573
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,8,1024,256,0.007610149777828877,4263.659623842958,42346.44232648553,3.07716871361663e-05,1.2380922013656025e-05,3.07716871361663e-05,247.31012453602472,0.004043506111511152
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,8,1024,4096,0.021032439499366576,4263.659623842958,42346.44232648553,0.0004923469941786608,0.0001980947522184964,0.0004923469941786608,42.718732414428864,0.023408934289029504
uniform_0_1,gemv,fp4_e2m1,4,fp32,vector_packet,8,1024,65536,0.2861699698106298,4263.659623842958,42346.44232648553,0.007877551906858573,0.0031695160354959424,0.007877551906858573,36.32727187255683,0.027527528175201144
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_single,1,1024,1024,0.008835099701188568,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,71.77945478007751,0.013931563050511653
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_single,1,1024,16384,0.09447918182764298,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,47.973879674666385,0.02084467645271706
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_single,1,1024,256,0.004472820298010561,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,145.3550557113785,0.00687970566352801
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_single,1,1024,4096,0.026068325395937317,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,52.94705909482562,0.01888679025985274
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_single,1,1024,65536,0.36789578657883865,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,46.7017914865824,0.021412454815299832
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,2,1024,1024,0.00854066098733202,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,69.38733119782445,0.01441185275088594
