distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,native_arithmetic,native_time_ms,mixed_fp64_time_ms,mixed_over_native_slowdown
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,16777216,fp16,0.026078736118611143,0.027439012260080498,1.0521603552903236
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,4096,fp16,0.005365045722611174,0.005411641351107894,1.0086850384704722
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,4,1,65536,fp16,0.005368702180057778,0.005415523028515916,1.0087210738997696
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,1048576,fp16,0.005937840299548589,0.006393230888362551,1.0766929667759138
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,134217728,fp16,0.12920662452434672,0.13523113834965336,1.0466269732491265
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,16777216,fp16,0.022600148775562736,0.02333157977631088,1.0323639905211168
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,4096,fp16,0.0053648095186582334,0.0054491566695627,1.0157223011574066
normal_0_1,dot,fp16_e5m10,16,fp64,vector_packet,8,1,65536,fp16,0.005368306846816305,0.005456007532326572,1.0163367497448992
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_single,1,1,1048576,fp32,0.0068771369040468424,0.007094923098834078,1.0316681487988235
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_single,1,1,134217728,fp32,0.4834962660266507,0.48853471202235066,1.0104208581321747
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_single,1,1,16777216,fp32,0.06751164015348968,0.06828340777644405,1.0114316230682552
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_single,1,1,4096,fp32,0.00520520259376365,0.005391586371965958,1.0358072091998138
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_single,1,1,65536,fp32,0.0052114197145025415,0.005397365478698365,1.0356804430236863
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,2,1,1048576,fp32,0.006475801940436836,0.006633983034338386,1.0244264873071272
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,2,1,134217728,fp32,0.2997542381286621,0.3028505516052246,1.010329506918376
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,2,1,16777216,fp32,0.04504435361343057,0.045535208640083806,1.0108971488605596
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,2,1,4096,fp32,0.005207616422713236,0.005393276418693335,1.0356516265618825
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,2,1,65536,fp32,0.00521361096609336,0.005398953468877271,1.035549737790043
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,4,1,1048576,fp32,0.0067054964110417675,0.006942923273675126,1.0354077980330276
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,4,1,134217728,fp32,0.2559381743608895,0.25767593060509636,1.0067897500970546
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,4,1,16777216,fp32,0.03889131420205954,0.039276958497102596,1.0099159491767093
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,4,1,4096,fp32,0.005215756393193178,0.005477015241694282,1.0500903088269344
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,4,1,65536,fp32,0.0053046225549694065,0.005580318900278039,1.0519728486714588
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,8,1,1048576,fp32,0.008191201886076811,0.008315098809671927,1.0151256098089478
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,8,1,134217728,fp32,0.29880533031388823,0.2972038459777832,0.9946403756103591
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,8,1,16777216,fp32,0.044785800576210025,0.04484126916745814,1.0012385307515879
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,8,1,4096,fp32,0.005714491217912076,0.005941049183174858,1.0396462181187078
normal_0_1,dot,fp32_e8m23,32,fp64,scalar_unrolled,8,1,65536,fp32,0.005862219580288591,0.006134524998851182,1.0464509073454369
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,2,1,1048576,fp32,0.006453652648753268,0.006640635761091884,1.0289732222224166
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,2,1,134217728,fp32,0.2989000806621477,0.302796802520752,1.013036871217873
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,2,1,16777216,fp32,0.04494936722975511,0.0455388993024826,1.013115469895586
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,2,1,4096,fp32,0.005207608207389307,0.005392948288515389,1.035590250599708
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,2,1,65536,fp32,0.005212157113211495,0.005398083882159497,1.0356717506609163
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,4,1,1048576,fp32,0.006403028832246572,0.006701374987315089,1.0465945356307007
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,4,1,134217728,fp32,0.2549201351101116,0.2567305807339943,1.0071020110792768
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,4,1,16777216,fp32,0.03870172751577277,0.039163635376302956,1.0119350708658144
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,4,1,4096,fp32,0.005207695909533239,0.005393498782260328,1.0356785180922252
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,4,1,65536,fp32,0.005211536216915609,0.005397375711764752,1.0356592542225735
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,8,1,1048576,fp32,0.0065258130397231814,0.006814678168064277,1.0442650021664348
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,8,1,134217728,fp32,0.2514784018198649,0.2977666494981298,1.1840645055133656
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,8,1,16777216,fp32,0.03795135382449988,0.04022347437192316,1.059869288403527
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,8,1,4096,fp32,0.005294487890425677,0.005494495271034753,1.0377765299965576
normal_0_1,dot,fp32_e8m23,32,fp64,vector_packet,8,1,65536,fp32,0.00535433252173734,0.005583460269768633,1.0427929619800578
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,1048576,fp16,0.011548092090978032,0.011467728635813171,0.9930409755540792
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,134217728,fp16,0.8160117801867033,0.8264657070762232,1.0128109999675838
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,16777216,fp16,0.09859071001910523,0.09760424001327414,0.989994290479905
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,4096,fp16,0.005714505819361676,0.00568899515304334,0.9955358053478742
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_single,1,1,65536,fp16,0.006084382628587615,0.005948864119824167,0.9777268266912224
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,1048576,fp16,0.01087309231937135,0.010801595894109273,0.9934244625942613
