gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,2,1,4096,0,2,1995,0.005537524020163935,8192,8192,4096,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.4793615287573021,1.4793615287573021
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,4096,0,2,1995,0.0055377324422200523,8192,8192,8192,1019.6424903869629,0,0,1.479305850449478,1.479305850449478
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,4096,0,2,1987,0.0055379488387777391,8192,8192,8192,1019.6424903869629,0,0,1.4792480462510063,1.4792480462510063
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,2,1,4096,0,2,1987,0.0055792894444995989,8192,8192,4096,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4682873296842789,1.4682873296842789
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,2,1,4096,0,3,2030,0.0055375761586457049,8192,8192,4096,1019.6424903869629,0,0,1.4793475999801819,1.4793475999801819
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,4096,0,3,1995,0.0055374915139716971,8192,8192,8192,1019.6424903869629,0,0,1.4793702129079001,1.4793702129079001
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_single,1,1,4096,0,3,1970,0.0055352854849723392,8192,8192,8192,1019.6424942016602,3.814697265625e-06,3.7412105729109917e-09,1.479959800129611,1.479959800129611
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,4,1,4096,0,3,1970,0.0057726700293836255,8192,8192,8192,1019.875,0.23250961303710938,0.00022803052562949788,1.4191006862165474,1.4191006862165474
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,4,1,4096,0,3,1937,0.0057721096151073263,8192,8192,2048,1019.875,0.23250961303710938,0.00022803052562949788,1.4192384667399769,1.4192384667399769
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,2,1,4096,0,3,1995,0.0055365134600111115,8192,8192,4096,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.4796315513669065,1.4796315513669065
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,2,1,4096,0,3,2047,0.0055362499220288552,8192,8192,8192,1019.6425018310547,1.1444091796875e-05,1.1223631718732976e-08,1.4797019851657816,1.4797019851657816
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_single,1,1,4096,0,3,1730,0.0055382750626933371,8192,8192,8192,1019.65625,0.013759613037109375,1.3494546536489947e-05,1.4791609133288735,1.4791609133288735
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,4,1,4096,0,3,2030,0.0055365360429134279,8192,8192,2048,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4796255161176946,1.4796255161176946
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,4,1,4096,0,3,1970,0.0056500793108480232,8192,8192,8192,1019.6424903869629,0,0,1.4498911518412754,1.4498911518412754
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,2,1,4096,0,3,1946,0.0055817964755741443,8192,8192,8192,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4676278570614438,1.4676278570614438
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,2,1,4096,0,3,1987,0.0055379488387777391,8192,8192,8192,1019.6424903869629,0,0,1.4792480462510063,1.4792480462510063
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,scalar_unrolled,8,1,4096,0,3,2012,0.0057732006664541558,8192,8192,8192,1019.5,0.14249038696289062,0.00013974543852994428,1.4189702512162023,1.4189702512162023
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,2,1,4096,0,3,1987,0.0055844427414977133,8192,8192,4096,1019.5625,0.079990386962890625,7.8449444503370588e-05,1.4669324011732916,1.4669324011732916
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,scalar_unrolled,4,1,4096,0,3,1995,0.0055370746698594634,8192,8192,8192,1019.6424713134766,1.9073486328125e-05,1.8706052864554958e-08,1.4794815834058312,1.4794815834058312
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,scalar_unrolled,8,1,4096,0,3,1946,0.005705586930340633,8192,8192,8192,1019.6424903869629,0,0,1.4357856781459859,1.4357856781459859
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp16,vector_packet,8,1,4096,0,3,1978,0.0057734763296838961,8192,8192,1024,1019.5,0.14249038696289062,0.00013974543852994428,1.418902500367317,1.418902500367317
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,8,1,4096,0,3,1970,0.0056487795060056111,8192,8192,1024,1019.6424903869629,0,0,1.450224777102826,1.450224777102826
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp32,vector_packet,8,1,4096,0,3,2012,0.0055371928167627536,8192,8192,1024,1019.6424560546875,3.4332275390625e-05,3.3670895156198924e-08,1.4794500157553379,1.4794500157553379
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp8_e4m3,8,fp64,vector_packet,4,1,4096,0,3,2030,0.0056473379651901167,8192,8192,2048,1019.6424903869629,0,0,1.450594961820072,1.450594961820072
