gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,0,4,1995,0.0058838937515602969,8192,65536,4096,1019.6924867658463,0,0,1.39227531051655,11.1382024841324
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,0,4,1718,0.006519972098442673,8192,65536,8192,1019.6924867658463,0,0,1.2564470946059261,10.051576756847409
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,0,4,2039,0.0055001077843741383,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4894253569491047,11.915402855592838
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,2,1,4096,1,0,2012,0.0053210495480486225,8192,65536,8192,1019.6924867658463,0,0,1.539545897106753,12.316367176854024
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,1,0,1995,0.0058828349101513553,8192,65536,4096,1019.6924867658463,0,0,1.3925259037720019,11.140207230176015
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,2,1,4096,1,0,2122,0.0053203544113346142,8192,65536,4096,1019.6924867658463,0,0,1.5397470481567095,12.317976385253676
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,1,0,1769,0.0052710274911452444,8192,65536,8192,1019.6924867658463,0,0,1.5541561894263827,12.433249515411061
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,1,0,1718,0.0065180164554760256,8192,65536,8192,1019.6924867658463,0,0,1.256824074618222,10.054592596945776
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,1,0,2075,0.0053213147082960752,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5394691817848036,12.315753454278429
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,1,0,2039,0.0054961373374531114,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4905013279373656,11.924010623498924
