format,arithmetic,distribution,histogram,bucket,count,realized_q_min,realized_q_max
takum14,fp32,field_balanced_finite,characteristic,68,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,69,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,70,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,71,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,72,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,73,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,74,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,75,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,76,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,77,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,78,7,-140,127
takum14,fp32,field_balanced_finite,characteristic,79,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,80,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,81,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,82,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,83,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,84,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,85,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,86,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,87,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,88,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,89,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,90,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,91,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,92,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,93,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,94,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,95,1,-140,127
takum14,fp32,field_balanced_finite,characteristic,96,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,97,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,98,6,-140,127
takum14,fp32,field_balanced_finite,characteristic,99,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,100,5,-140,127
takum14,fp32,field_balanced_finite,characteristic,101,4,-140,127
takum14,fp32,field_balanced_finite,characteristic,102,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,103,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,104,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,105,2,-140,127
takum14,fp32,field_balanced_finite,characteristic,106,3,-140,127
takum14,fp32,field_balanced_finite,characteristic,107,4,-140,127
