gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,blocks,threads,result,result_bits,reference,absolute_error,relative_error,normalized_error,dot_condition_number,x_fingerprint,y_fingerprint,finite
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,raw_f64,float32,float64,raw,1024,4,256,21.5205140304216797631,0x403585406851c530,21.5205140304216797631,0,0,0,11.9689251797279345192,0xcdd27cef09ce7c0b,0x72dcff0ec72ee1cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,accessor_f32_f32,float32,float32,accessor,1024,4,256,21.52051544189453125,0x41ac2a04,21.5205140304216797631,1.41147285148690571077e-06,6.5587320520858807062e-08,5.47980036101701753471e-09,11.9689251797279345192,0xcdd27cef09ce7c0b,0x72dcff0ec72ee1cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,accessor_f64_f32,float32,float64,accessor,1024,4,256,21.5205140304216797631,0x403585406851c530,21.5205140304216797631,0,0,0,11.9689251797279345192,0xcdd27cef09ce7c0b,0x72dcff0ec72ee1cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,raw_f32,float32,float32,raw,65536,256,256,-180.196075439453125,0xc3343232,-180.196089789466839193,1.43500137141927552875e-05,7.96355444280654378733e-08,8.78617967676315178322e-10,90.6372819106783282894,0xb9c580062d1e44eb,0xd895a85cf4bcad3f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,raw_f64,float32,float64,raw,65536,256,256,-180.196089789466839193,0xc06686465e181ade,-180.196089789466839193,0,0,0,90.6372819106783282894,0xb9c580062d1e44eb,0xd895a85cf4bcad3f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,accessor_f32_f32,float32,float32,accessor,65536,256,256,-180.196075439453125,0xc3343232,-180.196089789466839193,1.43500137141927552875e-05,7.96355444280654378733e-08,8.78617967676315178322e-10,90.6372819106783282894,0xb9c580062d1e44eb,0xd895a85cf4bcad3f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,accessor_f64_f32,float32,float64,accessor,65536,256,256,-180.196089789466839193,0xc06686465e181ade,-180.196089789466839193,0,0,0,90.6372819106783282894,0xb9c580062d1e44eb,0xd895a85cf4bcad3f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,raw_f32,float32,float32,raw,1048576,2112,256,-92.61779022216796875,0xc2b93c4f,-92.6177507501814716306,3.94719864971193601377e-05,4.26181657159732096565e-07,1.50814818255544652765e-10,2825.86062887798282128,0x547f5d0e8fa6936b,0x7cde3b7c69fbdc2f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,raw_f64,float32,float64,raw,1048576,2112,256,-92.6177507501814716306,0xc05727893a7146f8,-92.6177507501814716306,0,0,0,2825.86062887798282128,0x547f5d0e8fa6936b,0x7cde3b7c69fbdc2f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,accessor_f32_f32,float32,float32,accessor,1048576,2112,256,-92.61779022216796875,0xc2b93c4f,-92.6177507501814716306,3.94719864971193601377e-05,4.26181657159732096565e-07,1.50814818255544652765e-10,2825.86062887798282128,0x547f5d0e8fa6936b,0x7cde3b7c69fbdc2f,true
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed2,accessor_f64_f32,float32,float64,accessor,1048576,2112,256,-92.6177507501814716306,0xc05727893a7146f8,-92.6177507501814716306,0,0,0,2825.86062887798282128,0x547f5d0e8fa6936b,0x7cde3b7c69fbdc2f,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,raw_f32,float32,float32,raw,1024,4,256,4.451690673828125,0x408e7440,4.45171499775841716939,2.43239302921693933968e-05,5.46394598585427883526e-06,4.30231967547542059903e-08,126.999999953524947562,0xd84883c6ba5a69e7,0xa7f5d723c360a9cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,raw_f64,float32,float64,raw,1024,4,256,4.45171499775847223646,0x4011ce8e6059f100,4.45171499775841716939,5.5067062021407764405e-14,1.2369853427080533112e-14,9.74004207213167147449e-17,126.999999953524947562,0xd84883c6ba5a69e7,0xa7f5d723c360a9cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,accessor_f32_f32,float32,float32,accessor,1024,4,256,4.451690673828125,0x408e7440,4.45171499775841716939,2.43239302921693933968e-05,5.46394598585427883526e-06,4.30231967547542059903e-08,126.999999953524947562,0xd84883c6ba5a69e7,0xa7f5d723c360a9cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,accessor_f64_f32,float32,float64,accessor,1024,4,256,4.45171499775847223646,0x4011ce8e6059f100,4.45171499775841716939,5.5067062021407764405e-14,1.2369853427080533112e-14,9.74004207213167147449e-17,126.999999953524947562,0xd84883c6ba5a69e7,0xa7f5d723c360a9cf,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,raw_f32,float32,float32,raw,65536,256,256,288.50341796875,0x43904070,288.503547831663516021,0.000129862913516021194482,4.50125880572511373636e-07,3.54429824643933751573e-09,127.00000092393903714,0x275a88ec4f27ae7b,0xc7c08d872be3953,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,raw_f64,float32,float64,raw,65536,256,256,288.503547831664945988,0x4072080e882bcf90,288.503547831663516021,1.42996725571720162407e-12,4.95649799270947291449e-15,3.90275429657512003528e-17,127.00000092393903714,0x275a88ec4f27ae7b,0xc7c08d872be3953,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,accessor_f32_f32,float32,float32,accessor,65536,256,256,288.50341796875,0x43904070,288.503547831663516021,0.000129862913516021194482,4.50125880572511373636e-07,3.54429824643933751573e-09,127.00000092393903714,0x275a88ec4f27ae7b,0xc7c08d872be3953,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,accessor_f64_f32,float32,float64,accessor,65536,256,256,288.503547831664945988,0x4072080e882bcf90,288.503547831663516021,1.42996725571720162407e-12,4.95649799270947291449e-15,3.90275429657512003528e-17,127.00000092393903714,0x275a88ec4f27ae7b,0xc7c08d872be3953,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,raw_f32,float32,float32,raw,1048576,2112,256,4605.9794921875,0x458fefd6,4605.9799738675339249,0.000481680033924902772924,1.04577101215758714255e-07,8.23441739446570211292e-10,127.000000371664785448,0x904a0698cf05bffb,0x127e458985d79602,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,raw_f64,float32,float64,raw,1048576,2112,256,4605.97997386753286264,0x40b1fdfadf913ffd,4605.9799738675339249,1.06226138996134977788e-12,2.30626575883566786686e-16,1.81595728510739694446e-18,127.000000371664785448,0x904a0698cf05bffb,0x127e458985d79602,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,accessor_f32_f32,float32,float32,accessor,1048576,2112,256,4605.9794921875,0x458fefd6,4605.9799738675339249,0.000481680033924902772924,1.04577101215758714255e-07,8.23441739446570211292e-10,127.000000371664785448,0x904a0698cf05bffb,0x127e458985d79602,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e2,accessor_f64_f32,float32,float64,accessor,1048576,2112,256,4605.97997386753286264,0x40b1fdfadf913ffd,4605.9799738675339249,1.06226138996134977788e-12,2.30626575883566786686e-16,1.81595728510739694446e-18,127.000000371664785448,0x904a0698cf05bffb,0x127e458985d79602,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,raw_f32,float32,float32,raw,1024,4,256,0.0347900390625,0x3d0e8000,0.0347783533873808892167,1.1685675119110783271e-05,0.000336004266474296575915,2.05089295572713382405e-08,16383.3156448269113268,0xd84883c6ba5a69e7,0x9e5b50701dc7fe66,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,raw_f64,float32,float64,raw,1024,4,256,0.034778353387366678362,0x3fa1ce77e4d0a000,0.0347783533873808892167,1.42108547152020037174e-14,4.08612062707900501242e-13,2.49407428609801078711e-17,16383.3156448269113268,0xd84883c6ba5a69e7,0x9e5b50701dc7fe66,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,accessor_f32_f32,float32,float32,accessor,1024,4,256,0.0347900390625,0x3d0e8000,0.0347783533873808892167,1.1685675119110783271e-05,0.000336004266474296575915,2.05089295572713382405e-08,16383.3156448269113268,0xd84883c6ba5a69e7,0x9e5b50701dc7fe66,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,accessor_f64_f32,float32,float64,accessor,1024,4,256,0.034778353387366678362,0x3fa1ce77e4d0a000,0.0347783533873808892167,1.42108547152020037174e-14,4.08612062707900501242e-13,2.49407428609801078711e-17,16383.3156448269113268,0xd84883c6ba5a69e7,0x9e5b50701dc7fe66,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,raw_f32,float32,float32,raw,65536,256,256,2.25390625,0x40104000,2.25393099228464421913,2.47422846442191257665e-05,1.09773922666282209394e-05,6.70046859339006948532e-10,16383.0217448631644581,0x275a88ec4f27ae7b,0x3e99a9f0206fa39d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,raw_f64,float32,float64,raw,65536,256,256,2.2539309922840402578,0x4002080cf8da6800,2.25393099228464421913,6.0396132539608515799e-13,2.67959102325441624954e-13,1.63559022565210966033e-17,16383.0217448631644581,0x275a88ec4f27ae7b,0x3e99a9f0206fa39d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,accessor_f32_f32,float32,float32,accessor,65536,256,256,2.25390625,0x40104000,2.25393099228464421913,2.47422846442191257665e-05,1.09773922666282209394e-05,6.70046859339006948532e-10,16383.0217448631644581,0x275a88ec4f27ae7b,0x3e99a9f0206fa39d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,accessor_f64_f32,float32,float64,accessor,65536,256,256,2.2539309922840402578,0x4002080cf8da6800,2.25393099228464421913,6.0396132539608515799e-13,2.67959102325441624954e-13,1.63559022565210966033e-17,16383.0217448631644581,0x275a88ec4f27ae7b,0x3e99a9f0206fa39d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,raw_f32,float32,float32,raw,1048576,2112,256,35.98388671875,0x420fef80,35.9842017342705524641,0.000315015520552464067805,8.75427285781499775649e-06,5.34350774718364328543e-10,16383.0077020643174537,0x904a0698cf05bffb,0xadbe24e9582dbe4d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,raw_f64,float32,float64,raw,1048576,2112,256,35.9842017342707549687,0x4041fdfa528aae00,35.9842017342705524641,2.02504679691628552973e-13,5.62759961126962016924e-15,3.43502225819043137551e-19,16383.0077020643174537,0x904a0698cf05bffb,0xadbe24e9582dbe4d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,accessor_f32_f32,float32,float32,accessor,1048576,2112,256,35.98388671875,0x420fef80,35.9842017342705524641,0.000315015520552464067805,8.75427285781499775649e-06,5.34350774718364328543e-10,16383.0077020643174537,0x904a0698cf05bffb,0xadbe24e9582dbe4d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e4,accessor_f64_f32,float32,float64,accessor,1048576,2112,256,35.9842017342707549687,0x4041fdfa528aae00,35.9842017342705524641,2.02504679691628552973e-13,5.62759961126962016924e-15,3.43502225819043137551e-19,16383.0077020643174537,0x904a0698cf05bffb,0xadbe24e9582dbe4d,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,raw_f32,float32,float32,raw,1024,4,256,0.000518798828125,0x3a080000,0.000543095338628063473152,2.4296510503063473152e-05,0.0447371000539977655159,4.26389985396791178731e-08,1049206.16304733776747,0xd84883c6ba5a69e7,0x82d64ecc29bcd87c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,raw_f64,float32,float64,raw,1024,4,256,0.000543095338684906892013,0x3f41cbd05bf00000,0.000543095338628063473152,5.68434188608080148697e-14,1.04665635695571653381e-10,9.97569775911136930334e-17,1049206.16304733776747,0xd84883c6ba5a69e7,0x82d64ecc29bcd87c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,accessor_f32_f32,float32,float32,accessor,1024,4,256,0.000518798828125,0x3a080000,0.000543095338628063473152,2.4296510503063473152e-05,0.0447371000539977655159,4.26389985396791178731e-08,1049206.16304733776747,0xd84883c6ba5a69e7,0x82d64ecc29bcd87c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,accessor_f64_f32,float32,float64,accessor,1024,4,256,0.000543095338684906892013,0x3f41cbd05bf00000,0.000543095338628063473152,5.68434188608080148697e-14,1.04665635695571653381e-10,9.97569775911136930334e-17,1049206.16304733776747,0xd84883c6ba5a69e7,0x82d64ecc29bcd87c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,raw_f32,float32,float32,raw,65536,256,256,0.03466796875,0x3d0e0000,0.0352174481097868863344,0.000549479359786886334405,0.0156024751729295991594,1.48795797955519977972e-08,1048583.050550506734,0x275a88ec4f27ae7b,0x5599dbee8b40bc7c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,raw_f64,float32,float64,raw,65536,256,256,0.0352174481095062219538,0x3fa2080577c20000,0.0352174481097868863344,2.80664380625239573419e-13,7.96946955810927370169e-12,7.60022732956182858107e-18,1048583.050550506734,0x275a88ec4f27ae7b,0x5599dbee8b40bc7c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,accessor_f32_f32,float32,float32,accessor,65536,256,256,0.03466796875,0x3d0e0000,0.0352174481097868863344,0.000549479359786886334405,0.0156024751729295991594,1.48795797955519977972e-08,1048583.050550506734,0x275a88ec4f27ae7b,0x5599dbee8b40bc7c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,accessor_f64_f32,float32,float64,accessor,65536,256,256,0.0352174481095062219538,0x3fa2080577c20000,0.0352174481097868863344,2.80664380625239573419e-13,7.96946955810927370169e-12,7.60022732956182858107e-18,1048583.050550506734,0x275a88ec4f27ae7b,0x5599dbee8b40bc7c,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,raw_f32,float32,float32,raw,1048576,2112,256,0.56201171875,0x3f0fe000,0.562264677304057158835,0.000252958554057158835349,0.000449892309205769043937,4.29059742719965745792e-10,1048553.999388845206,0x904a0698cf05bffb,0xd1086b8fd4706faa,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,raw_f64,float32,float64,raw,1048576,2112,256,0.562264677304483484477,0x3fe1fe127e170000,0.562264677304057158835,4.26325641456060111523e-13,7.58229457877744322208e-13,7.23119131985269281666e-19,1048553.999388845206,0x904a0698cf05bffb,0xd1086b8fd4706faa,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,accessor_f32_f32,float32,float32,accessor,1048576,2112,256,0.56201171875,0x3f0fe000,0.562264677304057158835,0.000252958554057158835349,0.000449892309205769043937,4.29059742719965745792e-10,1048553.999388845206,0x904a0698cf05bffb,0xd1086b8fd4706faa,true
NVIDIA H200 NVL,9.0,132,13010,13030,cancellation_1e6,accessor_f64_f32,float32,float64,accessor,1048576,2112,256,0.562264677304483484477,0x3fe1fe127e170000,0.562264677304057158835,4.26325641456060111523e-13,7.58229457877744322208e-13,7.23119131985269281666e-19,1048553.999388845206,0x904a0698cf05bffb,0xd1086b8fd4706faa,true
NVIDIA H200 NVL,9.0,132,13010,13030,near_orthogonal,raw_f32,float32,float32,raw,1024,4,256,9.1552734375e-05,0x38c00000,6.84594068189880999853e-05,2.30933275560119000147e-05,0.337328770859385646691,4.05274469195263607442e-08,8323464.62705151736964,0xd84883c6ba5a69e7,0x885d619c11710d46,true
