gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,algorithmic_bytes,algorithmic_flops,arithmetic_intensity_flop_per_byte,blocks,threads,round,order_in_round,iterations,sample,total_time_ms,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,8,0.0044062129187571897,0.23239911889887246,1.8591929511909797,0.46479823779774493
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,9,0.004406293714160698,0.23239485754413661,1.8591588603530929,0.46478971508827321
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,10,0.0044060633510756963,0.23240700789061522,1.8592560631249218,0.46481401578123044
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,11,0.0044060960539771162,0.23240528292062476,1.8592422633649981,0.46481056584124952
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,12,0.0044062735153098213,0.23239592286816965,1.8591673829453572,0.4647918457363393
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,13,0.0044059628377463318,0.23241230979691607,1.8592984783753286,0.46482461959383214
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,14,0.0044058498203664248,0.23241827155943237,1.859346172475459,0.46483654311886474
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,15,0.0044060234342989633,0.23240911340339415,1.8592729072271532,0.4648182268067883
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,16,0.0044061321233536824,0.23240338040988948,1.8592270432791158,0.46480676081977895
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,17,0.0044062812101101547,0.23239551702929112,1.859164136234329,0.46479103405858224
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,18,0.004406277362709988,0.23239571994855321,1.8591657595884257,0.46479143989710642
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,8192,2048,0.25,4,256,0,2,7932,19,0.0044062408124084015,0.23239764769921714,1.8591811815937371,0.46479529539843428
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,0,0.0044077284977753874,0.23231920943334425,1.858553675466754,0.4646384188666885
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,1,0.0044073756431119429,0.23233780891818379,1.8587024713454703,0.46467561783636757
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,2,0.0044073712928489692,0.2323380382454858,1.8587043059638864,0.46467607649097159
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,3,0.0044074848830488447,0.23233205040323487,1.858656403225879,0.46466410080646975
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,4,0.004407505184276057,0.23233098026819321,1.8586478421455457,0.46466196053638642
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,5,0.0044072702700754625,0.23234336386238161,1.8587469108990529,0.46468672772476322
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,6,0.0044074442805944209,0.23233419070289318,1.8586735256231455,0.46466838140578637
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,7,0.0044074442805944209,0.23233419070289318,1.8586735256231455,0.46466838140578637
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,8,0.0044075825222844832,0.23232690365358219,1.8586152292286575,0.46465380730716438
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,9,0.0044076352088027234,0.2323241265418052,1.8585930123344416,0.46464825308361041
