format,arithmetic_type,multiply_method,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
lns10_r4,fp32,ordinary,dot,dense,thread_packet,2,6,ordinary/dense/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.14425794216765075,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,4,1,ordinary/dense/thread_packet/x4/full_lut_shared,full_lut_shared,0.03890957750875141,1
lns10_r4,fp32,ordinary,dot,dense,thread_packet,4,2,ordinary/dense/thread_packet/x4/full_lut_global,full_lut_global,0.040080864647727352,1
lns10_r4,fp32,ordinary,dot,dense,thread_packet,4,3,ordinary/dense/thread_packet/x4/ex2_approx,ex2_approx,0.063116466844236691,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,4,4,ordinary/dense/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.10999680095248753,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,4,5,ordinary/dense/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.12487199902534485,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,4,6,ordinary/dense/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.13859955469767254,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,8,1,ordinary/dense/thread_packet/x8/full_lut_global,full_lut_global,0.040007123878789803,1
lns10_r4,fp32,ordinary,dot,dense,thread_packet,8,2,ordinary/dense/thread_packet/x8/full_lut_shared,full_lut_shared,0.040611275746708822,1
lns10_r4,fp32,ordinary,dot,dense,thread_packet,8,3,ordinary/dense/thread_packet/x8/ex2_approx,ex2_approx,0.062866302116717371,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,8,4,ordinary/dense/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.1095562669965956,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,8,5,ordinary/dense/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.1250611960887909,0
lns10_r4,fp32,ordinary,dot,dense,thread_packet,8,6,ordinary/dense/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.13915111621220905,0
lns10_r4,fp32,ordinary,dot,padded,scalar,1,1,ordinary/padded/scalar/x1/full_lut_shared,full_lut_shared,0.069884569304330013,1
lns10_r4,fp32,ordinary,dot,padded,scalar,1,2,ordinary/padded/scalar/x1/full_lut_global,full_lut_global,0.071112239237404257,1
lns10_r4,fp32,ordinary,dot,padded,scalar,1,3,ordinary/padded/scalar/x1/reference_exp2,reference_exp2,0.085299404443599264,1
lns10_r4,fp32,ordinary,dot,padded,scalar,1,4,ordinary/padded/scalar/x1/ex2_approx,ex2_approx,0.085692198007584736,0
lns10_r4,fp32,ordinary,dot,padded,scalar,1,5,ordinary/padded/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.11085226800706652,0
lns10_r4,fp32,ordinary,dot,padded,scalar,1,6,ordinary/padded/scalar/x1/fraction_lut_global,fraction_lut_global,0.12887507218580979,0
lns10_r4,fp32,ordinary,dot,padded,scalar,1,7,ordinary/padded/scalar/x1/fraction_lut_warp,fraction_lut_warp,0.14461819203961798,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,2,1,ordinary/padded/thread_packet/x2/full_lut_global,full_lut_global,0.042805193046251529,1
lns10_r4,fp32,ordinary,dot,padded,thread_packet,2,2,ordinary/padded/thread_packet/x2/full_lut_shared,full_lut_shared,0.046317514863986414,1
lns10_r4,fp32,ordinary,dot,padded,thread_packet,2,3,ordinary/padded/thread_packet/x2/ex2_approx,ex2_approx,0.064561897202541962,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,2,4,ordinary/padded/thread_packet/x2/fraction_lut_shared,fraction_lut_shared,0.10467302545588067,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,2,5,ordinary/padded/thread_packet/x2/fraction_lut_global,fraction_lut_global,0.12627759575843811,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,2,6,ordinary/padded/thread_packet/x2/fraction_lut_warp,fraction_lut_warp,0.14027319313987852,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,4,1,ordinary/padded/thread_packet/x4/full_lut_global,full_lut_global,0.030006409094583804,1
lns10_r4,fp32,ordinary,dot,padded,thread_packet,4,2,ordinary/padded/thread_packet/x4/full_lut_shared,full_lut_shared,0.033485536225910842,1
lns10_r4,fp32,ordinary,dot,padded,thread_packet,4,3,ordinary/padded/thread_packet/x4/ex2_approx,ex2_approx,0.054038142284630858,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,4,4,ordinary/padded/thread_packet/x4/fraction_lut_shared,fraction_lut_shared,0.098116881052652982,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,4,5,ordinary/padded/thread_packet/x4/fraction_lut_global,fraction_lut_global,0.1182735250109718,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,4,6,ordinary/padded/thread_packet/x4/fraction_lut_warp,fraction_lut_warp,0.13319450235298991,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,8,1,ordinary/padded/thread_packet/x8/full_lut_global,full_lut_global,0.028082224262265108,1
lns10_r4,fp32,ordinary,dot,padded,thread_packet,8,2,ordinary/padded/thread_packet/x8/full_lut_shared,full_lut_shared,0.029962969641400199,1
lns10_r4,fp32,ordinary,dot,padded,thread_packet,8,3,ordinary/padded/thread_packet/x8/ex2_approx,ex2_approx,0.051118648758060055,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,8,4,ordinary/padded/thread_packet/x8/fraction_lut_shared,fraction_lut_shared,0.09739921607223212,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,8,5,ordinary/padded/thread_packet/x8/fraction_lut_global,fraction_lut_global,0.11516788582973198,0
lns10_r4,fp32,ordinary,dot,padded,thread_packet,8,6,ordinary/padded/thread_packet/x8/fraction_lut_warp,fraction_lut_warp,0.1295355809362311,0
lns10_r4,fp32,ordinary,gemv,dense,cooperative_shuffle,16,1,ordinary/dense/cooperative_shuffle/x16/full_lut_shared,full_lut_shared,0.051599828145837273,1
