kernel,distribution,format,storage_bits,n,m,comparison,batch,finite_count,bias,mean_absolute_error,mse,relative_l2,mean_normalized_absolute_error,rms_normalized_error
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,3,1024,-1.97047239636205517854e-14,1.27714332165407284947e-12,2.51529131631455589441e-24,9.65731901616468120634e-17,7.77476759300263382379e-17,9.65307654896253506003e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,4,1024,3.38409855693555527978e-14,1.15043738424525088249e-12,2.11637230678310065493e-24,8.88562497383744487067e-17,7.02492699206640047055e-17,8.8805780953074324695e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,5,1024,5.46541978341252843165e-14,1.3285969546750209247e-12,2.69774015423930409468e-24,1.00055154191296194755e-16,8.09165981052153927452e-17,1.0001652780628123447e-16
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,6,1024,4.2479908479720052128e-14,1.19997067837829263226e-12,2.1968618094803580293e-24,9.05423427760802686744e-17,7.32762225940177328176e-17,9.04821082406104510883e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,7,1024,-6.51215192881693383242e-14,1.13983822380703259114e-12,2.07722819974578598488e-24,8.82011218585235874432e-17,6.97352689965275612717e-17,8.81470109710414904012e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,8,1024,4.55963392043123860731e-14,1.3313109295531866394e-12,2.73003361367900868132e-24,1.00393904686596400243e-16,8.0879149098404504944e-17,1.00368409018969050124e-16
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,9,1024,4.0596866146547228027e-14,1.23908956012330762064e-12,2.39742514404552768266e-24,9.44494720813059612034e-17,7.55626734528741263893e-17,9.43976376658650964927e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,10,1024,-2.64389204973625169259e-14,1.03252129068920339705e-12,1.62397295950821277046e-24,7.81127479477994806539e-17,6.32815569014631077838e-17,7.80833297846935987914e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,11,1024,-4.16576495521070455652e-14,1.33291988557715512798e-12,2.74092958005793495652e-24,1.0072558150063848534e-16,8.1090268649583220166e-17,1.00713681392028187917e-16
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,12,1024,-6.25558632671996406316e-14,1.14085997593438293052e-12,2.01347903419953801552e-24,8.66726836436073011515e-17,6.96687287429126012025e-17,8.66350441785119863553e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,13,1024,1.85016932330306360655e-14,1.17801515070459217327e-12,2.20364089260272259404e-24,9.05780696020104791913e-17,7.18648447868933334398e-17,9.0541048442193672456e-17
