GPU accuracy simulation
GPU: NVIDIA H200 NVL (sm_90)
DOT powers: 10,14,18,22, samples per case: 8192
GEMV powers: 8,10,12,14,16, M=1024, replicates: 16
GEMV normal_0_1 e2m13 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e2m13 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e2m13 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e2m13 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e2m13 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e3m12 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e3m12 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e3m12 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e3m12 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e3m12 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e3m12 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e3m12 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e3m12 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e3m12 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e3m12 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 fp16_e5m10 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 fp16_e5m10 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 fp16_e5m10 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 fp16_e5m10 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 fp16_e5m10 M=1024 N=2^16 replicates=16
GEMV normal_0_1 fp16_e5m10 M=1024 N=2^8 replicates=16
GEMV normal_0_1 fp16_e5m10 M=1024 N=2^10 replicates=16
GEMV normal_0_1 fp16_e5m10 M=1024 N=2^12 replicates=16
GEMV normal_0_1 fp16_e5m10 M=1024 N=2^14 replicates=16
GEMV normal_0_1 fp16_e5m10 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 bf16_e8m7 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 bf16_e8m7 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 bf16_e8m7 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 bf16_e8m7 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 bf16_e8m7 M=1024 N=2^16 replicates=16
GEMV normal_0_1 bf16_e8m7 M=1024 N=2^8 replicates=16
GEMV normal_0_1 bf16_e8m7 M=1024 N=2^10 replicates=16
GEMV normal_0_1 bf16_e8m7 M=1024 N=2^12 replicates=16
GEMV normal_0_1 bf16_e8m7 M=1024 N=2^14 replicates=16
GEMV normal_0_1 bf16_e8m7 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e11m4 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e11m4 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e11m4 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e11m4 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e11m4 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e11m4 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e11m4 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e11m4 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e11m4 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e11m4 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e1m30 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e1m30 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e1m30 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e1m30 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e1m30 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e1m30 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e1m30 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e1m30 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e1m30 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e1m30 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e2m29 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e2m29 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e2m29 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e2m29 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e2m29 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e2m29 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e2m29 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e2m29 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e2m29 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e2m29 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e3m28 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e3m28 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e3m28 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e3m28 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e3m28 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e3m28 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e3m28 M=1024 N=2^10 replicates=16
