kernel,distribution,format,storage_bits,n,m,comparison,finite_pairs,mse,mse_relative_cluster_standard_error,target,status
dot,normal_0_1,e2m5,8,4194304,1,total_x1,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,4194304,1,total_x2,0,nan,nan,0.05,nonfinite_case
dot,normal_0_1,e2m5,8,4194304,1,total_x4,0,nan,nan,0.05,nonfinite_case
dot,uniform_0_1,e3m4,8,1024,1,storage,8192,0.0346926542604484801677,0.0168545985456424559821,0.05,pass
dot,uniform_0_1,e3m4,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,1024,1,total_x1,8192,0.0346926542604484801677,0.0168545985456424559821,0.05,pass
dot,uniform_0_1,e3m4,8,1024,1,total_x2,8192,0.0346926542604484801677,0.0168545985456424559821,0.05,pass
dot,uniform_0_1,e3m4,8,1024,1,total_x4,8192,0.0346926542604484801677,0.0168545985456424559821,0.05,pass
dot,uniform_0_1,e3m4,8,16384,1,storage,8192,0.554314947699154477291,0.0157843249416613052174,0.05,pass
dot,uniform_0_1,e3m4,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,16384,1,total_x1,8192,0.554314947699154477291,0.0157843249416613052174,0.05,pass
dot,uniform_0_1,e3m4,8,16384,1,total_x2,8192,0.554314947699154477291,0.0157843249416613052174,0.05,pass
dot,uniform_0_1,e3m4,8,16384,1,total_x4,8192,0.554314947699154477291,0.0157843249416613052174,0.05,pass
dot,uniform_0_1,e3m4,8,262144,1,storage,8192,8.96994996497477636594,0.0119167049330144892681,0.05,pass
dot,uniform_0_1,e3m4,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,262144,1,total_x1,8192,8.96994996497477636594,0.0119167049330144892681,0.05,pass
dot,uniform_0_1,e3m4,8,262144,1,total_x2,8192,8.96994996497477636594,0.0119167049330144892681,0.05,pass
dot,uniform_0_1,e3m4,8,262144,1,total_x4,8192,8.96994996497477636594,0.0119167049330144892681,0.05,pass
dot,uniform_0_1,e3m4,8,4194304,1,storage,8192,141.607848508496151949,0.0146869861343342881893,0.05,pass
dot,uniform_0_1,e3m4,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
