kernel,distribution,format,storage_bits,n,m,comparison,total_outputs,finite_pairs,matching_nonfinite,class_mismatches,zero_references,bias,mean_absolute_error,mse,rmse,max_absolute_error,relative_l2,mean_normalized_absolute_error,rms_normalized_error,max_normalized_absolute_error,bias_cluster_standard_error,mse_cluster_standard_error,mse_relative_cluster_standard_error,statistical_batches
dot,normal_0_1,e3m12,16,4194304,1,total_x4,8192,8192,0,0,0,0.00062370053791923840742,0.121019229906303630993,0.0231544539979004611292,0.152165876588348352108,0.559133038843625529424,7.37541627623775406142e-05,4.5322444342598463487e-08,5.69867490688626615308e-08,2.09391273318245684572e-07,0.00140491011666887948318,0.000354873333783121633566,0.0153263529261065671113,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,storage,8192,8192,0,0,0,-5.65807327046501302471e-05,0.00220620586636219564034,7.62059323326319555201e-06,0.00276054219914552212814,0.011278890289111664913,1.07741955674692924887e-05,8.61664894175640286428e-06,1.07833874649397631716e-05,4.28707096800852787761e-05,3.0189957887981779877e-05,1.25228673799851090673e-07,0.0164329298214264123861,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,kernel_x1,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,kernel_x2,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,kernel_x4,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,total_x1,8192,8192,0,0,0,-5.65807327046501302471e-05,0.00220620586636219564034,7.62059323326319555201e-06,0.00276054219914552212814,0.011278890289111664913,1.07741955674692924887e-05,8.61664894175640286428e-06,1.07833874649397631716e-05,4.28707096800852787761e-05,3.0189957887981779877e-05,1.25228673799851090673e-07,0.0164329298214264123861,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,total_x2,8192,8192,0,0,0,-5.65807327046501302471e-05,0.00220620586636219564034,7.62059323326319555201e-06,0.00276054219914552212814,0.011278890289111664913,1.07741955674692924887e-05,8.61664894175640286428e-06,1.07833874649397631716e-05,4.28707096800852787761e-05,3.0189957887981779877e-05,1.25228673799851090673e-07,0.0164329298214264123861,32
dot,uniform_0_1,fp16_e5m10,16,1024,1,total_x4,8192,8192,0,0,0,-5.65807327046501302471e-05,0.00220620586636219564034,7.62059323326319555201e-06,0.00276054219914552212814,0.011278890289111664913,1.07741955674692924887e-05,8.61664894175640286428e-06,1.07833874649397631716e-05,4.28707096800852787761e-05,3.0189957887981779877e-05,1.25228673799851090673e-07,0.0164329298214264123861,32
dot,uniform_0_1,fp16_e5m10,16,16384,1,storage,8192,8192,0,0,0,3.94749776473406416635e-05,0.00882933319752749281618,0.000122729304732378684327,0.011078325899357659009,0.0458349443503949238732,2.70450418315329149461e-06,2.15561019116033953091e-06,2.70455486428857748927e-06,1.12318857871175857294e-05,0.000100204076487338199088,1.75764699134126466347e-06,0.0143213309581925693844,32
dot,uniform_0_1,fp16_e5m10,16,16384,1,kernel_x1,8192,8192,0,0,0,-5.70724023596369534062e-16,1.30624677741053574209e-14,4.87792140743412649876e-27,6.98421177187098651548e-14,5.68434188608080148697e-13,1.70502564584613681678e-17,3.17786165169920479871e-18,1.69743358690409487955e-17,1.38518153726210305385e-16,8.44262287146645065841e-16,2.78145059526033322676e-28,0.0570212261112141566384,32
