kernel,distribution,format,storage_bits,n,m,operand,source_values,decoded_zeros,decoded_infinities,decoded_nans,saturated_values
dot,uniform_0_1,e2m29,32,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,e2m29,32,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,e2m29,32,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,e2m29,32,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,e2m29,32,262144,1,left,2147483648,2,0,0,0
dot,uniform_0_1,e2m29,32,262144,1,right,2147483648,3,0,0,0
dot,uniform_0_1,e2m29,32,4194304,1,left,34359738368,35,0,0,0
dot,uniform_0_1,e2m29,32,4194304,1,right,34359738368,39,0,0,0
dot,normal_0_1,e2m29,32,1024,1,left,8388608,0,481,0,0
dot,normal_0_1,e2m29,32,1024,1,right,8388608,0,533,0,0
dot,normal_0_1,e2m29,32,16384,1,left,134217728,0,8475,0,0
dot,normal_0_1,e2m29,32,16384,1,right,134217728,0,8547,0,0
dot,normal_0_1,e2m29,32,262144,1,left,2147483648,0,135767,0,0
dot,normal_0_1,e2m29,32,262144,1,right,2147483648,4,135861,0,0
dot,normal_0_1,e2m29,32,4194304,1,left,34359738368,24,2175680,0,0
dot,normal_0_1,e2m29,32,4194304,1,right,34359738368,23,2178889,0,0
dot,uniform_0_1,e3m28,32,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,e3m28,32,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,e3m28,32,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,e3m28,32,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,e3m28,32,262144,1,left,2147483648,1,0,0,0
dot,uniform_0_1,e3m28,32,262144,1,right,2147483648,0,0,0,0
dot,uniform_0_1,e3m28,32,4194304,1,left,34359738368,19,0,0,0
dot,uniform_0_1,e3m28,32,4194304,1,right,34359738368,17,0,0,0
dot,normal_0_1,e3m28,32,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,e3m28,32,1024,1,right,8388608,0,0,0,0
dot,normal_0_1,e3m28,32,16384,1,left,134217728,0,0,0,0
dot,normal_0_1,e3m28,32,16384,1,right,134217728,0,0,0,0
dot,normal_0_1,e3m28,32,262144,1,left,2147483648,0,0,0,0
dot,normal_0_1,e3m28,32,262144,1,right,2147483648,2,0,0,0
dot,normal_0_1,e3m28,32,4194304,1,left,34359738368,13,0,0,0
dot,normal_0_1,e3m28,32,4194304,1,right,34359738368,16,0,0,0
dot,uniform_0_1,fp32_e8m23,32,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,262144,1,left,2147483648,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,262144,1,right,2147483648,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,4194304,1,left,34359738368,0,0,0,0
dot,uniform_0_1,fp32_e8m23,32,4194304,1,right,34359738368,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,1024,1,right,8388608,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,16384,1,left,134217728,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,16384,1,right,134217728,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,262144,1,left,2147483648,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,262144,1,right,2147483648,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,4194304,1,left,34359738368,0,0,0,0
dot,normal_0_1,fp32_e8m23,32,4194304,1,right,34359738368,0,0,0,0
dot,uniform_0_1,e11m20,32,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,e11m20,32,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,e11m20,32,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,e11m20,32,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,e11m20,32,262144,1,left,2147483648,0,0,0,0
dot,uniform_0_1,e11m20,32,262144,1,right,2147483648,0,0,0,0
dot,uniform_0_1,e11m20,32,4194304,1,left,34359738368,0,0,0,0
dot,uniform_0_1,e11m20,32,4194304,1,right,34359738368,0,0,0,0
dot,normal_0_1,e11m20,32,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,e11m20,32,1024,1,right,8388608,0,0,0,0
dot,normal_0_1,e11m20,32,16384,1,left,134217728,0,0,0,0
dot,normal_0_1,e11m20,32,16384,1,right,134217728,0,0,0,0
dot,normal_0_1,e11m20,32,262144,1,left,2147483648,0,0,0,0
dot,normal_0_1,e11m20,32,262144,1,right,2147483648,0,0,0,0
dot,normal_0_1,e11m20,32,4194304,1,left,34359738368,0,0,0,0
dot,normal_0_1,e11m20,32,4194304,1,right,34359738368,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,1024,1,left,8388608,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,1024,1,right,8388608,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,16384,1,left,134217728,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,16384,1,right,134217728,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,262144,1,left,2147483648,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,262144,1,right,2147483648,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,4194304,1,left,34359738368,0,0,0,0
dot,uniform_0_1,fp64_e11m52,64,4194304,1,right,34359738368,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,1024,1,left,8388608,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,1024,1,right,8388608,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,16384,1,left,134217728,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,16384,1,right,134217728,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,262144,1,left,2147483648,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,262144,1,right,2147483648,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,4194304,1,left,34359738368,0,0,0,0
dot,normal_0_1,fp64_e11m52,64,4194304,1,right,34359738368,0,0,0,0
gemv,uniform_0_1,e1m6,8,256,1024,matrix,4194304,65427,0,0,0
gemv,uniform_0_1,e1m6,8,256,1024,vector,4096,75,0,0,0
gemv,uniform_0_1,e1m6,8,1024,1024,matrix,16777216,261693,0,0,0
gemv,uniform_0_1,e1m6,8,1024,1024,vector,16384,262,0,0,0
gemv,uniform_0_1,e1m6,8,4096,1024,matrix,67108864,1049105,0,0,0
gemv,uniform_0_1,e1m6,8,4096,1024,vector,65536,988,0,0,0
gemv,uniform_0_1,e1m6,8,16384,1024,matrix,268435456,4198039,0,0,0
gemv,uniform_0_1,e1m6,8,16384,1024,vector,262144,4146,0,0,0
gemv,uniform_0_1,e1m6,8,65536,1024,matrix,1073741824,16775017,0,0,0
gemv,uniform_0_1,e1m6,8,65536,1024,vector,1048576,16252,0,0,0
gemv,normal_0_1,e1m6,8,256,1024,matrix,4194304,51945,0,0,290
gemv,normal_0_1,e1m6,8,256,1024,vector,4096,51,0,0,0
gemv,normal_0_1,e1m6,8,1024,1024,matrix,16777216,208399,0,0,1165
gemv,normal_0_1,e1m6,8,1024,1024,vector,16384,205,0,0,1
gemv,normal_0_1,e1m6,8,4096,1024,matrix,67108864,835380,0,0,4481
gemv,normal_0_1,e1m6,8,4096,1024,vector,65536,817,0,0,8
gemv,normal_0_1,e1m6,8,16384,1024,matrix,268435456,3344987,0,0,18108
gemv,normal_0_1,e1m6,8,16384,1024,vector,262144,3218,0,0,13
gemv,normal_0_1,e1m6,8,65536,1024,matrix,1073741824,13384228,0,0,72732
gemv,normal_0_1,e1m6,8,65536,1024,vector,1048576,13233,0,0,68
gemv,uniform_0_1,e2m5,8,256,1024,matrix,4194304,65427,0,0,0
gemv,uniform_0_1,e2m5,8,256,1024,vector,4096,75,0,0,0
gemv,uniform_0_1,e2m5,8,1024,1024,matrix,16777216,261693,0,0,0
gemv,uniform_0_1,e2m5,8,1024,1024,vector,16384,262,0,0,0
gemv,uniform_0_1,e2m5,8,4096,1024,matrix,67108864,1049105,0,0,0
