gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample,iterations,total_time_ms,time_ms
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x4,gemv,4,1024,256,0,0,0,0,196,0.61731201410293579,0.0031495510923619172
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x4,gemv,4,1024,256,0,0,0,1,196,0.61980801820755005,0.0031622858071813776
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x4,gemv,4,1024,256,4,0,0,0,213,0.62511998414993286,0.0029348356063377129
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x4,gemv,4,1024,256,4,0,0,1,213,0.62454402446746826,0.0029321315702698042
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x4,gemv,4,1024,256,8,0,0,0,198,0.6098560094833374,0.0030800808559764514
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x4,gemv,4,1024,256,8,0,0,1,198,0.61110401153564453,0.0030863838966446694
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x4,gemv,4,1024,256,4,0,0,0,205,0.59356802701950073,0.0028954537903390278
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x4,gemv,4,1024,256,4,0,0,1,205,0.59318399429321289,0.002893580459966892
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x8,gemv,8,1024,256,0,0,0,0,161,0.70415997505187988,0.0043736644413160239
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x8,gemv,8,1024,256,0,0,0,1,161,0.70374399423599243,0.0043710807095403261
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x8,gemv,8,1024,256,0,0,0,0,209,0.66204798221588135,0.0031676936948128293
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x8,gemv,8,1024,256,0,0,0,1,209,0.66172802448272705,0.0031661627965680721
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,gemv,8,1024,256,4,0,0,0,212,0.65964800119400024,0.0031115471754433973
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,gemv,8,1024,256,4,0,0,1,212,0.660256028175354,0.003114415227242236
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,gemv,8,1024,256,8,0,0,0,195,0.61852800846099854,0.0031719385049281978
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,gemv,8,1024,256,8,0,0,1,195,0.61747199296951294,0.0031665230408692972
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,gemv,8,1024,256,4,0,0,0,205,0.63251197338104248,0.0030854242603953292
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,gemv,8,1024,256,4,0,0,1,205,0.63225597143173218,0.0030841754703986937
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,gemv,4,1024,256,0,0,0,0,184,0.66937601566314697,0.0036379131286040597
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,gemv,4,1024,256,0,0,0,1,184,0.66982400417327881,0.0036403478487678194
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,gemv,4,1024,256,8,0,0,0,191,0.66108798980712891,0.0034611936639116696
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,gemv,4,1024,256,8,0,0,1,191,0.66048002243041992,0.0034580105886409421
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,gemv,4,1024,256,4,1024,0,0,202,0.5987200140953064,0.0029639604658183486
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,gemv,4,1024,256,4,1024,0,1,202,0.59801602363586426,0.0029604753645339813
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,gemv,4,1024,256,8,2048,0,0,205,0.63174402713775635,0.0030816781811597868
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,gemv,4,1024,256,8,2048,0,1,205,0.63264000415802002,0.0030860488007708295
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,gemv,4,1024,256,4,1024,0,0,203,0.58847999572753906,0.0028989162351110297
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,gemv,4,1024,256,4,1024,0,1,203,0.58671998977661133,0.0028902462550571988
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x8,gemv,8,1024,256,4,1024,0,0,205,0.61417597532272339,0.0029959803674279189
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x8,gemv,8,1024,256,4,1024,0,1,205,0.61343997716903687,0.0029923901325318871
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,gemv,4,1024,256,4,0,1,0,213,0.63392001390457153,0.0029761503000214624
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,gemv,4,1024,256,4,0,1,1,213,0.63417601585388184,0.0029773521871074263
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,gemv,4,1024,256,4,0,1,0,209,0.6191679835319519,0.0029625262369949853
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,gemv,4,1024,256,4,0,1,1,209,0.61843198537826538,0.0029590047147285423
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x4,gemv,4,1024,256,0,0,0,0,185,0.6432960033416748,0.0034772756937387827
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x4,gemv,4,1024,256,0,0,0,1,185,0.64259201288223267,0.0034734703399039602
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x4,gemv,4,1024,256,0,0,0,0,182,0.66115200519561768,0.0036327033252506464
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x4,gemv,4,1024,256,0,0,0,1,182,0.6621440052986145,0.0036381538752671126
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x4,gemv,4,1024,256,4,0,0,0,191,0.62643200159072876,0.0032797486994278991
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x4,gemv,4,1024,256,4,0,0,1,191,0.62735998630523682,0.0032846072581426012
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x4,gemv,4,1024,256,4,128,0,0,179,0.64636802673339844,0.0036109945627564159
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x4,gemv,4,1024,256,4,128,0,1,179,0.64665597677230835,0.0036126032221916668
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x4,gemv,4,1024,256,4,0,0,0,210,0.60406398773193359,0.0028764951796758742
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x4,gemv,4,1024,256,4,0,0,1,210,0.60409599542617798,0.0028766475972675141
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x4,gemv,4,1024,256,4,1024,0,0,213,0.60633599758148193,0.0028466478759693989
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x4,gemv,4,1024,256,4,1024,0,1,213,0.60662400722503662,0.0028480000339203598
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_swizzled_shared_x4,gemv,4,1024,256,4,4112,0,0,202,0.60502398014068604,0.0029951682185182476
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_swizzled_shared_x4,gemv,4,1024,256,4,4112,0,1,202,0.60550397634506226,0.0029975444373517932
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x8,gemv,8,1024,256,0,0,0,0,169,0.67843198776245117,0.0040143904601328472
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_branchy_x8,gemv,8,1024,256,0,0,0,1,169,0.67734402418136597,0.004007952805806899
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x8,gemv,8,1024,256,0,0,0,0,178,0.64809602499008179,0.0036409889044386619
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_words_masked_x8,gemv,8,1024,256,0,0,0,1,178,0.64758402109146118,0.0036381124780419166
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x8,gemv,8,1024,256,4,0,0,0,172,0.65855997800827026,0.0038288370814434317
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_global_x8,gemv,8,1024,256,4,0,0,1,172,0.65929597616195679,0.003833116140476493
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x8,gemv,8,1024,256,4,128,0,0,170,0.69020801782608032,0.0040600471636828258
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_subnormal_shared_x8,gemv,8,1024,256,4,128,0,1,170,0.69046401977539062,0.0040615530575022979
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x8,gemv,8,1024,256,4,0,0,0,203,0.62070399522781372,0.0030576551489054863
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_global_x8,gemv,8,1024,256,4,0,0,1,203,0.62086397409439087,0.0030584432221398565
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_high_word_shared_x8,gemv,8,1024,256,4,1024,0,0,213,0.6202239990234375,0.0029118497606734155
