gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_shared_x4,dot,4,65536,1,4,128,0,2,0.005559411776416442,0.0055557647172142476,0.005563058835618636,0.09277457389287483
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_shared_x4,gemv,4,1024,256,4,128,0,2,0.0037164138308886825,0.003715678193103308,0.003717149468674057,0.027993355433773365
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_shared_x8,dot,8,65536,1,4,128,0,2,0.006264818700279777,0.006256881661302461,0.006272755739257092,0.17916988030797834
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_subnormal_shared_x8,gemv,8,1024,256,4,128,0,2,0.00438064189604771,0.00438064189604771,0.00438064189604771,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x1,dot,1,65536,1,0,0,0,2,0.004729904690567328,0.004727945441291446,0.00473186393984321,0.05858039599715385
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x1,gemv,1,1024,256,0,0,0,2,0.00373469568465067,0.0037344347523606343,0.0037349566169407058,0.009880697507596544
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x2,dot,2,65536,1,0,0,0,2,0.004650384187698364,0.004646357716314051,0.004654410659082678,0.12244774217292051
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x2,gemv,2,1024,256,0,0,0,2,0.003257353947712825,0.003257271876701942,0.0032574360187237078,0.003563196954687804
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x4,dot,4,65536,1,0,0,0,2,0.00481049015822,0.004809112738299843,0.004811867578140157,0.040494125714828876
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x4,gemv,4,1024,256,0,0,0,2,0.0031599166492621107,0.003159500037630399,0.0031603332608938217,0.018645359520670247
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x8,dot,8,65536,1,0,0,0,2,0.0051608276778254015,0.005156634593832082,0.005165020761818721,0.1149024269304973
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x8,gemv,8,1024,256,0,0,0,2,0.003175959369252781,0.0031730354134806523,0.0031788833250249097,0.13019996252963356
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,decomposed_bits_x4,dot,4,65536,1,8,0,0,2,0.005019537445639266,0.005017469529391957,0.0050216053618865756,0.058261846524073596
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,decomposed_bits_x4,gemv,4,1024,256,8,0,0,2,0.0034627015678046266,0.0034590157538808455,0.003466387381728407,0.15053356280712354
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,2,0.005017469326655069,0.0050170340505587,0.00501790460275144,0.012268602332919484
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_bits_x4,gemv,4,1024,256,0,0,0,2,0.003639478236436844,0.0036373912640239882,0.0036415652088496995,0.08109472014451367
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_branchy_x4,dot,4,65536,1,0,0,0,2,0.005507529439295039,0.005501647205913768,0.005513411672676311,0.1510429370651263
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_branchy_x4,gemv,4,1024,256,0,0,0,2,0.0036390819510475534,0.0036361093729571567,0.00364205452913795,0.11551980162035054
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_branchy_x8,dot,8,65536,1,0,0,0,2,0.006314752101898193,0.006312960147857666,0.006316544055938721,0.04013151532111211
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_branchy_x8,gemv,8,1024,256,0,0,0,2,0.004313100129365921,0.004310600087046623,0.004315600171685219,0.08197337526170276
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_masked_x4,dot,4,65536,1,0,0,0,2,0.005004081596322611,0.005001578201242044,0.005006584991403177,0.07074895176603062
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_masked_x4,gemv,4,1024,256,0,0,0,2,0.003631999959116397,0.0036309565538945403,0.003633043364338253,0.04062769362362902
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_masked_x8,dot,8,65536,1,0,0,0,2,0.005575338252504966,0.0055744961688393045,0.005576180336170627,0.021359890408369598
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_words_masked_x8,gemv,8,1024,256,0,0,0,2,0.0036323497204181275,0.003632087525122804,0.003632611915713451,0.010208272087688078
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x1,dot,1,65536,1,0,0,0,2,0.005090612132533067,0.00508081629162743,0.005100407973438704,0.2721364484845916
