format,family,bits,arithmetic,distribution,kernel,strategy,samples,median_ms,minimum_ms,maximum_ms
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.360175997,0.356352001,0.363424003
e3m12,ieee,16,fp64,paired_log_uniform_finite,gemv,subnormal_lut_global,30,0.255071997,0.253248006,0.259328008
e3m4,ieee,8,fp32,field_balanced_finite,dot,full_lut_global,30,0.498879999,0.497024,0.502592027
e3m4,ieee,8,fp32,field_balanced_finite,dot,full_lut_shared,30,0.488575995,0.486144006,0.492671996
e3m4,ieee,8,fp32,field_balanced_finite,gemv,full_lut_global,30,0.120384,0.119295999,0.121919997
e3m4,ieee,8,fp32,field_balanced_finite,gemv,full_lut_shared,30,0.116175998,0.115359999,0.119199999
e3m4,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.500160009,0.498304009,0.502848029
e3m4,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,30,0.487535998,0.485792011,0.491136014
e3m4,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.121312,0.120127998,0.123103999
e3m4,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,30,0.117055997,0.116127998,0.124608003
e3m4,ieee,8,fp64,field_balanced_finite,dot,full_lut_global,30,0.503600001,0.501695991,0.507488012
e3m4,ieee,8,fp64,field_balanced_finite,dot,full_lut_shared,30,0.488416001,0.485312015,0.492895991
e3m4,ieee,8,fp64,field_balanced_finite,gemv,full_lut_global,30,0.123440001,0.122464001,0.125088006
e3m4,ieee,8,fp64,field_balanced_finite,gemv,full_lut_shared,30,0.117600001,0.116768003,0.120352
e3m4,ieee,8,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.518720001,0.516063988,0.520543993
e3m4,ieee,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,30,0.499696001,0.49744001,0.504639983
e3m4,ieee,8,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.140079997,0.138592005,0.141407996
e3m4,ieee,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,30,0.134847999,0.134112,0.143935993
e4m27,ieee,32,fp64,field_balanced_finite,dot,direct_branchy,30,0.958400011,0.95459199,0.964031994
e4m27,ieee,32,fp64,field_balanced_finite,dot,prefix_lut_global,30,1.008816,1.00575995,1.01235199
e4m27,ieee,32,fp64,field_balanced_finite,gemv,direct_branchy,30,0.221440002,0.219776005,0.225759998
e4m27,ieee,32,fp64,field_balanced_finite,gemv,prefix_lut_global,30,0.24464,0.241280004,0.248063996
e4m27,ieee,32,fp64,paired_log_uniform_finite,dot,direct_branchy,30,1.07835197,1.07488,1.08272004
e4m27,ieee,32,fp64,paired_log_uniform_finite,dot,prefix_lut_global,30,1.17118401,1.16656005,1.17491198
e4m27,ieee,32,fp64,paired_log_uniform_finite,gemv,direct_branchy,30,0.399263992,0.396351993,0.402431995
e4m27,ieee,32,fp64,paired_log_uniform_finite,gemv,prefix_lut_global,30,0.431728006,0.428736001,0.437344015
e5m8,ieee,14,fp32,field_balanced_finite,dot,direct_branchy,30,0.959903986,0.95628798,0.96409601
e5m8,ieee,14,fp32,field_balanced_finite,dot,full_lut_global,30,0.525584012,0.52384001,0.528191984
e5m8,ieee,14,fp32,field_balanced_finite,dot,full_lut_shared,30,1.01787198,1.01436806,1.02089596
e5m8,ieee,14,fp32,field_balanced_finite,gemv,direct_branchy,30,0.276239991,0.272192001,0.285952002
e5m8,ieee,14,fp32,field_balanced_finite,gemv,full_lut_global,30,0.188368,0.186719999,0.194079995
e5m8,ieee,14,fp32,field_balanced_finite,gemv,full_lut_shared,30,0.408703998,0.404639989,0.410688013
e5m8,ieee,14,fp32,lut_concentrated_control,dot,full_lut_global,30,0.524767995,0.522783995,0.529792011
e5m8,ieee,14,fp32,lut_concentrated_control,dot,full_lut_shared,30,1.01361597,1.01056004,1.02291203
e5m8,ieee,14,fp32,lut_concentrated_control,gemv,full_lut_global,30,0.189296,0.186976001,0.190720007
e5m8,ieee,14,fp32,lut_concentrated_control,gemv,full_lut_shared,30,0.406384007,0.40278399,0.410688013
e5m8,ieee,14,fp32,lut_scattered_control,dot,full_lut_global,30,0.53937599,0.5352,0.542591989
e5m8,ieee,14,fp32,lut_scattered_control,dot,full_lut_shared,30,1.00831997,1.003968,1.01702404
e5m8,ieee,14,fp32,lut_scattered_control,gemv,full_lut_global,30,0.179968,0.178655997,0.183423996
e5m8,ieee,14,fp32,lut_scattered_control,gemv,full_lut_shared,30,0.404848009,0.401183993,0.409056008
e5m8,ieee,14,fp32,paired_log_uniform_finite,dot,direct_branchy,30,1.05284799,1.05024004,1.05603194
e5m8,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.590512007,0.587072015,0.594208002
e5m8,ieee,14,fp32,paired_log_uniform_finite,dot,full_lut_shared,30,1.02495998,1.02236795,1.02825606
e5m8,ieee,14,fp32,paired_log_uniform_finite,gemv,direct_branchy,30,0.352272004,0.349408001,0.358047992
e5m8,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.275856004,0.273696005,0.278304011
e5m8,ieee,14,fp32,paired_log_uniform_finite,gemv,full_lut_shared,30,0.410576,0.406655997,0.412927985
e5m8,ieee,14,fp64,field_balanced_finite,dot,direct_branchy,30,0.973920018,0.968864024,0.978976011
e5m8,ieee,14,fp64,field_balanced_finite,dot,full_lut_global,30,0.536848009,0.533568025,0.541823983
e5m8,ieee,14,fp64,field_balanced_finite,dot,full_lut_shared,30,2.03129602,2.02739191,2.03811193
e5m8,ieee,14,fp64,field_balanced_finite,gemv,direct_branchy,30,0.337392003,0.334751993,0.341535985
e5m8,ieee,14,fp64,field_balanced_finite,gemv,full_lut_global,30,0.187824004,0.185343996,0.197791994
e5m8,ieee,14,fp64,field_balanced_finite,gemv,full_lut_shared,30,1.01131195,0.999776006,1.01699197
