format,family,bits,arithmetic,distribution,kernel,winning_strategy,median_ms
posit32_es2,posit,32,fp64,field_balanced_finite,dot,direct,1.376768
posit32_es2,posit,32,fp64,field_balanced_finite,gemv,direct,0.576767981
posit32_es2,posit,32,fp64,paired_log_uniform_finite,dot,direct,1.37727999
posit32_es2,posit,32,fp64,paired_log_uniform_finite,gemv,direct,0.579296023
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,0.489183992
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,full_lut_shared,0.115999997
posit8_es0,posit,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,0.487248003
posit8_es0,posit,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,0.116896
posit8_es0,posit,8,fp64,field_balanced_finite,dot,full_lut_shared,0.48935999
posit8_es0,posit,8,fp64,field_balanced_finite,gemv,full_lut_shared,0.117311999
posit8_es0,posit,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,0.498208001
posit8_es0,posit,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,0.133999996
takum14,takum,14,fp32,field_balanced_finite,dot,full_lut_global,0.525215983
takum14,takum,14,fp32,field_balanced_finite,gemv,full_lut_global,0.1844
takum14,takum,14,fp32,paired_log_uniform_finite,dot,full_lut_global,0.589776009
takum14,takum,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.269551992
takum14,takum,14,fp64,field_balanced_finite,dot,full_lut_global,0.533375978
takum14,takum,14,fp64,field_balanced_finite,gemv,full_lut_global,0.204895995
takum14,takum,14,fp64,paired_log_uniform_finite,dot,full_lut_global,0.609407991
takum14,takum,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.282127992
takum16,takum,16,fp32,field_balanced_finite,dot,full_lut_global,0.516640007
takum16,takum,16,fp32,field_balanced_finite,gemv,full_lut_global,0.188255995
takum16,takum,16,fp32,paired_log_uniform_finite,dot,full_lut_global,0.635919988
takum16,takum,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.242783993
takum16,takum,16,fp64,field_balanced_finite,dot,full_lut_global,0.507536024
takum16,takum,16,fp64,field_balanced_finite,gemv,full_lut_global,0.202416002
takum16,takum,16,fp64,paired_log_uniform_finite,dot,full_lut_global,0.700144023
takum16,takum,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.305312007
takum32,takum,32,fp32,field_balanced_finite,dot,direct,1.45104002
takum32,takum,32,fp32,field_balanced_finite,gemv,direct,0.571696013
takum32,takum,32,fp32,paired_log_uniform_finite,dot,direct,2.05776
takum32,takum,32,fp32,paired_log_uniform_finite,gemv,direct,0.851024002
takum32,takum,32,fp64,field_balanced_finite,dot,direct,1.19214404
takum32,takum,32,fp64,field_balanced_finite,gemv,direct,0.474511996
takum32,takum,32,fp64,paired_log_uniform_finite,dot,direct,1.19382399
