question,bits,arithmetic,distribution,kernel,numerator_format,numerator_strategy,denominator_format,denominator_strategy,ratio,ci_lower,ci_upper,classification,interval_method,note
1,14,fp64,field_balanced_finite,gemv,takum14,full_lut_shared,takum14,direct,1.83864638,1.82806909,1.85532461,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,dot,takum14,full_lut_global,takum14,direct,0.493737485,0.492387495,0.494683487,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,dot,takum14,full_lut_shared,takum14,direct,1.663569,1.66041512,1.66801738,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,gemv,takum14,full_lut_global,takum14,direct,0.522010137,0.520782476,0.523291599,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,gemv,takum14,full_lut_shared,takum14,direct,1.86650657,1.86025241,1.88087121,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,field_balanced_finite,dot,takum16,full_lut_global,takum16,direct,0.424771991,0.424106995,0.425538655,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,field_balanced_finite,gemv,takum16,full_lut_global,takum16,direct,0.383817935,0.378392473,0.391317192,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,paired_log_uniform_finite,dot,takum16,full_lut_global,takum16,direct,0.455081241,0.438934587,0.467129156,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,paired_log_uniform_finite,gemv,takum16,full_lut_global,takum16,direct,0.415401339,0.414670373,0.416131862,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,field_balanced_finite,dot,takum16,full_lut_global,takum16,direct,0.418567248,0.41799389,0.419452093,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,field_balanced_finite,gemv,takum16,full_lut_global,takum16,direct,0.414055681,0.407199077,0.424095689,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,paired_log_uniform_finite,dot,takum16,full_lut_global,takum16,direct,0.57756153,0.577011582,0.578418241,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,paired_log_uniform_finite,gemv,takum16,full_lut_global,takum16,direct,0.623145016,0.621031597,0.625477517,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,dot,takum8,full_lut_global,takum8,direct,0.401328706,0.400504052,0.402007152,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,dot,takum8,full_lut_shared,takum8,direct,0.392800589,0.392205006,0.393326097,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,gemv,takum8,full_lut_global,takum8,direct,0.236735736,0.236292559,0.237491293,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,gemv,takum8,full_lut_shared,takum8,direct,0.229667784,0.228870412,0.230650348,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,dot,takum8,full_lut_global,takum8,direct,0.352340132,0.351991134,0.352844789,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,dot,takum8,full_lut_shared,takum8,direct,0.342606193,0.34222458,0.343007871,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,gemv,takum8,full_lut_global,takum8,direct,0.20404802,0.203483184,0.20472824,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,gemv,takum8,full_lut_shared,takum8,direct,0.197502498,0.196869156,0.1986338,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,dot,takum8,full_lut_global,takum8,direct,0.401254762,0.400888449,0.401703715,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,dot,takum8,full_lut_shared,takum8,direct,0.392122655,0.391503658,0.392945593,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,gemv,takum8,full_lut_global,takum8,direct,0.237244351,0.236075292,0.238673035,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,gemv,takum8,full_lut_shared,takum8,direct,0.230472713,0.230142103,0.231297268,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,dot,takum8,full_lut_global,takum8,direct,0.413505533,0.412981022,0.413981112,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,dot,takum8,full_lut_shared,takum8,direct,0.398710195,0.397552072,0.398922679,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,gemv,takum8,full_lut_global,takum8,direct,0.278256154,0.274165317,0.279066843,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,gemv,takum8,full_lut_shared,takum8,direct,0.25974603,0.258828877,0.261127046,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,dot,takum_log14,full_lut_global,takum_log14,direct,0.238980948,0.237242962,0.239746838,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,dot,takum_log14,full_lut_shared,takum_log14,direct,0.460729451,0.457739879,0.463088005,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,gemv,takum_log14,full_lut_global,takum_log14,direct,0.205819307,0.203286594,0.20650889,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,field_balanced_finite,gemv,takum_log14,full_lut_shared,takum_log14,direct,0.446083176,0.445235494,0.449245408,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,dot,takum_log14,full_lut_global,takum_log14,direct,0.239200124,0.23899076,0.239452909,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,dot,takum_log14,full_lut_shared,takum_log14,direct,0.415732618,0.414838746,0.416210978,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,gemv,takum_log14,full_lut_global,takum_log14,direct,0.237613763,0.237200479,0.238051333,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp32,paired_log_uniform_finite,gemv,takum_log14,full_lut_shared,takum_log14,direct,0.361028507,0.360086534,0.361842448,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,dot,takum_log14,full_lut_global,takum_log14,direct,0.234978668,0.234465497,0.235183563,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,dot,takum_log14,full_lut_shared,takum_log14,direct,0.897454873,0.895829929,0.898879988,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,field_balanced_finite,gemv,takum_log14,full_lut_global,takum_log14,direct,0.21489798,0.206296716,0.215370111,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
