symbol,kernel,family,k,chain_a,chain_b,target_opcode_count,loop_instruction_count,opcode_histogram,registers,spill_loads,spill_stores,shared_bytes,status,reason
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE3ELi0EEEvPKjS4_mPdjff,dot,rot32,0,0,0,0,18,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi64EEEvPKjS4_mPdjff,dot,fma32f,64,64,64,128,146,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 128, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi48EEEvPKjS4_mPdjff,dot,fma32f,48,48,48,96,114,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 96, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi32EEEvPKjS4_mPdjff,dot,fma32f,32,32,32,64,82,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 64, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi24EEEvPKjS4_mPdjff,dot,fma32f,24,24,24,48,66,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 48, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi16EEEvPKjS4_mPdjff,dot,fma32f,16,16,16,32,50,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 32, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi12EEEvPKjS4_mPdjff,dot,fma32f,12,12,12,24,42,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 24, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi8EEEvPKjS4_mPdjff,dot,fma32f,8,8,8,16,34,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 16, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi4EEEvPKjS4_mPdjff,dot,fma32f,4,4,4,8,26,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 8, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi2EEEvPKjS4_mPdjff,dot,fma32f,2,2,2,4,22,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 4, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi1EEEvPKjS4_mPdjff,dot,fma32f,1,1,1,2,20,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FFMA': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE2ELi0EEEvPKjS4_mPdjff,dot,fma32f,0,0,0,0,18,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi64EEEvPKjS4_mPdjff,dot,mul32f,64,64,64,128,146,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 128, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi48EEEvPKjS4_mPdjff,dot,mul32f,48,48,48,96,114,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 96, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi32EEEvPKjS4_mPdjff,dot,mul32f,32,32,32,64,82,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 64, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi24EEEvPKjS4_mPdjff,dot,mul32f,24,24,24,48,66,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 48, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi16EEEvPKjS4_mPdjff,dot,mul32f,16,16,16,32,50,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 32, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi12EEEvPKjS4_mPdjff,dot,mul32f,12,12,12,24,42,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 24, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi8EEEvPKjS4_mPdjff,dot,mul32f,8,8,8,16,34,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 16, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi4EEEvPKjS4_mPdjff,dot,mul32f,4,4,4,8,26,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 8, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi2EEEvPKjS4_mPdjff,dot,mul32f,2,2,2,4,22,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 4, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi1EEEvPKjS4_mPdjff,dot,mul32f,1,1,1,2,20,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FMUL': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",23,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE1ELi0EEEvPKjS4_mPdjff,dot,mul32f,0,0,0,0,18,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi64EEEvPKjS4_mPdjff,dot,add32f,64,64,64,128,146,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 128, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi48EEEvPKjS4_mPdjff,dot,add32f,48,48,48,96,114,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 96, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi32EEEvPKjS4_mPdjff,dot,add32f,32,32,32,64,82,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 64, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi24EEEvPKjS4_mPdjff,dot,add32f,24,24,24,48,66,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 48, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi16EEEvPKjS4_mPdjff,dot,add32f,16,16,16,32,50,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 3, 'LDG.E': 2, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 32, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi12EEEvPKjS4_mPdjff,dot,add32f,12,12,12,24,42,"{'SHF.L.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 24, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi8EEEvPKjS4_mPdjff,dot,add32f,8,8,8,16,34,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 16, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi4EEEvPKjS4_mPdjff,dot,add32f,4,4,4,8,26,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 8, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",19,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi2EEEvPKjS4_mPdjff,dot,add32f,2,2,2,4,22,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 4, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi1EEEvPKjS4_mPdjff,dot,add32f,1,1,1,2,20,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'FADD': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",23,0,0,2048,pass,
_ZN3aut16instruction_cost16dot_timed_kernelILNS0_6familyE0ELi0EEEvPKjS4_mPdjff,dot,add32f,0,0,0,0,18,"{'IMAD.SHL.U32': 1, 'SHF.L.U64.HI': 1, 'IADD3': 3, 'IADD3.X': 2, 'LDG.E': 2, 'IMAD.X': 1, 'ISETP.GE.U32.AND': 1, 'ISETP.GE.U32.AND.EX': 1, 'I2FP.F32.U32': 2, 'F2F.F64.F32': 2, 'DFMA': 1, 'BRA': 1}",22,0,0,2048,pass,
