mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
full,initial,gemv,fma32f,4,4,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,61,0.132512003,3.0978359369106746e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fp32_to_fp64,0,0,67108864,0,0,float32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,62,0.268608004,3.0947540227645881e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,1,1,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,63,0.273759991,3.0949637211454223e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,mul32f,1,1,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,64,0.273600012,3.0953731071926896e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,12,12,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,65,0.187583998,3.0673673959263694e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,fma32f,2,2,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,66,0.272927999,3.0959982204315379e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,mul32f,8,8,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,67,0.142143995,3.1003036623896445e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,24,24,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,68,0.310719997,3.094824858306681e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,8,8,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,69,0.291615993,3.0945812995030167e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,rot32,32,32,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,70,0.482143998,3.0947540227645881e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
