graph_id,variant,target_x,q,component,component_bits,table_location,entry_bytes,N,left_unique_indices,right_unique_indices,mean_unique_indices,actual_x,left_unique_sectors,right_unique_sectors,mean_unique_sectors,left_shared_wavefronts,right_shared_wavefronts,mean_shared_wavefronts
g3_u8_shared_fp64,u8_shared_fp64,0.625,0.5920351670581141,0,8,shared,8,67108864,19.208847999572754,19.211633682250977,19.210240840911865,0.62500641516742883,nan,nan,nan,3.3187718391418457,3.3197622299194336,3.3192670345306396
g3_u8_shared_fp64,u8_shared_fp64,0.75,0.71572133124989534,0,8,shared,8,67108864,22.852776050567627,22.853122234344482,22.852949142456055,0.75003035509983229,nan,nan,nan,3.6938114166259766,3.6923398971557617,3.6930756568908691
g3_u8_shared_fp64,u8_shared_fp64,0.875,0.84141432689371243,0,8,shared,8,67108864,26.494932651519775,26.494877815246582,26.494905233383179,0.87502847788542659,nan,nan,nan,4.051393985748291,4.0501008033752441,4.0507473945617676
g3_u8_shared_fp64,u8_shared_fp64,1,1,0,8,shared,8,67108864,30.134752750396729,30.136766910552979,30.135759830474854,0.99998879553052666,nan,nan,nan,4.3995523452758789,4.3996415138244629,4.3995969295501709
g4_u16_split_fp32,u16_2x8_shared_fp32,0,0,0,8,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_2x8_shared_fp32,0,0,1,8,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_2x8_shared_fp32,0.125,0.11505709897654981,0,8,shared,4,67108864,4.6413512229919434,4.6424612998962402,4.6419062614440918,0.12499641255304807,nan,nan,nan,1.2422356605529785,1.2423362731933594,1.2422859668731689
g4_u16_split_fp32,u16_2x8_shared_fp32,0.125,0.11505709897654981,1,8,shared,4,67108864,4.6404252052307129,4.6393337249755859,4.6398794651031494,0.12492684945795264,nan,nan,nan,1.2425260543823242,1.2419404983520508,1.2422332763671875
g4_u16_split_fp32,u16_2x8_shared_fp32,0.25,0.23174067503786944,0,8,shared,4,67108864,8.2841615676879883,8.2841191291809082,8.2841403484344482,0.2500040766360051,nan,nan,nan,1.6249756813049316,1.6244101524353027,1.6246929168701172
g4_u16_split_fp32,u16_2x8_shared_fp32,0.25,0.23174067503786944,1,8,shared,4,67108864,8.2815308570861816,8.2813801765441895,8.2814555168151855,0.2499119286517833,nan,nan,nan,1.6247997283935547,1.6245207786560059,1.6246602535247803
g4_u16_split_fp32,u16_2x8_shared_fp32,0.375,0.35009814731076006,0,8,shared,4,67108864,11.926068305969238,11.926311492919922,11.92618989944458,0.37500540713048974,nan,nan,nan,1.9724488258361816,1.9724164009094238,1.9724326133728027
g4_u16_split_fp32,u16_2x8_shared_fp32,0.375,0.35009814731076006,1,8,shared,4,67108864,11.923225879669189,11.922422885894775,11.922824382781982,0.37488989687871149,nan,nan,nan,1.9726443290710449,1.9722743034362793,1.9724593162536621
g4_u16_split_fp32,u16_2x8_shared_fp32,0.5,0.47017905099299639,0,8,shared,4,67108864,15.568748474121094,15.569113254547119,15.568930864334106,0.50003046812441876,nan,nan,nan,2.2428855895996094,2.2428073883056641,2.2428464889526367
g4_u16_split_fp32,u16_2x8_shared_fp32,0.5,0.47017905099299639,1,8,shared,4,67108864,15.567657470703125,15.566408157348633,15.567032814025879,0.4999653238119785,nan,nan,nan,2.2428431510925293,2.2430567741394043,2.2429499626159668
g4_u16_split_fp32,u16_2x8_shared_fp32,0.625,0.5920351670581141,0,8,shared,4,67108864,19.208847999572754,19.211633682250977,19.210240840911865,0.62500641516742883,nan,nan,nan,2.4766020774841309,2.476381778717041,2.4764919281005859
g4_u16_split_fp32,u16_2x8_shared_fp32,0.625,0.5920351670581141,1,8,shared,4,67108864,19.210464477539062,19.208577632904053,19.209521055221558,0.62498171089921406,nan,nan,nan,2.4769959449768066,2.4765024185180664,2.4767491817474365
g4_u16_split_fp32,u16_2x8_shared_fp32,0.75,0.71572133124989534,0,8,shared,4,67108864,22.852776050567627,22.853122234344482,22.852949142456055,0.75003035509983229,nan,nan,nan,2.7084603309631348,2.7076807022094727,2.7080705165863037
g4_u16_split_fp32,u16_2x8_shared_fp32,0.75,0.71572133124989534,1,8,shared,4,67108864,22.851722240447998,22.849462985992432,22.850592613220215,0.74994947501138121,nan,nan,nan,2.708287239074707,2.7076835632324219,2.7079854011535645
g4_u16_split_fp32,u16_2x8_shared_fp32,0.875,0.84141432689371243,0,8,shared,4,67108864,26.494932651519775,26.494877815246582,26.494905233383179,0.87502847788542659,nan,nan,nan,2.9383573532104492,2.9368405342102051,2.9375989437103271
g4_u16_split_fp32,u16_2x8_shared_fp32,0.875,0.84141432689371243,1,8,shared,4,67108864,26.491269111633301,26.49222993850708,26.49174952507019,0.87492016861279009,nan,nan,nan,2.9376435279846191,2.9374942779541016,2.9375689029693604
g4_u16_split_fp32,u16_2x8_shared_fp32,1,1,0,8,shared,4,67108864,30.134752750396729,30.136766910552979,30.135759830474854,0.99998879553052666,nan,nan,nan,3.1523227691650391,3.1521744728088379,3.1522486209869385
g4_u16_split_fp32,u16_2x8_shared_fp32,1,1,1,8,shared,4,67108864,30.135079383850098,30.135956287384033,30.135517835617065,0.99998048985572108,nan,nan,nan,3.1522693634033203,3.1523785591125488,3.1523239612579346
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,0,4,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,1,4,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,2,4,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0,0,3,4,shared,4,67108864,1,1,1,0,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.125,0.057095615836163738,0,4,shared,4,67108864,2.6212997436523438,2.6223888397216797,2.6218442916870117,0.12503252271230522,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.125,0.057095615836163738,1,4,shared,4,67108864,2.619530200958252,2.621131420135498,2.620330810546875,0.12491584420870364,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.125,0.057095615836163738,2,4,shared,4,67108864,2.6214947700500488,2.6208748817443848,2.6211848258972168,0.1249816826459911,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.125,0.057095615836163738,3,4,shared,4,67108864,2.6205000877380371,2.6220097541809082,2.6212549209594727,0.1249870864708271,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.25,0.12133171630123218,0,4,shared,4,67108864,4.2422623634338379,4.2430238723754883,4.2426431179046631,0.2499844475609852,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.25,0.12133171630123218,1,4,shared,4,67108864,4.2407355308532715,4.2412266731262207,4.2409811019897461,0.24985631809523118,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.25,0.12133171630123218,2,4,shared,4,67108864,4.2424039840698242,4.2409915924072266,4.2416977882385254,0.2499115694471257,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.25,0.12133171630123218,3,4,shared,4,67108864,4.2417936325073242,4.2437558174133301,4.2427747249603271,0.24999459351782014,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.375,0.19479605376391529,0,4,shared,4,67108864,5.8639416694641113,5.8654069900512695,5.8646743297576904,0.37503138047285306,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.375,0.19479605376391529,1,4,shared,4,67108864,5.8624567985534668,5.8619332313537598,5.8621950149536133,0.37484024314472564,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.375,0.19479605376391529,2,4,shared,4,67108864,5.8639822006225586,5.8631820678710938,5.8635821342468262,0.37494718005933719,nan,nan,nan,1,1,1
g4_u16_split_fp32,u16_4x4_shared_fp32,0.375,0.19479605376391529,3,4,shared,4,67108864,5.8623824119567871,5.8653073310852051,5.8638448715209961,0.37496743521229386,nan,nan,nan,1,1,1
