graph_id,variant,label,target_x,actual_x,samples,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.5,0.49999789596819866,50,0.268559992313385,0.26812800765037537,0.269167996942997,0.2672320008277893,0.2727360129356384
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.625,0.6249940630333214,50,0.26972800493240356,0.2691039964556694,0.2701999992132187,0.2669439911842346,0.2717120051383972
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.75,0.7499899150556067,50,0.2701759934425354,0.26953601092100143,0.27107200026512146,0.26790401339530945,0.2725119888782501
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,0.875,0.8749743232491083,50,0.27163200080394745,0.27108799666166306,0.27211999148130417,0.26982399821281433,0.2741119861602783
g4_u16_split_fp32,u16_2x8_shared_fp32,2 x 8-bit shared LUTs,1.0,0.9999846426931238,50,0.2733439952135086,0.27264799177646637,0.273936003446579,0.2715199887752533,0.2759679853916168
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.0,0.0,50,0.2773759961128235,0.27699199318885803,0.27771999686956406,0.2744959890842438,0.27932798862457275
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.125,0.12497928400945676,50,0.2778239995241165,0.2770959883928299,0.27877600491046906,0.27513599395751953,0.28041601181030273
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.25,0.24993673215529055,50,0.2778880000114441,0.2770320028066635,0.27832799404859543,0.2747519910335541,0.2791680097579956
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.375,0.37494655972230245,50,0.27799999713897705,0.27718400955200195,0.27848799526691437,0.2754240036010742,0.27990400791168213
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.5,0.49993895352109347,50,0.27777600288391113,0.27723999321460724,0.27848000079393387,0.2754240036010742,0.2796800136566162
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.625,0.6249115241053076,50,0.27799999713897705,0.27719200402498245,0.2787280008196831,0.2756800055503845,0.28064000606536865
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.75,0.7499725961064784,50,0.277536004781723,0.27690400183200836,0.27822399884462357,0.27507200837135315,0.2800639867782593
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,0.875,0.8749800112516886,50,0.2777920067310333,0.2770959883928299,0.2783439978957176,0.2744959890842438,0.2802880108356476
g4_u16_split_fp32,u16_4x4_shared_fp32,4 x 4-bit shared LUTs,1.0,0.9999968601149158,50,0.2773600071668625,0.27671200782060623,0.27801600098609924,0.27555200457572937,0.2791999876499176
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.0,0.0,50,0.2889440059661865,0.2884159982204437,0.2895919978618622,0.28780800104141235,0.2921279966831207
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.125,0.1249584196065571,50,0.3755680024623871,0.3746480122208595,0.37640000134706497,0.3734720051288605,0.3786559998989105
