format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
e0m1,gemv,uniform_0_1,word_masked_x2,2,5,0.9906034759080126,22.2,0,0.14194914561924243
e0m1,gemv,uniform_0_1,fixed_integer_x2,2,5,0.967493325694424,23.6,0,0.21428026992484644
e0m1,gemv,uniform_0_1,full_high_global_x1,1,5,0.9405743814033424,25.4,0,0.16651237119524223
e0m1,gemv,uniform_0_1,full_high_shared_x1,1,5,0.9243099388127277,27.4,0,0.17680558456798576
e0m1,gemv,uniform_0_1,fp32_bits_x4,4,5,0.892274396621153,30.0,0,0.16487165424894754
e0m1,gemv,uniform_0_1,full_high_warp_x2,2,5,0.8468035115596564,31.6,0,0.19481659184381578
e0m1,gemv,uniform_0_1,word_masked_x1,1,5,0.8313733562425061,27.2,0,0.20289772015643767
e0m1,gemv,uniform_0_1,word_branchy_x1,1,5,0.8308895382503159,28.8,0,0.1777066192322982
e0m1,gemv,uniform_0_1,fp32_bits_x8,8,5,0.8154329682591732,32.6,0,0.1580237247902978
e0m1,gemv,uniform_0_1,fixed_integer_x1,1,5,0.804225619978612,29.2,0,0.16742538780774316
e0m1,gemv,uniform_0_1,fp32_bits_x2,2,5,0.7436582351962033,33.6,0,0.21199841517742843
e0m1,gemv,uniform_0_1,full_high_warp_x1,1,5,0.7033348766894478,36.0,0,0.1843861388394925
e0m1,gemv,uniform_0_1,generic_x4,4,5,0.6830276464215234,38.0,0,0.13146185060901786
e0m1,gemv,uniform_0_1,generic_x8,8,5,0.6446313161872719,38.6,0,0.10984588856650673
e0m1,gemv,uniform_0_1,fp32_bits_x1,1,5,0.6420626842164443,36.4,0,0.2062280335439247
e0m1,gemv,uniform_0_1,generic_x2,2,5,0.6136851401115041,39.6,0,0.169102313696855
e0m1,gemv,uniform_0_1,generic_x1,1,5,0.5779795687765114,39.8,0,0.07014992033516296
e0m15,dot,normal_0_1,fixed_integer_x8,8,5,1.5785955137936194,5.0,3,0.12862241900573218
e0m15,dot,normal_0_1,fixed_integer_x4,4,5,1.570394352246325,1.8,1,0.1314839137664665
e0m15,dot,normal_0_1,fixed_integer_x2,2,5,1.4034751511020565,4.0,1,0.06230477039909083
e0m15,dot,normal_0_1,fp32_bits_x4,4,5,1.2862395370417476,8.4,0,0.0769116981146983
e0m15,dot,normal_0_1,fixed_integer_x1,1,5,1.2374904853990134,6.6,0,0.05883212164618683
e0m15,dot,normal_0_1,fp32_bits_x8,8,5,1.2071788582785559,11.4,0,0.12181514225175563
e0m15,dot,normal_0_1,fp32_bits_x2,2,5,1.1621222472906054,9.6,0,0.09895686679540301
