N,stage,variant_id,n,q1_ms,median_ms,q3_ms,ratio_fp32_to_fp64
67108864,initial,fp32_to_fp64,50,0.2623120025,0.262751997,0.26346399649999996,1.0
67108864,initial,raw_fp32,50,0.25936798775,0.260031998,0.26063199325,0.9896480368139694
67108864,initial,raw_fp64,50,0.304320008,0.30476799600000004,0.305184007,1.1599074392572553
67108864,initial,reconstruct32_b128_s32,50,0.271335997,0.272000015,0.27251999849999997,1.0351967562781264
67108864,initial,reconstruct32_b16_s32,50,0.282752007,0.2833440005,0.28410400425,1.0783704928415825
67108864,initial,reconstruct32_b32_s32,50,0.27536001025,0.275983989,0.27671199275,1.0503592442724612
67108864,initial,reconstruct64_b128_s32,50,0.27480799725,0.275279999,0.2758880035,1.0476799496979654
67108864,initial,reconstruct64_b128_s64,50,0.27027998875,0.270640001,0.2713839935,1.030020719499993
67108864,initial,reconstruct64_b16_s32,50,0.2830160035,0.283647999,0.284096003,1.0795274716789307
67108864,initial,reconstruct64_b16_s64,50,0.282632008,0.283311993,0.283968002,1.078248676450592
67108864,initial,reconstruct64_b32_s32,50,0.277824014,0.278144002,0.278560013,1.0585799734188128
67108864,initial,reconstruct64_b32_s64,50,0.27591200174999997,0.276511997,0.27694398875000004,1.0523687741943213
268435456,initial,deferred_local_b128_s32,50,1.1798160075,1.18083203,1.1822000149999998,1.1366394320499271
268435456,initial,deferred_local_b128_s64,50,1.2086160175,1.2096959950000001,1.2109919775,1.1644231641564395
268435456,initial,fp32_to_fp64,50,1.03739202,1.03888005,1.040304035,1.0
268435456,initial,raw_fp32,50,1.0260879975,1.02736002,1.02839199,0.9889111067249775
268435456,initial,raw_fp64,50,1.208303955,1.20968002,1.21126401,1.164407787020263
268435456,initial,reconstruct32_b128_s32,50,1.0693279825,1.070128025,1.0716880275,1.0300785206145793
268435456,initial,reconstruct32_b16_s32,50,1.1015520425,1.10217595,1.10408798,1.0609270531280295
268435456,initial,reconstruct32_b32_s32,50,1.08050403,1.08198404,1.083368,1.0414908246625778
268435456,initial,reconstruct64_b128_s32,50,1.0835599875000002,1.0847519650000002,1.08679196,1.044155160165026
268435456,initial,reconstruct64_b128_s64,50,1.05296004,1.053728045,1.0548640175,1.014292309299808
268435456,initial,reconstruct64_b16_s32,50,1.1042080225,1.105599995,1.1075039775,1.0642229533621326
268435456,initial,reconstruct64_b16_s64,50,1.101040035,1.10233605,1.103344055,1.0610811613910576
268435456,initial,reconstruct64_b32_s32,50,1.087952045,1.088752035,1.09011197,1.0480055276833933
268435456,initial,reconstruct64_b32_s64,50,1.0826720325,1.08422399,1.08523202,1.0436469446111705
