profile_sequence,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,kernel_count,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,timing_status,report,duration_ms,dram_total_bytes,measured_dram_gb_per_s,inferred_sustained_dram_gb_per_s,executed_flops,executed_gflop_per_s,useful_gflop_per_s_profiler_contaminated,algorithmic_intensity_unique,measured_executed_intensity,dram_percent_peak,sm_percent_peak,achieved_occupancy_percent,issue_active_percent,pipe_alu_percent,pipe_fma_percent,pipe_fp64_percent,pipe_lsu_percent,pipe_xu_percent,registers_per_thread_max,bottleneck_class
10,normal_0_1,e11m4,16,dot,4,134217728,1,134217728,2,268435456,536904712,536904712,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.14016,539380224.0,3848.3178082191776,4604.589080214615,272779015.0,1946.1973102168947,1915.207305936073,0.4999685232786707,0.5057267635381456,83.57570547945207,42.234710045662105,93.9191894977169,44.033109589041096,27.436230593607306,19.997945205479454,9.094303652968037,9.92326712328767,0.0,29.0,memory_bandwidth
11,normal_0_1,e1m30,32,dot,4,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.665888,1076227840.0,1616.2295160747753,4602.078511381791,272779015.0,409.6469901845355,403.1240328703926,0.2499921305719639,0.25345842660974094,35.11955548080158,85.32705367869673,64.47334326493345,65.86751405641792,85.32705367869673,10.455460618001828,1.8316858090249413,1.9703988658753424,14.188139266663464,40.0,compute_or_conversion
12,normal_0_1,e2m29,32,dot,4,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.832704,1076260864.0,1292.489124586888,4601.3184175388715,272779015.0,327.5822080835447,322.36599800169085,0.2499921305719639,0.2534506494886355,28.089538851740834,84.71384520790099,65.10436092537084,64.35194066559065,84.71384520790099,9.319995388517409,1.5087426024133426,1.6179970793943583,11.662401045269387,40.0,compute_or_conversion
13,normal_0_1,e3m28,32,dot,4,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.7975679999999999,1076195840.0,1349.3468143155194,4602.485494784517,272779015.0,342.013489758867,336.56748515487084,0.2499921305719639,0.25346596303512936,29.317785267212326,85.20266570373937,65.14931953137538,64.1774241694752,85.20259027443427,9.378719306692345,1.5185347456267053,1.6277804525758304,11.720917990691705,40.0,compute_or_conversion
14,normal_0_1,fp32_e8m23,32,dot,4,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.26115199999999994,1077186304.0,4124.74843769146,4603.216495774683,272779015.0,1044.5220216578853,1027.889719397133,0.2499921305719639,0.2532329031543275,89.6057885063105,36.58857492954295,95.3210537924274,16.084813135645142,9.738349466977088,1.2697341012130867,4.737317730670261,5.167306702609975,36.58787648572479,32.0,memory_bandwidth
15,normal_0_1,e11m20,32,dot,4,134217728,1,134217728,2,268435456,1073775624,1073775624,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.25808,1076226048.0,4170.125728456293,4603.989359044367,272779015.0,1056.9552658090515,1040.12498450093,0.2499921305719639,0.25345884863771667,90.57635461872289,17.000551766893985,96.15655300681958,18.165127092374455,9.823471791692498,7.616243025418473,4.775034097954122,5.214668319900806,0.0,29.0,memory_bandwidth
16,normal_0_1,fp64_e11m52,64,dot,4,134217728,1,134217728,2,268435456,2147517448,2147517448,268435456,268437567,profiler_contaminated,dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0.51088,2150025728.0,4208.475039148137,4601.879940407883,272779015.0,533.9395063419981,525.4373943000313,0.12499803261202654,0.1268724422445609,91.45121327904793,5.91981647353586,70.07864516129034,6.281158784841842,4.92159223300971,0.6324635139367367,2.391620419668024,4.9117099906044475,0.0,38.0,memory_bandwidth
0,normal_0_1,e1m6,8,gemv,1,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.425952,69645824.0,163.5062730072872,4605.810507247527,135535616.0,318.19457591465704,315.1005934941026,1.9978051457139374,1.9460695303138347,3.55,70.4,66.88,62.06,70.4,13.79,1.41,5.66,11.02,26.0,compute_or_conversion
1,normal_0_1,e2m5,8,gemv,1,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.483392,69881344.0,144.56454388984508,4603.966365918633,135535616.0,280.38448298689264,277.6581490798358,1.9978051457139374,1.9395107226329247,3.14,68.86,69.54,60.6,68.86,13.28,1.23,4.95,9.65,22.0,compute_or_conversion
2,normal_0_1,e3m4,8,gemv,1,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.484608,69574912.0,143.5694664553619,4601.585463312881,135535616.0,279.6809297411516,276.96143687268886,1.9978051457139374,1.9480529993340128,3.12,68.66,69.45,60.41,68.66,13.24,1.23,4.94,9.61,22.0,compute_or_conversion
3,normal_0_1,fp8_e4m3,8,gemv,1,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.13142399999999999,69679872.0,530.191380569759,4602.3557341124915,135535616.0,1031.2851229607986,1021.2573654735818,1.9978051457139374,1.9451186133062932,11.52,50.35,93.8,53.78,41.12,18.11,4.62,18.55,36.14,21.0,compute_or_conversion
4,normal_0_1,fp8_e5m2,8,gemv,1,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.131872,69634560.0,528.0465906333415,4603.719185992514,135535616.0,1027.781606406212,1017.7879155544771,1.9978051457139374,1.9463843241057315,11.47,50.75,93.77,53.34,41.44,18.25,4.66,18.7,36.43,21.0,compute_or_conversion
5,normal_0_1,e1m14,16,gemv,1,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.423712,136772352.0,322.79555924779095,4604.78686516107,135535616.0,319.8767464692999,316.7664073710445,0.9989634778367172,0.9909577046682652,7.01,70.33,67.14,61.44,70.33,13.78,1.41,5.65,11.01,26.0,compute_or_conversion
6,normal_0_1,e2m13,16,gemv,1,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.4904,136819456.0,278.9956280587276,4603.888251794186,135535616.0,276.3776835236542,273.6903099510604,0.9989634778367172,0.9906165392150076,6.06,68.51,70.31,59.99,68.51,13.21,1.23,4.93,9.6,22.0,compute_or_conversion
7,normal_0_1,e3m12,16,gemv,1,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.49295999999999995,136787712.0,277.4823758519961,4601.697775323319,135535616.0,274.9424212917884,272.26900357026943,0.9989634778367172,0.9908464292465101,6.03,68.22,70.35,59.84,68.22,13.16,1.22,4.91,9.55,22.0,compute_or_conversion
8,normal_0_1,fp16_e5m10,16,gemv,1,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.132928,136819200.0,1029.2729898892635,4603.188684656814,135535616.0,1019.6167549350025,1009.7024554646125,0.9989634778367172,0.9906183927402002,22.36,46.48,95.28,48.88,32.53,18.36,4.69,18.84,36.7,23.0,instruction_throughput_or_overhead
9,normal_0_1,bf16_e8m7,16,gemv,1,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.132928,136802560.0,1029.1478093403948,4604.6881849682095,135535616.0,1019.6167549350025,1009.7024554646125,0.9989634778367172,0.9907388867576747,22.35,45.87,95.29,49.31,32.1,18.12,4.63,18.59,36.22,23.0,instruction_throughput_or_overhead
10,normal_0_1,e11m4,16,gemv,1,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.128096,136822272.0,1068.1229078191357,4603.978050944551,135535616.0,1058.0784411691234,1047.7901573819636,0.9989634778367172,0.990596150895667,23.2,47.78,93.18,50.87,33.43,23.59,4.82,19.36,0.0,23.0,instruction_throughput_or_overhead
11,normal_0_1,e1m30,32,gemv,1,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.446144,271452416.0,608.4412566346291,4602.430080443488,135535616.0,303.7934299239708,300.8394778367523,0.4994969665558977,0.4992978806274467,13.22,69.73,67.42,57.95,69.73,11.18,1.34,5.39,10.51,26.0,compute_or_conversion
12,normal_0_1,e2m29,32,gemv,1,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.53936,271435008.0,503.2538712548205,4600.126793919749,135535616.0,251.28970631859983,248.84627706911897,0.4994969665558977,0.49932990220627693,10.94,68.47,68.28,57.23,68.47,11.41,1.11,4.46,8.68,22.0,compute_or_conversion
13,normal_0_1,e3m28,32,gemv,1,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.542624,271475456.0,500.3012325293389,4602.587235780487,135535616.0,249.7781447189951,247.34941322167833,0.4994969665558977,0.4992555054406097,10.87,68.04,68.28,57.09,68.04,11.34,1.1,4.43,8.62,22.0,compute_or_conversion
14,normal_0_1,fp32_e8m23,32,gemv,1,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.138176,271162624.0,1962.4437239462716,4603.433553709293,135535616.0,980.8911533117184,971.3534043538675,0.4994969665558977,0.4998314812000049,42.63,40.4,93.63,42.96,31.36,13.28,4.53,18.17,35.39,23.0,instruction_throughput_or_overhead
15,normal_0_1,e11m20,32,gemv,1,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.13312,271189760.0,2037.1826923076924,4604.843337042704,135535616.0,1018.1461538461538,1008.2461538461538,0.4994969665558977,0.4997814666748479,44.24,41.65,95.58,44.69,32.34,18.26,4.67,18.73,0.0,21.0,instruction_throughput_or_overhead
16,normal_0_1,fp64_e11m52,64,gemv,1,65536,1024,65536,1,134217728,537403392,1073750016,134217728,134478848,profiler_contaminated,gemv_x1/gemv_x1_20260808T131626Z_ncu_raw.csv,0.157472,539887360.0,3428.465758992075,4604.439644093574,135535616.0,860.6966063808169,852.3275756959968,0.2497522903614274,0.25104424745191295,74.46,31.19,94.55,33.49,27.19,11.52,3.92,15.75,0.0,21.0,memory_bandwidth
0,normal_0_1,e1m6,8,gemv,4,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.36275199999999996,69645312.0,191.99153140437545,4604.113462934663,136322048.0,375.7995765702188,369.9985885673959,1.9978051457139374,1.9573757958037434,4.17,78.99,54.7,65.78,78.99,12.28,1.66,1.78,12.86,39.0,compute_or_conversion
1,normal_0_1,e2m5,8,gemv,4,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.402912,69864192.0,173.39814152966403,4599.420199725837,136322048.0,338.34199031053925,333.11921213565245,1.9978051457139374,1.9512434638906293,3.77,79.77,55.79,65.97,79.77,11.59,1.5,1.6,11.58,37.0,compute_or_conversion
2,normal_0_1,e3m4,8,gemv,4,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.4072,69613056.0,170.95544204322198,4595.576399011343,136322048.0,334.77909626719054,329.6113163064833,1.9978051457139374,1.9582827681060289,3.72,79.34,55.86,65.77,79.34,11.53,1.49,1.59,11.5,37.0,compute_or_conversion
3,normal_0_1,fp8_e4m3,8,gemv,4,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.07731199999999999,69642240.0,900.7947019867551,4600.585811985471,136322048.0,1763.2715231788081,1736.0529801324503,1.9978051457139374,1.957462137920894,19.58,62.17,66.4,45.62,28.17,12.69,8.04,8.66,62.17,28.0,compute_or_conversion
4,normal_0_1,fp8_e5m2,8,gemv,4,65536,1024,65536,1,134217728,67182592,134225920,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.078592,69821440.0,888.4039087947883,4603.1290611128925,136322048.0,1734.553745928339,1707.7785016286646,1.9978051457139374,1.9524382195497543,19.3,61.44,66.06,45.12,27.84,12.54,7.95,8.56,61.44,28.0,compute_or_conversion
5,normal_0_1,e1m14,16,gemv,4,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.358624,136791040.0,381.4330329258499,4601.122230709891,136322048.0,380.1252788435799,374.25751762291424,0.9989634778367172,0.996571471347831,8.29,78.47,54.72,65.07,78.47,12.25,1.69,1.8,13.04,40.0,compute_or_conversion
6,normal_0_1,e2m13,16,gemv,4,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.39689599999999997,136853760.0,344.8101265822785,4603.606496425614,136322048.0,343.47045069741193,338.1685076191244,0.9989634778367172,0.9961147432120243,7.49,79.61,55.87,65.6,79.61,11.6,1.52,1.63,11.77,37.0,compute_or_conversion
7,normal_0_1,e3m12,16,gemv,4,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.396704,137085440.0,345.5610228281036,4601.345177471419,136322048.0,343.6366862950714,338.3321771396306,0.9989634778367172,0.9944312685577695,7.51,79.54,55.99,65.42,79.54,11.59,1.52,1.63,11.75,37.0,compute_or_conversion
8,normal_0_1,fp16_e5m10,16,gemv,4,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.0808,136864256.0,1693.8645544554456,4601.64236472547,136322048.0,1687.1540594059406,1661.1104950495048,0.9989634778367172,0.9960383520442327,36.81,61.3,66.81,46.72,31.6,12.54,7.93,8.62,61.3,31.0,compute_or_conversion
9,normal_0_1,bf16_e8m7,16,gemv,4,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.08169599999999999,136891392.0,1675.6192714453584,4600.821722804389,136322048.0,1668.6502154328243,1642.8922835879357,0.9989634778367172,0.9958409072208134,36.42,60.49,67.31,42.32,23.66,12.38,7.82,8.51,60.49,30.0,compute_or_conversion
10,normal_0_1,e11m4,16,gemv,4,65536,1024,65536,1,134217728,134356992,268443648,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.058176,137042176.0,2355.6479647964793,4601.773715171868,136322048.0,2343.2695269526953,2307.097909790979,0.9989634778367172,0.9947452089493967,51.19,54.98,78.49,59.34,32.62,27.49,10.79,11.73,0.0,30.0,mixed_memory_compute
11,normal_0_1,e1m30,32,gemv,4,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.35654399999999997,271445760.0,761.3247172859451,4602.930576093985,136322048.0,382.3428468856579,376.44085442469935,0.4994969665558977,0.5022073212711077,16.54,79.23,54.83,64.99,79.23,11.54,1.7,1.82,13.17,40.0,compute_or_conversion
12,normal_0_1,e2m29,32,gemv,4,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.4224,271500800.0,642.7575757575756,4600.984794256088,136322048.0,322.7321212121212,317.75030303030303,0.4994969665558977,0.5021055112913111,13.97,80.27,55.88,63.04,80.27,9.51,1.43,1.53,11.05,37.0,compute_or_conversion
13,normal_0_1,e3m28,32,gemv,4,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.42470399999999997,271737088.0,639.8270042194093,4603.071972801506,136322048.0,320.9813140446052,316.0265220012056,0.4994969665558977,0.501668907263774,13.9,80.05,55.98,62.89,80.05,9.48,1.43,1.52,11.01,37.0,compute_or_conversion
14,normal_0_1,fp32_e8m23,32,gemv,4,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.07792,271148032.0,3479.8258726899385,4604.162308401612,136322048.0,1749.5129363449691,1722.5067761806984,0.4994969665558977,0.5027587587285163,75.58,64.86,92.13,32.79,17.29,5.16,8.39,9.13,64.86,32.0,mixed_memory_compute
15,normal_0_1,e11m20,32,gemv,4,65536,1024,65536,1,134217728,268705792,536879104,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.07184,271162112.0,3774.528285077951,4610.3924332209,136322048.0,1897.5786191536747,1868.2868596881958,0.4994969665558977,0.5027326531517795,81.87,36.76,93.53,39.15,18.36,18.38,8.91,9.69,0.0,28.0,memory_bandwidth
16,normal_0_1,fp64_e11m52,64,gemv,4,65536,1024,65536,1,134217728,537403392,1073750016,134217728,134478848,profiler_contaminated,gemv_x4/gemv_x4_20260808T131626Z_ncu_raw.csv,0.133024,540161280.0,4060.630262208323,4604.933388759722,136322048.0,1024.7928794803945,1008.9737791676689,0.2497522903614274,0.25237286167568324,88.18,13.36,97.61,14.38,9.74,2.91,4.73,9.69,0.0,32.0,memory_bandwidth
0,normal_0_1,e1m6,8,register_decode,1,1048576,1,1048576,1,8650752,135168,135168,8650752,8650752,profiler_contaminated,register_decode_x1/register_decode_x1_20260808T131626Z_ncu_raw.csv,0.022368,246784.0,11.032904148783977,4597.043395326657,8650752.0,386.7467811158798,386.7467811158798,64.0,35.053941908713696,0.24,62.26,37.8,67.17,62.26,12.13,3.41,0.32,13.65,19.0,compute_or_conversion
1,normal_0_1,e2m5,8,register_decode,1,1048576,1,1048576,1,8650752,135168,135168,8650752,8650752,profiler_contaminated,register_decode_x1/register_decode_x1_20260808T131626Z_ncu_raw.csv,0.025727999999999997,140544.0,5.46268656716418,4552.238805970151,8650752.0,336.2388059701493,336.2388059701493,64.0,61.55191256830601,0.12,59.96,38.38,68.82,59.96,13.49,2.96,0.28,11.84,20.0,compute_or_conversion
