report,profile_sequence,distribution,format,storage_bits,component,lanes,n,m,operation_kernel_index,kernel_name,duration_ms,dram_read_bytes,dram_write_bytes,dram_total_bytes,measured_dram_gb_per_s,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,sp_flops_executed,dp_flops_executed,total_flops_executed,registers_per_thread,achieved_occupancy_percent,block_size,grid_size,shared_memory_bytes,issue_active_percent,pipe_alu_percent,pipe_fma_percent,pipe_fp64_percent,pipe_lsu_percent,pipe_xu_percent
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,16,normal_0_1,fp64_e11m52,64,dot,1,134217728,1,0,"void storage_dot_map_reduce<storage::fp64_e11m52, 1>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.517728,2147509248.0,2458368.0,2149967616.0,4152.69720007417,90.24,18.36,0.0,0.93,0.0,271153600.0,271153600.0,22.0,99.91,256.0,2112.0,1152.0,16.94,18.36,2.32,2.33,9.34,0.0
dot_x1/dot_x1_20260808T131626Z_ncu_raw.csv,16,normal_0_1,fp64_e11m52,64,dot,1,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.00624,20736.0,0.0,20736.0,3.323076923076923,0.07,0.02,0.0,31.47,0.0,3399.0,3399.0,18.0,13.07,256.0,1.0,1152.0,4.85,0.02,0.0,0.01,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0,normal_0_1,e1m6,8,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e1m6, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.6696,268447744.0,2439936.0,270887680.0,404.5514934289128,8.79,86.27,0.0,1.61,0.0,272775616.0,272775616.0,40.0,64.76,256.0,2112.0,1152.0,68.79,86.27,12.33,1.82,1.95,14.05
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,0,normal_0_1,e1m6,8,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006304,20736.0,0.0,20736.0,3.2893401015228423,0.07,0.02,0.0,55.72,0.0,3399.0,3399.0,18.0,14.22,256.0,1.0,1152.0,4.39,0.02,0.0,0.01,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,1,normal_0_1,e2m5,8,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e2m5, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.759296,268458496.0,2463488.0,270921984.0,356.8068105192178,7.75,84.73,0.0,1.57,0.0,272775616.0,272775616.0,40.0,65.32,256.0,2112.0,1152.0,67.0,84.73,11.37,1.59,1.71,12.3
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,1,normal_0_1,e2m5,8,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.0063999999999999994,20736.0,0.0,20736.0,3.2399999999999993,0.07,0.02,0.0,39.3,0.0,3399.0,3399.0,18.0,11.16,256.0,1.0,1152.0,4.36,0.02,0.0,0.0,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,2,normal_0_1,e3m4,8,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e3m4, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.767072,268453888.0,2466816.0,270920704.0,353.1881022902674,7.67,84.28,0.0,1.64,0.0,272775616.0,272775616.0,40.0,65.4,256.0,2112.0,1152.0,66.91,84.28,11.31,1.58,1.7,12.22
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,2,normal_0_1,e3m4,8,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006304,20736.0,0.0,20736.0,3.2893401015228423,0.07,0.02,0.0,39.48,0.0,3399.0,3399.0,18.0,12.15,256.0,1.0,1152.0,4.82,0.02,0.0,0.0,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,3,normal_0_1,fp8_e4m3,8,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::fp8_e4m3, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.132192,268454400.0,2440448.0,270894848.0,2049.252965383684,44.53,73.33,0.0,1.74,0.0,272775616.0,272775616.0,32.0,81.4,256.0,2112.0,1152.0,48.59,33.24,11.69,9.49,10.35,73.33
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,3,normal_0_1,fp8_e4m3,8,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006464,20736.0,0.0,20736.0,3.207920792079208,0.07,0.02,0.0,37.93,0.0,3399.0,3399.0,18.0,12.3,256.0,1.0,1152.0,4.59,0.02,0.0,0.0,0.02,0.0
