gpu,compute_capability,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,blocks,threads,decode_repeats,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,arithmetic_intensity_unique,arithmetic_intensity_requested,decoded_gvalues_per_s,unique_storage_gb_per_s,requested_storage_gb_per_s,useful_gflop_per_s,theoretical_hbm_gb_per_s,modeled_fp64_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,0,3,1,1241,12.593695640563965,0.010148022272815443,69206016,540672,540672,69206016,69206016,128,128,6819.655509171409,53.278558665401633,53.278558665401633,6819.655509171409,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,0,3,2,929,13.321120262145996,0.014339203726744883,138412032,1081344,1081344,138412032,138412032,128,128,9652.700013030686,75.411718851802235,75.411718851802235,9652.700013030686,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,0,4,0,1241,12.592927932739258,0.010147403652489329,69206016,540672,540672,69206016,69206016,128,128,6820.0712586241307,53.281806708001021,53.281806708001021,6820.0712586241307,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,0,4,1,929,13.32960033416748,0.014348331898996211,138412032,1081344,1081344,138412032,138412032,128,128,9646.5591243873514,75.363743159276183,75.363743159276183,9646.5591243873514,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,0,4,2,1434,11.754112243652344,0.0081967309927840609,34603008,270336,270336,34603008,34603008,128,128,4221.5619898301575,32.980953045548105,32.980953045548105,4221.5619898301575,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,1,0,0,1241,12.593152046203613,0.010147584243516207,69206016,540672,540672,69206016,69206016,128,128,6819.9498855325246,53.280858480722848,53.280858480722848,6819.9498855325246,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,1,0,1,929,13.317728042602539,0.014335552252532335,138412032,1081344,1081344,138412032,138412032,128,128,9655.158696488299,75.430927316314836,75.430927316314836,9655.158696488299,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,1,0,2,1434,11.75004768371582,0.008193896571628884,34603008,270336,270336,34603008,34603008,128,128,4223.0223066046328,32.992361770348694,32.992361770348694,4223.0223066046328,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,1,1,0,929,13.323200225830078,0.01434144265428426,138412032,1081344,1081344,138412032,138412032,128,128,9651.1930728706557,75.399945881801997,75.399945881801997,9651.1930728706557,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,1,1,1,1434,11.75391960144043,0.0081965966537241482,34603008,270336,270336,34603008,34603008,128,128,4221.63117960404,32.981493590656562,32.981493590656562,4221.63117960404,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,1,1,2,1241,12.593024253845215,0.010147481268207264,69206016,540672,540672,69206016,69206016,128,128,6820.0190934894426,53.281399167886271,53.281399167886271,6820.0190934894426,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,1,2,0,1434,11.755935668945312,0.0081980025585392698,34603008,270336,270336,34603008,34603008,128,128,4220.9071969557426,32.975837476216739,32.975837476216739,4220.9071969557426,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,1,2,1,1241,12.593631744384766,0.010147970785160972,69206016,540672,540672,69206016,69206016,128,128,6819.6901099870702,53.278828984273986,53.278828984273986,6819.6901099870702,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,1,2,2,929,13.326592445373535,0.014345094128496808,138412032,1081344,1081344,138412032,138412032,128,128,9648.7364084312158,75.380753190868873,75.380753190868873,9648.7364084312158,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,1,3,0,1241,12.594047546386719,0.010148305839151264,69206016,540672,540672,69206016,69206016,128,128,6819.464952761803,53.277069943451586,53.277069943451586,6819.464952761803,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,1,3,1,929,13.355008125305176,0.014375681512707402,138412032,1081344,1081344,138412032,138412032,128,128,9628.2066264232762,75.220364268931846,75.220364268931846,9628.2066264232762,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,1,3,2,1434,11.797151565551758,0.0082267444669119651,34603008,270336,270336,34603008,34603008,128,128,4206.1605461520758,32.860629266813092,32.860629266813092,4206.1605461520758,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,1,4,0,929,13.362527847290039,0.014383775938955909,138412032,1081344,1081344,138412032,138412032,128,128,9622.7883823701341,75.178034237266672,75.178034237266672,9622.7883823701341,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,1,4,1,1434,11.800543785095215,0.0082291100314471517,34603008,270336,270336,34603008,34603008,128,128,4204.9514306852452,32.851183052228478,32.851183052228478,4204.9514306852452,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,1,4,2,1241,12.594623565673828,0.010148769996513964,69206016,540672,540672,69206016,69206016,128,128,6819.1530622697928,53.274633298982756,53.274633298982756,6819.1530622697928,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,2,0,0,929,13.367744445800781,0.014389391222605793,138412032,1081344,1081344,138412032,138412032,128,128,9619.0332070862132,75.148696930361041,75.148696930361041,9619.0332070862132,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,2,0,1,1434,11.804191589355469,0.0082316538280024186,34603008,270336,270336,34603008,34603008,128,128,4203.6519905984842,32.841031176550658,32.841031176550658,4203.6519905984842,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,2,0,2,1241,12.594304084777832,0.010148512558241606,69206016,540672,540672,69206016,69206016,128,128,6819.3260443667477,53.275984721615217,53.275984721615217,6819.3260443667477,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,2,1,0,1434,11.761280059814453,0.0082017294698845562,34603008,270336,270336,34603008,34603008,128,128,4218.9891933227891,32.96085307283429,32.96085307283429,4218.9891933227891,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,2,1,1,1241,12.59398365020752,0.010148254351496792,69206016,540672,540672,69206016,69206016,128,128,6819.4995516438375,53.277340247217481,53.277340247217481,6819.4995516438375,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,2,1,2,929,13.327263832092285,0.01434581682679471,138412032,1081344,1081344,138412032,138412032,128,128,9648.2503346535086,75.376955739480536,75.376955739480536,9648.2503346535086,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,2,2,0,1241,12.592415809631348,0.010146990982781103,69206016,540672,540672,69206016,69206016,128,128,6820.3486252662369,53.283973634892476,53.283973634892476,6820.3486252662369,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,2,2,1,929,13.335647583007812,0.014354841316477731,138412032,1081344,1081344,138412032,138412032,128,128,9642.1847478814452,75.329568342823791,75.329568342823791,9642.1847478814452,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,2,2,2,1434,11.753952026367188,0.0081966192652490853,34603008,270336,270336,34603008,34603008,128,128,4221.6195336417713,32.981402606576339,32.981402606576339,4221.6195336417713,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,2,3,0,929,13.328031539916992,0.014346643207660917,138412032,1081344,1081344,138412032,138412032,128,128,9647.6945858728686,75.372613952131786,75.372613952131786,9647.6945858728686,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,2,3,1,1434,11.755200386047363,0.0081974898089591103,34603008,270336,270336,34603008,34603008,128,128,4221.1712129464386,32.977900101144051,32.977900101144051,4221.1712129464386,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,2,3,2,1241,12.593728065490723,0.010148048400878906,69206016,540672,540672,69206016,69206016,128,128,6819.6379506828298,53.278421489709608,53.278421489709608,6819.6379506828298,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,1,134217728,1,134217728,528,256,256,10,2,4,0,1434,11.750016212463379,0.0081938746251487993,34603008,270336,270336,34603008,34603008,128,128,4223.0336175508201,32.992450137115782,32.992450137115782,4223.0336175508201,4814.3040000000001,30159.360000000001
