gpu,compute_capability,distribution,format,storage_bits,component,n,m,leading_dimension,threads,decode_repeats,lanes,scalar_time_ms,packed_time_ms,speedup_vs_x1,time_change_percent_vs_x1,packed_cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,256,1024,256,256,0,1,0.0033251625771980125,0.0033251625771980125,1.0,0.0,0.10632377714844951
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,256,1024,256,256,0,2,0.0033251625771980125,0.003228306852708459,1.030002019296367,-2.912811696899642,0.16244334594702523
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,256,1024,256,256,0,4,0.0033251625771980125,0.0032594692691396946,1.020154602677281,-1.9756419884189635,0.15741635709271104
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,4096,1024,4096,256,0,1,0.008829691750662668,0.008829691750662668,1.0,0.0,0.25764797748460944
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,4096,1024,4096,256,0,2,0.008829691750662668,0.006303559966184441,1.4007468475004135,-28.609512719270647,0.15218718892081493
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,4096,1024,4096,256,0,4,0.008829691750662668,0.005331111421325363,1.6562572140852998,-39.62290449238771,0.01540556506294965
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,65536,1024,65536,256,0,1,0.11403014308722444,0.11403014308722444,1.0,0.0,0.05578263762771182
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,65536,1024,65536,256,0,2,0.11403014308722444,0.06625239483945004,1.7211474900425048,-41.89922677833354,0.09460151260387549
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,gemv,65536,1024,65536,256,0,4,0.11403014308722444,0.04638084180795463,2.45856130769208,-59.32580583322009,0.12758974682083368
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,register_decode,134217728,1,134217728,256,256,1,0.008173512193196052,0.008173512193196052,1.0,0.0,0.16657971682447537
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,register_decode,134217728,1,134217728,256,256,2,0.008173512193196052,0.009963559572016034,0.8203405754859373,21.900589813887915,0.10076933752477081
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,register_decode,134217728,1,134217728,256,256,4,0.008173512193196052,0.014074582281423543,0.5807285807681789,72.19748314732766,0.12030690008267221
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,1048576,1,1048576,256,0,1,0.004631392053655676,0.004631392053655676,1.0,0.0,0.11353058096134236
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,1048576,1,1048576,256,0,2,0.004631392053655676,0.004354686252803318,1.063542075086174,-5.974570877322871,0.024233448146096744
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,1048576,1,1048576,256,0,4,0.004631392053655676,0.0032844892764140924,1.4100798218199975,-29.082028937248772,0.3876685754003878
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,134217728,1,134217728,256,0,1,0.2129746300833566,0.2129746300833566,1.0,0.0,0.03494843699042067
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,134217728,1,134217728,256,0,2,0.2129746300833566,0.11888947296142578,1.791366592670969,-44.176697048426206,0.061841656279443304
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,134217728,1,134217728,256,0,4,0.2129746300833566,0.07715132848130471,2.7604791035447245,-63.77440427946357,0.030261046432845842
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,16777216,1,16777216,256,0,1,0.01942129469971973,0.01942129469971973,1.0,0.0,0.16212454160818446
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,16777216,1,16777216,256,0,2,0.01942129469971973,0.012780018866006614,1.5196608787001205,-34.19584500619804,0.17464358427387025
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,16777216,1,16777216,256,0,4,0.01942129469971973,0.009493755226704611,2.0456915346932827,-51.11677479029441,0.16480113756379547
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,4096,1,4096,256,0,1,0.002282430594249217,0.002282430594249217,1.0,0.0,0.0342389190662832
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,4096,1,4096,256,0,2,0.002282430594249217,0.0022466758246410187,1.0159145210074583,-1.5665216588966802,0.03551800347178809
