timestamp,gpu,mode,distribution,clip_low,clip_high,kernel,format,label,group,storage_bits,arithmetic_type,storage_layout,access_method,packet_values,decoder,strategy_id,N,physical_input_bytes,blocks,threads,warmups,sample,execution_order,kernel_ms,scaled_result,valid
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,37,8,0.0117119998,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,38,7,0.0119040003,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,39,6,0.011616,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,40,5,0.0120000001,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,41,4,0.0115520004,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,42,3,0.0120000001,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,43,2,0.0127680004,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,44,1,0.0120320003,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,45,0,0.0113599999,-665.5865478515625,1
2026-08-31T18:55:09Z,NVIDIA H200 NVL,full,normal_clipped,-8,8,dot,raw_fp32,Raw FP32,baseline,32,fp32,natural,scalar,1,native_fp32,raw_fp32,1048576,8388608,512,256,10,46,14,0.0121919997,-665.5865478515625,1
