format,label,group,decoder,storage_bits,arithmetic_type,N,median_ms,q1_ms,q3_ms,time_per_element_ns,effective_input_gb_s,ratio_to_fp32_to_fp64
blended_cubic32,BlendedCubic32,new,int_to_fp64_square_fma_mul,32,fp64,67108864,0.262048006,0.26116800300000004,0.26265601075,0.0039048195779323577,2048.7502278494726,1.0309707261060703
blended_cubic32,BlendedCubic32,new,int_to_fp64_square_fma_mul,32,fp64,268435456,1.04675198,1.0460160075,1.048184005,0.0038994549959897994,2051.568746972898,1.0275652911591295
pwl2_compand32,PWL2Compand32,new,branchless_2_zone_fma,32,fp64,1048576,0.0122560002,0.0121280001,0.01248,0.011688232612609864,684.4490749926717,1.3438597314673784
pwl2_compand32,PWL2Compand32,new,branchless_2_zone_fma,32,fp64,4194304,0.0258239992,0.02552000015,0.0261119995,0.006156921195983886,1299.3507217890558,1.6139998693000064
pwl2_compand32,PWL2Compand32,new,branchless_2_zone_fma,32,fp64,16777216,0.0771199986,0.0767600015,0.077496001525,0.004596710121631623,1740.3751353283867,1.100456644995414
pwl2_compand32,PWL2Compand32,new,branchless_2_zone_fma,32,fp64,67108864,0.281279996,0.28071199375,0.28214398775,0.004191398561000824,1908.6707893724515,1.1066347962030765
pwl2_compand32,PWL2Compand32,new,branchless_2_zone_fma,32,fp64,268435456,1.09163201,1.0902000374999998,1.0935760099999998,0.004066646136343479,1967.2230461618656,1.0716226819979608
pwl4_compand32,PWL4Compand32,new,branchless_4_zone_fma,32,fp64,1048576,0.013696,0.01354399975,0.0138560003,0.0130615234375,612.4859813084112,1.501754453477996
pwl4_compand32,PWL4Compand32,new,branchless_4_zone_fma,32,fp64,4194304,0.0310559999,0.030664000650000002,0.0313360002,0.007404327368736267,1080.449256441426,1.940999896700005
pwl4_compand32,PWL4Compand32,new,branchless_4_zone_fma,32,fp64,16777216,0.0969920009,0.09668799862500001,0.09733600355000001,0.005781173759698868,1383.802032689069,1.3840183329801847
pwl4_compand32,PWL4Compand32,new,branchless_4_zone_fma,32,fp64,67108864,0.35529600100000003,0.35450400400000004,0.3560479955,0.005294322982430459,1511.0525040781417,1.397834624750219
pwl4_compand32,PWL4Compand32,new,branchless_4_zone_fma,32,fp64,268435456,1.380832015,1.37945604,1.38273597,0.005144000109285116,1555.2099203030139,1.3555217268710804
e11m20,E11M20,reference,direct_masked,32,fp64,1048576,0.011855999950000001,0.011656000274999998,0.0120639997,0.011306762647628785,707.541163577687,1.3000000529605287
e11m20,E11M20,reference,direct_masked,32,fp64,4194304,0.0239199996,0.023536000425000002,0.0241599996,0.005702972316741943,1402.7772809828978,1.4949999002500047
e11m20,E11M20,reference,direct_masked,32,fp64,16777216,0.0691679977,0.068664001275,0.06946399995000001,0.004122733932733535,1940.4599303588054,0.9869863079846128
e11m20,E11M20,reference,direct_masked,32,fp64,67108864,0.2500640005,0.24963999925000002,0.25088800525,0.003726243980228901,2146.934028594812,0.9838222702159151
e11m20,E11M20,reference,direct_masked,32,fp64,268435456,1.002016005,1.00102401,1.003408045,0.003732800502330065,2143.1630206345853,0.9836493148299875
e10m21,E10M21,reference,direct_branchy,32,fp64,1048576,0.0152960001,0.0151359998,0.0154240001,0.014587402439117431,548.4184064564696,1.6771930688211796
e10m21,E10M21,reference,direct_branchy,32,fp64,4194304,0.037440000099999995,0.036975998425,0.037880001625,0.008926391625404357,896.2188010250567,2.3399998892500053
e10m21,E10M21,reference,direct_branchy,32,fp64,16777216,0.1234720015,0.123111999,0.123648003,0.007359504789113998,1087.029661538288,1.76187223791727
e10m21,E10M21,reference,direct_branchy,32,fp64,67108864,0.4671999965,0.46653599999999995,0.4680879935,0.006961822457611561,1149.1243921702383,1.8380964884287596
e10m21,E10M21,reference,direct_branchy,32,fp64,268435456,1.839056015,1.838279995,1.8400959624999997,0.006851017531007528,1167.7097546156037,1.8053466013137358
dyadic_normal32,DyadicNormal32,reference,sign_fused,32,fp64,1048576,0.01275200025,0.0126400003,0.0128960004,0.012161255121231078,657.8268377935455,1.3982457043070984
dyadic_normal32,DyadicNormal32,reference,sign_fused,32,fp64,4194304,0.0262240004,0.025968000325,0.0266559999,0.006252288913726807,1279.531402081583,1.6389999430500026
dyadic_normal32,DyadicNormal32,reference,sign_fused,32,fp64,16777216,0.07739200069999999,0.07699999775,0.0777600035,0.004612922710180282,1734.2584089572454,1.1043379536550553
dyadic_normal32,DyadicNormal32,reference,sign_fused,32,fp64,67108864,0.280368,0.27984799475,0.28123199925000003,0.00417780876159668,1914.8794156251784,1.1030467468502956
dyadic_normal32,DyadicNormal32,reference,sign_fused,32,fp64,268435456,1.114560005,1.113647965,1.1158480075,0.004152059573680162,1926.754628163784,1.0941304128721552
posit32_es2,"Posit<32,2>",reference,direct,32,fp64,1048576,0.0192479994,0.0191040002,0.019416000725,0.01835632266998291,435.81713744234634,2.1105263448811185
posit32_es2,"Posit<32,2>",reference,direct,32,fp64,4194304,0.05313599855,0.05277599955000001,0.05356000175,0.012668609273433686,631.4821009419046,3.3209997433250127
posit32_es2,"Posit<32,2>",reference,direct,32,fp64,16777216,0.1835360005,0.183231995,0.18418400000000001,0.010939598113298416,731.288290222931,2.6189498834626095
posit32_es2,"Posit<32,2>",reference,direct,32,fp64,67108864,0.6992479865,0.6980559977499999,0.70024000125,0.01041960696130991,767.7832791299714,2.7510386946814345
posit32_es2,"Posit<32,2>",reference,direct,32,fp64,268435456,2.7429920450000003,2.7409520174999997,2.7444960474999998,0.010218441653996707,782.8982413253772,2.6927137213226016
takum32,Takum32,reference,direct,32,fp64,1048576,0.0175679997,0.0174400005,0.0177519997,0.016754150104522705,477.4936329262346,1.9263158431786727
takum32,Takum32,reference,direct,32,fp64,4194304,0.046767998500000005,0.0465600006,0.0472319983,0.011150359749794007,717.4656405276784,2.922999760100012
takum32,Takum32,reference,direct,32,fp64,16777216,0.15977599450000002,0.159472,0.16018399975,0.009523391395807268,840.0368805089802,2.279908688409594
takum32,Takum32,reference,direct,32,fp64,67108864,0.606128007,0.605055988,0.60711200525,0.00903201113641262,885.7385004484705,2.3846784451014496
takum32,Takum32,reference,direct,32,fp64,268435456,2.3778079749999996,2.3749200075,2.3798080075,0.008858024980872868,903.1358589837349,2.3342233794020384
lns32_r23,"LNS<32,23>",reference,ex2_approx,32,fp64,1048576,0.0160000008,0.01581599935,0.0162639995,0.015258789825439453,524.2879737856014,1.7543861315020082
lns32_r23,"LNS<32,23>",reference,ex2_approx,32,fp64,4194304,0.0405279994,0.0401600003,0.0408639982,0.009662628030776978,827.932108585651,2.532999835850008
lns32_r23,"LNS<32,23>",reference,ex2_approx,32,fp64,16777216,0.1359040065,0.13550400325,0.136160001,0.00810051003098488,987.5921354827753,1.939269576626068
lns32_r23,"LNS<32,23>",reference,ex2_approx,32,fp64,67108864,0.5177119969999999,0.5170959980000001,0.51841601725,0.007714509919285773,1037.0068978718298,2.0368249375685523
lns32_r23,"LNS<32,23>",reference,ex2_approx,32,fp64,268435456,2.03713596,2.036224005,2.03884792,0.007588922828435898,1054.168052681177,1.999795792951959
