benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes
fp32_e8m23,fp32_e8m23,32,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
fp32_e8m23,fp32_e8m23,32,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
fp32_e8m23,fp32_e8m23,32,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0
fp32_e8m23,fp32_e8m23,32,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
fp32_e8m23,fp32_e8m23,32,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
fp32_e8m23,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
fp8_e4m3,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
fp8_e4m3,fp8_e4m3,8,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
fp8_e4m3,fp8_e4m3,8,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
fp8_e4m3,fp8_e4m3,8,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
fp8_e4m3,fp8_e4m3,8,full_high_global_x1,full_high_lut,global,shift_mask,1,4,0
fp8_e4m3,fp8_e4m3,8,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0
fp8_e4m3,fp8_e4m3,8,full_high_global_x8,full_high_lut,global,shift_mask,8,4,0
fp8_e4m3,fp8_e4m3,8,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,1024
fp8_e4m3,fp8_e4m3,8,full_high_shared_x8,full_high_lut,shared,shift_mask,8,4,1024
fp8_e4m3,fp8_e4m3,8,full_high_swizzled_x4,full_high_lut_swizzled,shared,shift_mask,4,4,4112
fp8_e4m3,fp8_e4m3,8,full_high_swizzled_x8,full_high_lut_swizzled,shared,shift_mask,8,4,4112
fp8_e4m3,fp8_e4m3,8,generic_x1,generic,none,shift_mask,1,0,0
fp8_e4m3,fp8_e4m3,8,native_direct_x1,native_direct,none,shift_mask,1,0,0
fp8_e4m3,fp8_e4m3,8,native_float2_x2,native_packed,none,shift_mask,2,0,0
fp8_e4m3,fp8_e4m3,8,native_float4_x4,native_packed,none,shift_mask,4,0,0
fp8_e4m3,fp8_e4m3,8,native_float4_x8,native_packed,none,shift_mask,8,0,0
fp8_e4m3,fp8_e4m3,8,native_fp32_x1,native_fp32,none,shift_mask,1,0,0
fp8_e4m3,fp8_e4m3,8,native_half2_x2,native_half2,none,shift_mask,2,0,0
fp8_e4m3,fp8_e4m3,8,native_half2_x4,native_half2,none,shift_mask,4,0,0
fp8_e4m3,fp8_e4m3,8,native_half2_x8,native_half2,none,shift_mask,8,0,0
fp8_e4m3,fp8_e4m3,8,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0
fp8_e4m3,fp8_e4m3,8,pair_l2_x8,pair_high_lut,global,shift_mask,8,8,0
fp8_e4m3,fp8_e4m3,8,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,32
fp8_e4m3,fp8_e4m3,8,word_branchy_prmt_x4,direct_words_branchy,none,byte_permute,4,0,0
fp8_e4m3,fp8_e4m3,8,word_branchy_prmt_x8,direct_words_branchy,none,byte_permute,8,0,0
fp8_e4m3,fp8_e4m3,8,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
fp8_e4m3,fp8_e4m3,8,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
fp8_e4m3,fp8_e4m3,8,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
fp8_e4m3,fp8_e4m3,8,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
fp8_e4m3,fp8_e4m3,8,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
fp8_e4m3,fp8_e4m3,8,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
fp8_e5m2,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
fp8_e5m2,fp8_e5m2,8,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
fp8_e5m2,fp8_e5m2,8,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
fp8_e5m2,fp8_e5m2,8,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
fp8_e5m2,fp8_e5m2,8,full_high_global_x1,full_high_lut,global,shift_mask,1,4,0
fp8_e5m2,fp8_e5m2,8,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0
fp8_e5m2,fp8_e5m2,8,full_high_global_x8,full_high_lut,global,shift_mask,8,4,0
fp8_e5m2,fp8_e5m2,8,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,1024
fp8_e5m2,fp8_e5m2,8,full_high_shared_x8,full_high_lut,shared,shift_mask,8,4,1024
fp8_e5m2,fp8_e5m2,8,full_high_swizzled_x4,full_high_lut_swizzled,shared,shift_mask,4,4,4112
fp8_e5m2,fp8_e5m2,8,full_high_swizzled_x8,full_high_lut_swizzled,shared,shift_mask,8,4,4112
fp8_e5m2,fp8_e5m2,8,generic_x1,generic,none,shift_mask,1,0,0
fp8_e5m2,fp8_e5m2,8,native_direct_x1,native_direct,none,shift_mask,1,0,0
fp8_e5m2,fp8_e5m2,8,native_float2_x2,native_packed,none,shift_mask,2,0,0
fp8_e5m2,fp8_e5m2,8,native_float4_x4,native_packed,none,shift_mask,4,0,0
fp8_e5m2,fp8_e5m2,8,native_float4_x8,native_packed,none,shift_mask,8,0,0
fp8_e5m2,fp8_e5m2,8,native_fp32_x1,native_fp32,none,shift_mask,1,0,0
fp8_e5m2,fp8_e5m2,8,native_half2_x2,native_half2,none,shift_mask,2,0,0
fp8_e5m2,fp8_e5m2,8,native_half2_x4,native_half2,none,shift_mask,4,0,0
fp8_e5m2,fp8_e5m2,8,native_half2_x8,native_half2,none,shift_mask,8,0,0
fp8_e5m2,fp8_e5m2,8,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0
fp8_e5m2,fp8_e5m2,8,pair_l2_x8,pair_high_lut,global,shift_mask,8,8,0
fp8_e5m2,fp8_e5m2,8,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,16
fp8_e5m2,fp8_e5m2,8,word_branchy_prmt_x4,direct_words_branchy,none,byte_permute,4,0,0
fp8_e5m2,fp8_e5m2,8,word_branchy_prmt_x8,direct_words_branchy,none,byte_permute,8,0,0
fp8_e5m2,fp8_e5m2,8,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
fp8_e5m2,fp8_e5m2,8,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
fp8_e5m2,fp8_e5m2,8,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
fp8_e5m2,fp8_e5m2,8,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
fp8_e5m2,fp8_e5m2,8,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
fp8_e5m2,fp8_e5m2,8,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
