benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes
e1m30,e1m30,32,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
e1m30,e1m30,32,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0
e1m30,e1m30,32,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e1m30,e1m30,32,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e1m30,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e1m6,e1m6,8,e1_integer_x1,e1_integer,none,shift_mask,1,0,0
e1m6,e1m6,8,e1_integer_x4,e1_integer,none,shift_mask,4,0,0
e1m6,e1m6,8,e1_integer_x8,e1_integer,none,shift_mask,8,0,0
e1m6,e1m6,8,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
e1m6,e1m6,8,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
e1m6,e1m6,8,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
e1m6,e1m6,8,full_high_global_x1,full_high_lut,global,shift_mask,1,4,0
e1m6,e1m6,8,full_high_global_x4,full_high_lut,global,shift_mask,4,4,0
e1m6,e1m6,8,full_high_global_x8,full_high_lut,global,shift_mask,8,4,0
e1m6,e1m6,8,full_high_shared_x4,full_high_lut,shared,shift_mask,4,4,1024
e1m6,e1m6,8,full_high_shared_x8,full_high_lut,shared,shift_mask,8,4,1024
e1m6,e1m6,8,full_high_swizzled_x4,full_high_lut_swizzled,shared,shift_mask,4,4,4112
e1m6,e1m6,8,full_high_swizzled_x8,full_high_lut_swizzled,shared,shift_mask,8,4,4112
e1m6,e1m6,8,generic_x1,generic,none,shift_mask,1,0,0
e1m6,e1m6,8,generic_x4,generic,none,shift_mask,4,0,0
e1m6,e1m6,8,generic_x8,generic,none,shift_mask,8,0,0
e1m6,e1m6,8,pair_l2_x4,pair_high_lut,global,shift_mask,4,8,0
e1m6,e1m6,8,pair_l2_x8,pair_high_lut,global,shift_mask,8,8,0
e1m6,e1m6,8,subnormal_global_x4,subnormal_high_lut,global,shift_mask,4,4,0
e1m6,e1m6,8,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,256
e1m6,e1m6,8,word_branchy_prmt_x4,direct_words_branchy,none,byte_permute,4,0,0
e1m6,e1m6,8,word_branchy_prmt_x8,direct_words_branchy,none,byte_permute,8,0,0
e1m6,e1m6,8,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e1m6,e1m6,8,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e1m6,e1m6,8,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
e1m6,e1m6,8,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
e1m6,e1m6,8,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e1m6,e1m6,8,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e1m6,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e2m13,e2m13,16,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
e2m13,e2m13,16,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
e2m13,e2m13,16,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
e2m13,e2m13,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0
e2m13,e2m13,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0
e2m13,e2m13,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0
e2m13,e2m13,16,generic_x1,generic,none,shift_mask,1,0,0
e2m13,e2m13,16,generic_x4,generic,none,shift_mask,4,0,0
e2m13,e2m13,16,generic_x8,generic,none,shift_mask,8,0,0
e2m13,e2m13,16,prefix_global_x4,prefix_high_lut,global,shift_mask,4,4,0
e2m13,e2m13,16,prefix_global_x8,prefix_high_lut,global,shift_mask,8,4,0
e2m13,e2m13,16,prefix_shared_x4,prefix_high_lut,shared,shift_mask,4,4,32
e2m13,e2m13,16,prefix_shared_x8,prefix_high_lut,shared,shift_mask,8,4,32
e2m13,e2m13,16,subnormal_global_x4,subnormal_high_lut,global,shift_mask,4,4,0
e2m13,e2m13,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0
e2m13,e2m13,16,subnormal_shared_x4,subnormal_high_lut,shared,shift_mask,4,4,32768
e2m13,e2m13,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,32768
e2m13,e2m13,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e2m13,e2m13,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e2m13,e2m13,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
e2m13,e2m13,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
e2m13,e2m13,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e2m13,e2m13,16,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e2m13,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e2m29,e2m29,32,generic_x1,generic,none,shift_mask,1,0,0
e2m29,e2m29,32,generic_x2,generic,none,shift_mask,2,0,0
e2m29,e2m29,32,generic_x4,generic,none,shift_mask,4,0,0
e2m29,e2m29,32,generic_x8,generic,none,shift_mask,8,0,0
e2m29,e2m29,32,prefix_global_x4,prefix_high_lut,global,shift_mask,4,4,0
e2m29,e2m29,32,prefix_global_x8,prefix_high_lut,global,shift_mask,8,4,0
e2m29,e2m29,32,prefix_shared_x4,prefix_high_lut,shared,shift_mask,4,4,32
e2m29,e2m29,32,prefix_shared_x8,prefix_high_lut,shared,shift_mask,8,4,32
e2m29,e2m29,32,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e2m29,e2m29,32,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0
e2m29,e2m29,32,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e2m29,e2m29,32,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
e2m29,e2m29,32,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
e2m29,e2m29,32,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0
e2m29,e2m29,32,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e2m29,e2m29,32,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e2m29,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e3m12,e3m12,16,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
e3m12,e3m12,16,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
e3m12,e3m12,16,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
e3m12,e3m12,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0
e3m12,e3m12,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0
e3m12,e3m12,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0
e3m12,e3m12,16,generic_x1,generic,none,shift_mask,1,0,0
e3m12,e3m12,16,generic_x4,generic,none,shift_mask,4,0,0
e3m12,e3m12,16,generic_x8,generic,none,shift_mask,8,0,0
e3m12,e3m12,16,prefix_global_x4,prefix_high_lut,global,shift_mask,4,4,0
e3m12,e3m12,16,prefix_global_x8,prefix_high_lut,global,shift_mask,8,4,0
e3m12,e3m12,16,prefix_shared_x4,prefix_high_lut,shared,shift_mask,4,4,64
e3m12,e3m12,16,prefix_shared_x8,prefix_high_lut,shared,shift_mask,8,4,64
e3m12,e3m12,16,subnormal_global_x4,subnormal_high_lut,global,shift_mask,4,4,0
