format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
bf16_e8m7,gemv,uniform_0_1,native_direct_x1,1,5,1.1747434366105778,7.4,0,0.3843018188616991
bf16_e8m7,gemv,uniform_0_1,fp32_bit_lift_x1,1,5,1.1746182757534305,7.6,0,0.23411836119000753
bf16_e8m7,gemv,uniform_0_1,native_fp32_x1,1,5,1.174353785572873,8.2,0,0.43734759112408084
bf16_e8m7,gemv,uniform_0_1,generic_x1,1,5,1.1735254272885112,8.4,0,0.3781444477451963
bf16_e8m7,gemv,uniform_0_1,full_high_l2_x4,4,5,1.1010266965922053,9.4,0,0.2225668766900814
bf16_e8m7,gemv,uniform_0_1,full_high_l2_x8,8,5,1.0360409037054479,11.2,0,0.14249562941066105
bf16_e8m7,gemv,uniform_0_1,subnormal_global_x8,8,5,0.9258915894983647,13.0,0,0.13376202361685832
bf16_e8m7,gemv,uniform_0_1,full_high_l2_x1,1,5,0.9149868377624145,14.0,0,0.37191415250203386
bf16_e8m7,gemv,uniform_0_1,word_branchy_x8,8,5,0.911028422350893,14.0,0,0.1283950318345571
bf16_e8m7,gemv,uniform_0_1,word_branchy_x4,4,5,0.8945673437586413,14.6,0,0.09968516558172151
bf16_e8m7,gemv,uniform_0_1,subnormal_shared_x8,8,5,0.8740964103154498,15.8,0,0.11929996820080861
bf16_e8m7,gemv,uniform_0_1,word_branchy_x1,1,5,0.7837563728037313,14.6,0,0.09511661605746709
bf16_e8m7,gemv,uniform_0_1,word_masked_x4,4,5,0.5542319918777937,17.6,0,0.21383182228558495
bf16_e8m7,gemv,uniform_0_1,word_masked_x8,8,5,0.5392876972898935,18.0,0,0.14629752609841407
bf16_e8m7,gemv,uniform_0_1,word_masked_x1,1,5,0.5016424411352889,18.8,0,0.22457351362429517
e11m20,dot,normal_0_1,prefix_word_x4,4,5,1.385335130896066,2.4,1,0.05921437533133073
e11m20,dot,normal_0_1,generic_x4,4,5,1.3852796633192832,2.2,2,0.06900939325340352
e11m20,dot,normal_0_1,prefix_word_x8,8,5,1.319365016747046,5.2,1,0.14359197874962257
e11m20,dot,normal_0_1,generic_x8,8,5,1.3190028569870886,5.0,0,0.16400924611155548
e11m20,dot,normal_0_1,generic_x2,2,5,1.3102724472000313,3.2,1,0.05273375012819228
e11m20,dot,normal_0_1,prefix_word_x2,2,5,1.3101428033534808,3.8,0,0.05031775154872632
e11m20,dot,normal_0_1,generic_x1,1,5,1.2099314118573907,7.0,0,0.04227846827741515
e11m20,dot,normal_0_1,prefix_word_x1,1,5,1.2099306017097993,7.2,0,0.04717378746800835
e11m20,dot,uniform_0_1,prefix_word_x4,4,5,1.3866875380285009,2.0,2,0.08400999009232779
e11m20,dot,uniform_0_1,generic_x4,4,5,1.3863463843597934,2.6,1,0.07212153215810611
e11m20,dot,uniform_0_1,prefix_word_x8,8,5,1.3199499396576397,4.8,0,0.1381629075751099
e11m20,dot,uniform_0_1,generic_x8,8,5,1.3190168569075666,5.4,1,0.13170150433325267
e11m20,dot,uniform_0_1,prefix_word_x2,2,5,1.3109577851967125,3.6,0,0.0812093533156042
e11m20,dot,uniform_0_1,generic_x2,2,5,1.3106443854412724,3.4,1,0.04101556515092292
e11m20,dot,uniform_0_1,generic_x1,1,5,1.209835027454119,7.0,0,0.04537380641581683
e11m20,dot,uniform_0_1,prefix_word_x1,1,5,1.209719541140921,7.2,0,0.04115728259328194
e11m20,gemv,normal_0_1,prefix_word_x4,4,5,1.5142450758459522,2.0,3,0.15924419173493642
e11m20,gemv,normal_0_1,generic_x4,4,5,1.5134627233115536,2.6,1,0.16808071943467312
e11m20,gemv,normal_0_1,prefix_word_x2,2,5,1.4147448695653098,3.6,1,0.18654181994291433
e11m20,gemv,normal_0_1,generic_x2,2,5,1.4140022994963983,4.2,0,0.18644034111392913
e11m20,gemv,normal_0_1,prefix_word_x8,8,5,1.3523836282587496,5.4,0,0.11870689071610807
e11m20,gemv,normal_0_1,generic_x8,8,5,1.3522622256900692,5.6,0,0.07274941959248174
e11m20,gemv,normal_0_1,generic_x1,1,5,1.1195036932528497,6.2,0,0.13773410761667104
e11m20,gemv,normal_0_1,prefix_word_x1,1,5,1.1193389789290729,6.4,0,0.13101162332638447
e11m20,gemv,uniform_0_1,generic_x4,4,5,1.5157788206645777,2.0,4,0.21851585054782338
e11m20,gemv,uniform_0_1,prefix_word_x4,4,5,1.5150821586670835,2.6,0,0.16909781532253712
e11m20,gemv,uniform_0_1,prefix_word_x2,2,5,1.4137073436003296,3.8,1,0.13657467595944978
e11m20,gemv,uniform_0_1,generic_x2,2,5,1.4136078064696307,4.0,0,0.17890857527385023
e11m20,gemv,uniform_0_1,generic_x8,8,5,1.3526643579626478,5.2,0,0.08182658657911795
e11m20,gemv,uniform_0_1,prefix_word_x8,8,5,1.3526311138479437,5.8,0,0.08236263362049445
e11m20,gemv,uniform_0_1,prefix_word_x1,1,5,1.1192188274654693,6.2,0,0.10089074030498695
e11m20,gemv,uniform_0_1,generic_x1,1,5,1.119079091092743,6.4,0,0.09580683392543513
e11m4,dot,normal_0_1,prefix_word_x8,8,5,1.7696860288843559,3.0,2,0.09304281574120238
e11m4,dot,normal_0_1,prefix_word_x4,4,5,1.756999491618267,2.2,1,0.08152293873343129
e11m4,dot,normal_0_1,generic_x8,8,5,1.7556895747729646,4.0,0,0.1293409932271675
e11m4,dot,normal_0_1,generic_x4,4,5,1.755527552246443,3.0,1,0.09205702377391074
e11m4,dot,normal_0_1,prefix_word_x2,2,5,1.5533837583960515,4.2,1,0.06436477143554463
e11m4,dot,normal_0_1,generic_x2,2,5,1.543820657429753,5.4,0,0.0688594644333302
e11m4,dot,normal_0_1,full_high_l2_x8,8,5,1.5079015073469464,7.8,0,0.15637236522478948
e11m4,dot,normal_0_1,full_high_l2_x4,4,5,1.4635984771816377,8.4,0,0.0691351529132472
e11m4,dot,normal_0_1,prefix_word_x1,1,5,1.286231707809589,8.6,0,0.05064626564179642
e11m4,dot,normal_0_1,generic_x1,1,5,1.2861653874326078,8.8,0,0.03980259874989893
e11m4,dot,normal_0_1,full_high_l2_x1,1,5,1.1956480579652182,10.6,0,0.034480600087994966
e11m4,dot,uniform_0_1,prefix_word_x8,8,5,1.7681387665056894,3.0,2,0.06076887719674743
e11m4,dot,uniform_0_1,generic_x8,8,5,1.7583532069859353,4.0,0,0.13671819016163106
e11m4,dot,uniform_0_1,prefix_word_x4,4,5,1.7570149867010771,2.0,2,0.07066213193427792
e11m4,dot,uniform_0_1,generic_x4,4,5,1.753948090571125,3.2,0,0.09286553469023286
e11m4,dot,uniform_0_1,full_high_l2_x8,8,5,1.5714121732534065,7.4,0,0.08739717263750502
e11m4,dot,uniform_0_1,prefix_word_x2,2,5,1.5531787486436643,5.0,1,0.07100854045783854
e11m4,dot,uniform_0_1,generic_x2,2,5,1.5438492536422994,5.8,0,0.08558155131003206
e11m4,dot,uniform_0_1,full_high_l2_x4,4,5,1.5266574327652978,7.6,0,0.07339542474446455
e11m4,dot,uniform_0_1,prefix_word_x1,1,5,1.285858177084506,8.2,0,0.036479833071387545
e11m4,dot,uniform_0_1,generic_x1,1,5,1.2857465962847154,9.2,0,0.049454046178399574
e11m4,dot,uniform_0_1,full_high_l2_x1,1,5,1.221129036429487,10.6,0,0.04161152536267521
e11m4,gemv,normal_0_1,prefix_word_x4,4,5,1.8907546486633062,2.4,1,0.4276066856549549
e11m4,gemv,normal_0_1,generic_x4,4,5,1.8298210811952278,3.2,1,0.35682395759740493
e11m4,gemv,normal_0_1,prefix_word_x8,8,5,1.81362669697551,3.8,2,0.06931596262886225
e11m4,gemv,normal_0_1,generic_x8,8,5,1.773572502579504,4.2,0,0.06724942769757572
e11m4,gemv,normal_0_1,prefix_word_x2,2,5,1.5526636594179253,4.0,1,0.22985511685794885
e11m4,gemv,normal_0_1,generic_x2,2,5,1.5400307974959746,4.6,0,0.14964788455178993
e11m4,gemv,normal_0_1,full_high_l2_x4,4,5,1.2670982563406181,7.4,0,0.09884998676658832
e11m4,gemv,normal_0_1,full_high_l2_x8,8,5,1.2089364188329332,9.0,0,0.14359028372647262
e11m4,gemv,normal_0_1,prefix_word_x1,1,5,1.1366247146983695,8.4,0,0.10622481981476396
e11m4,gemv,normal_0_1,generic_x1,1,5,1.1366021366031531,8.6,0,0.10310857190807157
e11m4,gemv,normal_0_1,full_high_l2_x1,1,5,1.0708860331279093,10.4,0,0.1301794599630885
e11m4,gemv,uniform_0_1,prefix_word_x4,4,5,1.8992364992107964,2.2,1,0.4101923619727616
e11m4,gemv,uniform_0_1,generic_x4,4,5,1.8291232743306445,3.2,1,0.230280365827776
e11m4,gemv,uniform_0_1,prefix_word_x8,8,5,1.8134307996969234,3.8,2,0.06520027961068658
e11m4,gemv,uniform_0_1,generic_x8,8,5,1.7728825949371612,4.8,0,0.05600835955162531
e11m4,gemv,uniform_0_1,prefix_word_x2,2,5,1.5522619312446686,4.2,1,0.2517354623721569
e11m4,gemv,uniform_0_1,generic_x2,2,5,1.5398041584898878,5.0,0,0.1202134497564706
e11m4,gemv,uniform_0_1,full_high_l2_x4,4,5,1.4543341167909183,7.0,0,0.16471404018418842
e11m4,gemv,uniform_0_1,full_high_l2_x8,8,5,1.3587503161972714,8.6,0,0.1043657983519393
e11m4,gemv,uniform_0_1,generic_x1,1,5,1.1362078858253752,8.6,0,0.13166394897425016
e11m4,gemv,uniform_0_1,prefix_word_x1,1,5,1.1330889157254014,8.8,0,0.13709548178292116
e11m4,gemv,uniform_0_1,full_high_l2_x1,1,5,1.0991004642760174,9.8,0,0.27026861637430916
e1m14,dot,normal_0_1,e1_integer_x8,8,5,1.5668818436623415,2.8,3,0.07114300454841893
e1m14,dot,normal_0_1,e1_integer_x4,4,5,1.5591332352930454,1.6,2,0.09861569692626163
e1m14,dot,normal_0_1,e1_integer_x1,1,5,1.2332316170252462,3.0,0,0.03467126058364777
e1m14,dot,normal_0_1,fp32_bits_x4,4,5,1.0978887550710161,7.2,0,0.10500267677167384
e1m14,dot,normal_0_1,fp32_bits_x8,8,5,1.0285304234776882,9.6,0,0.03378610009432361
e1m14,dot,normal_0_1,subnormal_global_x4,4,5,0.9972244030277138,10.6,0,0.08217080986986271
e1m14,dot,normal_0_1,word_branchy_x4,4,5,0.9858742938516917,10.2,0,0.032744569254503295
e1m14,dot,normal_0_1,word_masked_x4,4,5,0.9698117265279903,10.4,0,0.08252481718172905
e1m14,dot,normal_0_1,word_masked_x8,8,5,0.9530534244615377,11.4,0,0.08325676044179266
e1m14,dot,normal_0_1,subnormal_global_x8,8,5,0.9512012002153157,13.0,0,0.08288068428151028
e1m14,dot,normal_0_1,word_branchy_x8,8,5,0.947985115852939,11.8,0,0.04782595446784716
e1m14,dot,normal_0_1,generic_x4,4,5,0.9331762906676307,13.2,0,0.07700766134895727
e1m14,dot,normal_0_1,full_high_l2_x4,4,5,0.9320135968806098,13.8,0,0.09298635304219117
e1m14,dot,normal_0_1,fp32_bits_x1,1,5,0.9279236198568314,13.0,0,0.06064607363407928
e1m14,dot,normal_0_1,full_high_l2_x8,8,5,0.9148900687587904,14.6,0,0.08090936719091815
e1m14,dot,normal_0_1,word_branchy_x1,1,5,0.9002319294246101,12.4,0,0.05586760406334417
e1m14,dot,normal_0_1,word_masked_x1,1,5,0.8988696023526704,12.6,0,0.13805959056225126
e1m14,dot,normal_0_1,generic_x8,8,5,0.8926455743840599,15.6,0,0.125263648546581
e1m14,dot,normal_0_1,generic_x1,1,5,0.8824975395053438,14.4,0,0.053393010319478275
e1m14,dot,normal_0_1,full_high_l2_x1,1,5,0.8684620692443592,14.8,0,0.04873835677551452
e1m14,dot,normal_0_1,subnormal_shared_x8,8,5,0.48442884367136085,18.0,0,0.08416029645914856
e1m14,dot,normal_0_1,subnormal_shared_x4,4,5,0.4388871367454128,19.0,0,0.08588357690778955
e1m14,dot,uniform_0_1,e1_integer_x8,8,5,1.5805430539954803,2.8,3,0.10489165314564206
e1m14,dot,uniform_0_1,e1_integer_x4,4,5,1.5673675068360453,1.6,2,0.06696778159218397
e1m14,dot,uniform_0_1,e1_integer_x1,1,5,1.2401129100139219,3.2,0,0.059486443508023346
e1m14,dot,uniform_0_1,fp32_bits_x4,4,5,1.1269028502068232,7.2,0,0.09241436347264086
e1m14,dot,uniform_0_1,fp32_bits_x8,8,5,1.0609860519275467,9.8,0,0.07788774847826453
e1m14,dot,uniform_0_1,subnormal_global_x4,4,5,1.0161795427533415,11.0,0,0.08622107005378996
e1m14,dot,uniform_0_1,word_branchy_x4,4,5,1.0018198913417657,10.2,0,0.0936402662112718
e1m14,dot,uniform_0_1,full_high_l2_x8,8,5,0.9979336235311252,12.2,0,0.16849874130127912
e1m14,dot,uniform_0_1,full_high_l2_x4,4,5,0.9940939416584436,12.0,0,0.08489734829423914
e1m14,dot,uniform_0_1,word_masked_x4,4,5,0.9749672209980736,11.6,0,0.09752146224341804
e1m14,dot,uniform_0_1,word_branchy_x8,8,5,0.9733604208535719,11.6,0,0.1022760454128188
e1m14,dot,uniform_0_1,subnormal_global_x8,8,5,0.9664126602515947,14.2,0,0.07812694114263774
e1m14,dot,uniform_0_1,word_masked_x8,8,5,0.9573640494008624,12.2,0,0.12138896667735903
e1m14,dot,uniform_0_1,generic_x4,4,5,0.9526938967017823,13.0,0,0.07996052388092562
e1m14,dot,uniform_0_1,fp32_bits_x1,1,5,0.9401689813092601,13.2,0,0.04753749644545684
e1m14,dot,uniform_0_1,generic_x8,8,5,0.9177675104210699,14.8,0,0.0881711777255876
e1m14,dot,uniform_0_1,word_branchy_x1,1,5,0.9100023015838005,12.8,0,0.08796933823394422
e1m14,dot,uniform_0_1,full_high_l2_x1,1,5,0.9078065953696434,15.0,0,0.09283541766012034
e1m14,dot,uniform_0_1,word_masked_x1,1,5,0.9024884973165385,12.8,0,0.09931409734568661
e1m14,dot,uniform_0_1,generic_x1,1,5,0.8894968564458849,14.4,0,0.08244338414149417
e1m14,dot,uniform_0_1,subnormal_shared_x8,8,5,0.48647230836394717,18.0,0,0.07234493817579443
e1m14,dot,uniform_0_1,subnormal_shared_x4,4,5,0.44056529308535425,19.4,0,0.07668377161040302
e1m14,gemv,normal_0_1,e1_integer_x4,4,5,1.239021316735367,1.8,1,0.049271187676000305
