distribution,component,n,m,format,strategy,storage_bits,lanes,median_time_ms,speedup_vs_fp64_x1,speedup_vs_fp64_x4,speedup_vs_same_format_current_width,cv_percent
normal_0_1,stream_decode,65536,1,fp64_e11m52,current_x4,64,4,0.0024469417525541273,1.0086913704474254,1.0,1.0,0.07469387504285355
normal_0_1,stream_load,1048576,1,e2m5,load_only_x1,8,1,0.004780804274162223,1.04444945594367,0.853132058994348,1.0,0.14417133098365834
normal_0_1,stream_load,1048576,1,e2m5,load_only_x4,8,4,0.0034065712380730692,1.4657871725431393,1.197291090959863,1.0,0.06662603311048718
normal_0_1,stream_load,1048576,1,e3m4,load_only_x1,8,1,0.004788302112099351,1.042813988387352,0.8517961687836729,1.0,0.152835958977147
normal_0_1,stream_load,1048576,1,e3m4,load_only_x4,8,4,0.0034073121491293664,1.4654684409814909,1.1970307431642773,1.0,0.19138326725681307
normal_0_1,stream_load,1048576,1,fp64_e11m52,load_only_x1,64,1,0.004993308423121906,1.0,0.8168246477983322,1.0,0.1279065582633192
normal_0_1,stream_load,1048576,1,fp64_e11m52,load_only_x4,64,4,0.004078657394064996,1.2242529687312917,1.0,1.0,0.6411297543492358
normal_0_1,stream_load,134217728,1,e2m5,load_only_x1,8,1,0.2069093566579917,1.3886372709934238,1.2084402689590346,1.0,0.0348784514814342
normal_0_1,stream_load,134217728,1,e2m5,load_only_x4,8,4,0.06638789176940918,4.327928432650628,3.766313283127013,1.0,0.07404198301491159
normal_0_1,stream_load,134217728,1,e3m4,load_only_x1,8,1,0.20670218320236994,1.3900290742998997,1.2096514644217726,1.0,0.035413187333355356
normal_0_1,stream_load,134217728,1,e3m4,load_only_x4,8,4,0.06623092213192501,4.338185776731953,3.7752395793595594,1.0,0.0514530238838547
normal_0_1,stream_load,134217728,1,fp64_e11m52,load_only_x1,64,1,0.2873220443725586,1.0,0.8702346496104939,1.0,0.03312082923179641
normal_0_1,stream_load,134217728,1,fp64_e11m52,load_only_x4,64,4,0.2500375986099243,1.1491153569299815,1.0,1.0,0.039461277510135596
normal_0_1,stream_load,16777216,1,e2m5,load_only_x1,8,1,0.01598721106075546,2.5733831403612877,2.178686825244674,1.0,0.07064816340777581
normal_0_1,stream_load,16777216,1,e2m5,load_only_x4,8,4,0.00948811430919711,4.336079653389737,3.671027242653581,1.0,0.1471017084257198
normal_0_1,stream_load,16777216,1,e3m4,load_only_x1,8,1,0.016031950102077693,2.566201812205854,2.1726069435532884,1.0,0.09596633213099756
normal_0_1,stream_load,16777216,1,e3m4,load_only_x4,8,4,0.009486687147146301,4.336731966281963,3.6715795061241616,1.0,0.15429312135690612
normal_0_1,stream_load,16777216,1,fp64_e11m52,load_only_x1,64,1,0.041141219405145604,1.0,0.8466235715443442,1.0,0.06482595979101947
normal_0_1,stream_load,16777216,1,fp64_e11m52,load_only_x4,64,4,0.03483112611047385,1.1811624830807375,1.0,1.0,0.07278142343370624
normal_0_1,stream_load,65536,1,e2m5,load_only_x1,8,1,0.002424169256156773,1.0174692123435702,0.9999878268635547,1.0,0.08480254579130761
normal_0_1,stream_load,65536,1,e2m5,load_only_x4,8,4,0.002279483123990105,1.0820512587659925,1.0634602734721428,1.0,0.008923811375286176
normal_0_1,stream_load,65536,1,e3m4,load_only_x1,8,1,0.0024221193925761096,1.0183303065940115,1.000834126444689,1.0,0.038088859331756715
normal_0_1,stream_load,65536,1,e3m4,load_only_x4,8,4,0.002279285065671231,1.082145283535634,1.0635526827793969,1.0,0.01468011973172182
normal_0_1,stream_load,65536,1,fp64_e11m52,load_only_x1,64,1,0.0024665175836493304,1.0,0.9828187572970881,1.0,0.022650836088928632
normal_0_1,stream_load,65536,1,fp64_e11m52,load_only_x4,64,4,0.0024241397464136514,1.0174815982858967,1.0,1.0,0.13586379617472127
uniform_0_1,dot,1048576,1,e2m5,branchless_x4,8,4,0.008121261101758884,1.1353914482327863,0.9542128390277717,1.2262467964925188,0.06769397753365719
uniform_0_1,dot,1048576,1,e2m5,current_x1,8,1,0.01187934104036254,0.7762055464585944,0.6523435589621437,1.0,0.08037814446877548
uniform_0_1,dot,1048576,1,e2m5,current_x4,8,4,0.009958670409511134,0.9259077793152165,0.7781572533010024,1.0,0.16883126701758494
uniform_0_1,dot,1048576,1,e2m5,lut_x1,8,1,0.008875978786061658,1.038849982188157,0.8730768514864408,1.3383696972121197,0.047062635976229554
uniform_0_1,dot,1048576,1,e2m5,lut_x4,8,4,0.006630890217233212,1.3905840847490405,1.1686834434771645,1.501860245496036,0.035400353179564165
uniform_0_1,dot,1048576,1,e3m4,branchless_x4,8,4,0.008119322654959389,1.1356625171399513,0.954440652467692,1.2982907789479612,0.03803203011018034
uniform_0_1,dot,1048576,1,e3m4,current_x1,8,1,0.012467362224191859,0.73959593360578,0.6215758773221554,1.0,0.16773368062834723
uniform_0_1,dot,1048576,1,e3m4,current_x4,8,4,0.010541241734237053,0.8747366426342551,0.7351516840018691,1.0,0.047221760792671943
uniform_0_1,dot,1048576,1,e3m4,lut_x1,8,1,0.008955243084881756,1.029654953685086,0.8653491076616013,1.392185796188968,0.12793227710462624
uniform_0_1,dot,1048576,1,e3m4,lut_x4,8,4,0.006637149751699319,1.389272616824985,1.1675812513362471,1.5882181551709245,0.04081710792666645
uniform_0_1,dot,1048576,1,fp64_e11m52,current_x1,64,1,0.009220810403802612,1.0,0.840426304525179,1.0,0.04098784702881585
uniform_0_1,dot,1048576,1,fp64_e11m52,current_x4,64,4,0.007749411612395153,1.189872323861848,1.0,1.0,0.05469963546107143
uniform_0_1,dot,134217728,1,e2m5,branchless_x4,8,4,0.3059810869621508,1.643602195192119,1.6524497854430724,1.667075565557781,0.11080838859329728
uniform_0_1,dot,134217728,1,e2m5,current_x1,8,1,0.6183311577999231,0.8133363164289895,0.8177145452273165,1.0,0.0652312451212801
uniform_0_1,dot,134217728,1,e2m5,current_x4,8,4,0.5100935935974121,0.9859194322977146,0.9912266843705942,1.0,0.06119260059092038
uniform_0_1,dot,134217728,1,e2m5,lut_x1,8,1,0.2625044270565635,1.9158198277162624,1.9261327786723206,2.3555075422278016,0.03494885770013973
uniform_0_1,dot,134217728,1,e2m5,lut_x4,8,4,0.130749284831527,3.846378103454046,3.8670833431459553,3.9013107739340804,0.11066585405476961
uniform_0_1,dot,134217728,1,e3m4,branchless_x4,8,4,0.3067447199965968,1.639510490103436,1.64833605450765,1.9358039076399394,0.10654424029045746
