gpu,compute_capability,distribution,format,strategy,storage_bits,component,lanes,n,m,blocks,threads,decode_repeats,decoded_values,source_bytes,lookup_bytes_requested,useful_flops,sample_count,median_time_ms,mean_time_ms,stdev_time_ms,cv_percent,mad_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,median_decoded_gvalues_per_s,median_source_gb_per_s,median_lookup_gb_per_s,median_useful_gflop_per_s
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x4,8,stream_load,4,16777216,1,2112,256,0,0.0,16777216.0,0.0,0.0,15,0.00948811430919711,0.009495601563009841,1.3968192124486829e-05,0.1471017084257198,7.5605433425361e-06,0.00948126196576758,0.009513659124442672,0.009480553765854573,0.009513832788763296,0.0,1768.2350204968914,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x4,8,stream_load,4,65536,1,64,256,0,0.0,65536.0,0.0,0.0,15,0.002279483123990105,0.002279476613738778,2.0341619335380922e-07,0.008923811375286176,1.6256252569415985e-07,0.002279161273440129,0.0022797301260255695,0.0022791386231907204,0.002279775697784858,0.0,28.750377359795046,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,dot,1,1048576,1,2112,256,0,2097152.0,2130952.0,8388608.0,2097152.0,15,0.009205976323266724,0.009205869329989612,2.8331293620870746e-06,0.030775250663809626,1.982961001841671e-06,0.009201849165873313,0.009209773235651184,0.009199472594567347,0.009210586547851562,227.80332322816898,231.47485124574334,911.2132929126759,227.80332322816898
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,dot,1,134217728,1,2112,256,0,268435456.0,268469256.0,1073741824.0,268435456.0,15,0.266933892902575,0.2669613486842105,0.0001098846282524623,0.04116125004389501,6.525140059621126e-05,0.2668434645000257,0.2671670712922749,0.26680632641440943,0.26717768217387955,1005.6252245868718,1005.7518476980566,4022.5008983474872,1005.6252245868718
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,dot,1,16777216,1,2112,256,0,33554432.0,33588232.0,134217728.0,33554432.0,15,0.03220453021907005,0.03220998769380799,4.565365224380291e-05,0.14173756499937848,3.097918855041876e-05,0.03214729116744354,0.03227814586222672,0.032130313520671944,0.032284395233923645,1041.9165183204752,1042.966060101401,4167.666073281901,1041.9165183204752
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,dot,1,65536,1,256,256,0,131072.0,135176.0,524288.0,131072.0,15,0.004998469402845205,0.005000643183265549,5.8641114555154696e-06,0.11726714425735237,5.3257397529373265e-06,0.00499330856788384,0.005007782497018388,0.004993143663092268,0.005008112072694026,26.22242719449114,27.04347853426006,104.88970877796456,26.22242719449114
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,gemv,1,1024,1024,1024,256,0,2097152.0,1057792.0,8388608.0,2097152.0,15,0.004666863418206936,0.004668070860837375,1.608807806284387e-05,0.3446408279234633,1.3447625116839133e-05,0.00464430427425538,0.0046893585647653415,0.004639704760235237,0.00469220839760063,449.37076834482343,226.66015805673956,1797.4830733792937,449.37076834482343
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,gemv,1,16384,1024,1024,256,0,33554432.0,16801792.0,134217728.0,33554432.0,15,0.02536304119390522,0.02535034987422751,5.2604721270157796e-05,0.20751082936191936,2.4541571798337297e-05,0.025270226329110364,0.025414156814554032,0.025267306048727897,0.02541723264569879,1322.9656389969189,662.4517884723342,5291.8625559876755,1322.9656389969189
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,gemv,1,4096,1024,1024,256,0,8388608.0,4206592.0,33554432.0,8388608.0,15,0.008834122197647301,0.008832013866222344,7.775290429448997e-06,0.08803530595876055,4.571467397025686e-06,0.008819512421230101,0.00884080470411604,0.008817060938421285,0.008845610502916526,949.5689342212235,476.1754372290998,3798.275736884894,949.5689342212235
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,gemv,1,65536,1024,1024,256,0,134217728.0,67182592.0,536870912.0,134217728.0,15,0.12179004855272246,0.12188365440058514,0.00025698776578977797,0.21084678421698538,0.00017346405401462428,0.12161641004608899,0.12224663176187654,0.12161600298997832,0.12229853141598584,1102.0418301409711,551.6262847281557,4408.1673205638845,1102.0418301409711
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,register_decode,1,134217728,1,528,256,256,34603008.0,135168.0,138412032.0,34603008.0,15,0.008630012339879844,0.008628459306386624,3.3641722121618776e-06,0.038989257441033306,2.1521315682355296e-06,0.008623932519242993,0.008632583344007174,0.008623392430174277,0.00863356071331173,4009.6128067044897,15.662550026189413,16038.451226817959,4009.6128067044897
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,stream_decode,1,1048576,1,2112,256,0,1048576.0,1048576.0,4194304.0,1048576.0,15,0.0050746980995331125,0.005075522134776929,3.767749030430963e-06,0.07423372276548168,3.1513432922573165e-06,0.005071284677048099,0.005080218898401477,0.005070673158931666,0.005080613582481906,206.62825244647996,206.62825244647996,826.5130097859198,206.62825244647996
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,stream_decode,1,134217728,1,2112,256,0,134217728.0,134217728.0,536870912.0,134217728.0,15,0.2238590583372652,0.22388360241379185,0.0001219886251994993,0.05448752114236324,7.47937834664758e-05,0.2237308095010479,0.22408510701040207,0.2237285442566604,0.22413770268472394,599.5635333987159,599.5635333987159,2398.2541335948636,599.5635333987159
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,stream_decode,1,16777216,1,2112,256,0,16777216.0,16777216.0,67108864.0,16777216.0,15,0.018670538197393,0.018668303420578226,1.6559298631040884e-05,0.08870275063553677,1.1201526807703976e-05,0.018647606061852496,0.01869220090949017,0.01863199938898501,0.018694295053896696,898.5930572875842,898.5930572875842,3594.372229150337,898.5930572875842
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x1,8,stream_decode,1,65536,1,256,256,0,65536.0,65536.0,262144.0,65536.0,15,0.0028382826842762716,0.0028382746794416297,1.5880133490558838e-07,0.005594995299638482,1.0470145496649721e-07,0.002837983616822458,0.002838488990696366,0.0028379313774795013,0.0028384994385649573,23.090018609866164,23.090018609866164,92.36007443946465,23.090018609866164
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,dot,4,1048576,1,1024,256,0,2097152.0,2113544.0,8388608.0,2097152.0,15,0.007271757308482456,0.0072698669160394195,1.131576201956134e-05,0.15565294592388634,9.864582630142102e-06,0.0072551321949929845,0.007282282336189166,0.007254284712155809,0.007283161311214185,288.3968635138148,290.6510641567431,1153.5874540552593,288.3968635138148
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,1073741824.0,268435456.0,15,0.1389886157613405,0.1389456663892862,0.00019808056298615016,0.1425597272182529,4.754939549406201e-05,0.13847330523208834,0.13909079994953852,0.1384718854662398,0.13911256655840806,1931.348510304863,1931.5916956896144,7725.394041219452,1931.348510304863
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,dot,4,16777216,1,2112,256,0,33554432.0,33588232.0,134217728.0,33554432.0,15,0.024017089324471837,0.02400330315501694,3.417283871350069e-05,0.1423672337628174,1.9517868601211935e-05,0.023946503694144843,0.024041181084997365,0.02394609301502168,0.02404393700404941,1397.1065163924854,1398.5138476283134,5588.426065569942,1397.1065163924854
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,dot,4,65536,1,64,256,0,131072.0,132104.0,524288.0,131072.0,15,0.004838825358436835,0.004838755664788962,4.99307121261395e-07,0.010318915767844869,4.856883373130852e-07,0.0048381072542291615,0.004839493960413706,0.00483806962867142,0.004839516715990543,27.087565739785727,27.300840640935167,108.35026295914291,27.087565739785727
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,gemv,4,1024,1024,1024,256,0,2097152.0,1057792.0,8388608.0,2097152.0,15,0.004482132796866302,0.0044809022367635195,9.342301019330157e-06,0.2084915163442161,8.196737022306277e-06,0.004468600462929915,0.004496210447400443,0.004468304812175929,0.00449812295102956,467.8915362494906,236.0019321024042,1871.5661449979625,467.8915362494906
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,gemv,4,16384,1024,1024,256,0,33554432.0,16801792.0,134217728.0,33554432.0,15,0.01974315306471936,0.019731746165519082,2.5850480859881276e-05,0.1310095956183269,9.570427025127476e-06,0.019694128520704526,0.019759921732854107,0.019689924143271205,0.019760811828882754,1699.5477819579453,851.0186769520865,6798.191127831781,1699.5477819579453
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,gemv,4,4096,1024,1024,256,0,8388608.0,4206592.0,33554432.0,8388608.0,15,0.007629727375249423,0.007631795314383305,1.1333042967348107e-05,0.14849773219139178,4.395155668931658e-06,0.007620167844382975,0.007652206725930673,0.007613983226069166,0.007660898978375985,1099.4636619930038,551.3423734701245,4397.854647972015,1099.4636619930038
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,536870912.0,134217728.0,15,0.07353070624788902,0.07352644841473802,6.620024170756429e-05,0.09003595731178385,3.296271302646869e-05,0.07343582640913196,0.07360784200797404,0.07342327806286346,0.07370249669354662,1825.3289659359584,913.6671661157712,7301.315863743834,1825.3289659359584
