gpu,compute_capability,distribution,format,strategy,storage_bits,component,lanes,n,m,blocks,threads,decode_repeats,decoded_values,source_bytes,lookup_bytes_requested,useful_flops,sample_count,median_time_ms,mean_time_ms,stdev_time_ms,cv_percent,mad_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,median_decoded_gvalues_per_s,median_source_gb_per_s,median_lookup_gb_per_s,median_useful_gflop_per_s
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x1,64,dot,1,134217728,1,2112,256,0,268435456.0,2147517448.0,0.0,268435456.0,15,0.5031599998474121,0.503177391688029,0.00019790751447663012,0.03933155935577749,0.0001232147216796431,0.502873592376709,0.5034424781799317,0.5027448177337647,0.5034912109375,533.4991972362777,4268.060753341391,0.0,533.4991972362777
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x1,64,gemv,1,65536,1024,1024,256,0,134217728.0,537403392.0,0.0,134217728.0,15,0.14992457224910422,0.1499328488992868,0.00011413645427757254,0.07612504872380603,8.68632381123835e-05,0.14979004967481568,0.15009907600574923,0.14976193134049723,0.1501396724155971,895.235023762437,3584.4917476708756,0.0,895.235023762437
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x1,64,register_decode,1,134217728,1,528,256,256,34603008.0,1081344.0,0.0,34603008.0,15,0.008469473186292147,0.008471041160717344,1.5497098829702103e-05,0.1829420792046981,1.3489974172491148e-05,0.00845492895025956,0.008493320364701122,0.0084538439700478,0.008494888104890522,4085.6151544354625,127.6754735761082,0.0,4085.6151544354625
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x1,64,stream_decode,1,134217728,1,2112,256,0,134217728.0,1073741824.0,0.0,134217728.0,15,0.28718629564557757,0.28717056274414066,0.00011624866169835995,0.040480702683280814,8.822849818640455e-05,0.2870005961826869,0.28733452660696845,0.28695131029401505,0.28733485085623606,467.3542227991298,3738.8337823930383,0.0,467.3542227991298
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x4,64,dot,4,134217728,1,2112,256,0,268435456.0,2147517448.0,0.0,268435456.0,15,0.5064104080200196,0.5064218107859294,0.0008265192491610151,0.16320767225217217,0.0006343841552733931,0.5052194356918336,0.5074150562286377,0.5046207904815674,0.5076704025268555,530.0749189763653,4240.666096094738,0.0,530.0749189763653
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x4,64,gemv,4,65536,1024,1024,256,0,134217728.0,537403392.0,0.0,134217728.0,15,0.13134070895365532,0.13139659047916236,0.0003640646588247617,0.2770731397954327,0.0003549689488695218,0.13090671766672704,0.13189993346763762,0.1308662212447615,0.13192900600812293,1021.9050062182918,4091.6742134354345,0.0,1021.9050062182918
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x4,64,register_decode,4,134217728,1,528,256,256,138412032.0,4325376.0,0.0,138412032.0,15,0.014789967989697225,0.014792228526867861,2.6113189840519158e-05,0.17653316938072228,2.009324072975785e-05,0.014758060608693328,0.014829582919209713,0.01474537616922266,0.014836365999167959,9358.507881586938,292.4533712995918,0.0,9358.507881586938
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,current_x4,64,stream_decode,4,134217728,1,2112,256,0,134217728.0,1073741824.0,0.0,134217728.0,15,0.24978399276733398,0.24976151943206787,0.00012997961500592112,0.05204148953829295,6.639957427978516e-05,0.24958271741867066,0.24991924524307252,0.24950599670410156,0.250052809715271,537.3351851454294,4298.681481163435,0.0,537.3351851454294
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,load_only_x1,64,stream_load,1,134217728,1,2112,256,0,0.0,1073741824.0,0.0,0.0,15,0.2873220443725586,0.28731532142275856,9.516121696521884e-05,0.03312082923179641,6.261553083147797e-05,0.28716160910470145,0.28742715563092913,0.287132808140346,0.2874697276524135,0.0,3737.0673257765197,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,fp64_e11m52,load_only_x4,64,stream_load,4,134217728,1,2112,256,0,0.0,1073741824.0,0.0,0.0,15,0.2500375986099243,0.24999807834625243,9.865243546622088e-05,0.039461277510135596,5.159378051761143e-05,0.2498217511177063,0.2500932335853577,0.24974279403686522,0.25009799003601074,0.0,4294.321453931057,0.0,0.0
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.3059810869621508,0.30599737841673574,0.00033907076416131893,0.11080838859329728,0.00021576158928149347,0.30551326636112097,0.30646418369177614,0.3051456971602006,0.3065008394645922,877.2942754896641,877.4047398335082,0.0,877.2942754896641
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.16578312080447413,0.16581865732743292,0.00010974562456497525,0.06618412326682072,4.383696227514e-05,0.1657243456159319,0.16597165340135078,0.16570325258399257,0.16617250843208378,809.5982712154237,405.24386122056205,0.0,809.5982712154237
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,register_decode,4,134217728,1,528,256,256,138412032.0,540672.0,0.0,138412032.0,15,0.06411782953123384,0.06407939919309638,6.955195321864791e-05,0.10854027049951041,3.210914056032965e-05,0.0639877635122135,0.06415279527373662,0.06398590668937229,0.06416243748949063,2158.7136216545678,8.432475084588155,0.0,2158.7136216545678
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_x4,8,stream_decode,4,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.16119440590463033,0.161148842498862,0.0001637978198089521,0.10164380784187686,7.309952402503872e-05,0.16084084239432483,0.16131506663996997,0.16081535525438262,0.16136898257868076,832.6450737962276,832.6450737962276,0.0,832.6450737962276
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,dot,1,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.6183311577999231,0.6183139608363912,0.0004033338954122822,0.0652312451212801,0.00034326495546288527,0.6176993861342921,0.6188584703387636,0.6176280975341797,0.6188625566887133,434.12894953428685,434.1836127993894,0.0,434.12894953428685
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,gemv,1,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.3443685400074926,0.3441986171678565,0.0003936166433168956,0.11435741565601329,0.00014676718876277528,0.34353500563522865,0.344598230822333,0.34351339011356746,0.3446758533346242,389.75025998913765,195.08922620672107,0.0,389.75025998913765
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,register_decode,1,134217728,1,528,256,256,34603008.0,135168.0,0.0,34603008.0,15,0.06635265609845012,0.06636879071086442,5.6608316238785705e-05,0.08529357794900887,4.996085653499738e-05,0.06630230209454387,0.06644104548863003,0.06630138475067761,0.06645833878290086,521.5014746155468,2.03711513521698,0.0,521.5014746155468
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x1,8,stream_decode,1,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.3375418663024902,0.33755555470784504,0.0006674222830998938,0.19772220417985686,0.0005621274312337388,0.33670768419901526,0.33838368097941085,0.3366191864013672,0.3388906796773275,397.6328313588216,397.6328313588216,0.0,397.6328313588216
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,dot,4,134217728,1,2112,256,0,268435456.0,268469256.0,0.0,268435456.0,15,0.5100935935974121,0.5099789873758952,0.00031206940484255184,0.06119260059092038,0.0001327991485595703,0.509467511177063,0.510260968208313,0.5091135978698731,0.510313606262207,526.2474560930495,526.3137184425954,0.0,526.2474560930495
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,gemv,4,65536,1024,1024,256,0,134217728.0,67182592.0,0.0,134217728.0,15,0.26831446329752606,0.2683219045003255,0.00016632618271150904,0.061987552980903686,7.425944010419627e-05,0.2681387990315755,0.2685591812133789,0.26806442260742186,0.2688076782226563,500.22546809625345,250.3875161045761,0.0,500.22546809625345
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,current_x4,8,register_decode,4,134217728,1,528,256,256,138412032.0,540672.0,0.0,138412032.0,15,0.2673028310139974,0.2671814541286892,0.00027515351904293806,0.10298376432610067,0.00025899251302086146,0.26686792755126953,0.26754478708902996,0.2668407440185547,0.26756182352701824,517.8098244412234,2.022694626723529,0.0,517.8098244412234
