mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
smoke,initial,dot,fma32f,16,16,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,54,0.0102399997,4.8477909158201193e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fp32_to_fp64,0,0,65536,64,1024,float32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,55,0.00505599985,3.0412120014494147e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,56,0.00953599997,4.8400028566809455e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,57,0.00585599989,3.0412120014494147e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,58,0.00950399972,4.8360950566804723e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,raw_fp64,0,0,65536,64,1024,float64,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,59,0.00860800035,3.0412120025764436e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,12,12,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,60,0.00531199994,3.0485205245222491e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,61,0.0055999998,3.0436577928756894e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fp32_to_fp64,0,0,1048576,0,0,float32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,62,0.00944000017,4.8322272803707558e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,1,1,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,63,0.00918400008,4.8380967461162274e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,1,1,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,64,0.00940799993,4.8331939345157035e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,12,12,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,65,0.00521600014,2.9942221275893062e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,66,0.00937599968,4.8341700054472767e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,67,0.00553599978,3.0460824038206476e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,24,24,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,68,0.0111999996,4.8323379278555873e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,69,0.0100800004,4.8424583022599095e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,70,0.0141439997,4.8322272803707558e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,16,16,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,71,0.00995200034,4.8323010452189389e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,1,1,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,0,0.00528000016,3.0418232609040081e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,1,0.011616,4.8323748106318124e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,2,0.00515200011,2.9539951415816194e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,1,1,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,3,0.00528000016,3.0798665737164657e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,4,0.00543999998,3.0412351190420189e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,5,0.00531199994,3.0460824038206476e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,6,0.00579199987,3.0608333704873348e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,7,0.00547200022,3.0413044723475034e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,u32_base,0,0,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,8,0.00521600014,3.0412120014494147e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,9,0.00940799993,4.8322457215302542e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,10,0.00924799964,4.8331568604267594e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
