gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x8,gemv,8,1024,256,8,0,0,3,0.003839555713865492,0.0038374221987194485,0.0038510223229726156,0.19034570449695695
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_global_x8,gemv,8,4096,256,8,0,0,3,0.0049810758952436775,0.004975117075032201,0.0049826206832096495,0.07957020220645836
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_shared_x4,dot,4,4194304,1,8,2048,0,3,0.015338576446145268,0.015329355910672979,0.015340474702544132,0.03878211122556526
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,3,0.005019103080776663,0.00501363684698356,0.005019103080776663,0.06290123176500298
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_shared_x4,gemv,4,1024,256,8,2048,0,3,0.0033864999810854592,0.0033852501461903253,0.0033868333945671716,0.024648859811742387
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_fp64_shared_x4,gemv,4,4096,256,8,2048,0,3,0.004855322029631017,0.004852067818075924,0.004855539030947928,0.04005703021910262
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,4194304,1,4,0,1,3,0.012676085140688199,0.012674496528950143,0.01268402819937848,0.04027914799018094
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,3,0.005020832852698837,0.005017556428095586,0.005023126309235348,0.055758519329794906
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_pipelined_x4,gemv,4,1024,256,4,0,1,3,0.0032825176485903975,0.003279756470985219,0.003283005075406302,0.05338322887187545
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_pipelined_x4,gemv,4,4096,256,4,0,1,3,0.004367950530982239,0.004366464290087437,0.00436834691109672,0.022724127648690858
