gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample,iterations,total_time_ms,time_ms
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,dot,8,65536,1,4,0,0,0,283,1.4153920412063599,0.0050013853046161124
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,dot,8,65536,1,4,0,0,1,283,1.4169280529022217,0.0050068129077817025
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,dot,8,65536,1,4,0,0,2,283,1.4159040451049805,0.0050031945056713094
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,dot,8,65536,1,8,0,0,0,291,1.4602559804916382,0.0050180617886310588
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,dot,8,65536,1,8,0,0,1,291,1.4599360227584839,0.0050169622775205628
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,dot,8,65536,1,8,0,0,2,291,1.4612159729003906,0.0050213607316164626
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,0,290,1.4477440118789673,0.0049922207306171288
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,1,290,1.4486720561981201,0.0049954208834417932
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,2,290,1.4468159675598145,0.0049890205777924634
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,0,289,1.448896050453186,0.0050134811434366299
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,1,289,1.4513599872589111,0.0050220068763284125
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,2,289,1.4482560157775879,0.0050112664905798887
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,0,293,1.4697599411010742,0.0050162455327681715
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,1,293,1.4704639911651611,0.0050186484340107888
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,65536,1,8,0,0,2,293,1.4690239429473877,0.0050137335936770912
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,0,290,1.4508479833602905,0.0050029240805527257
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,1,290,1.4488639831542969,0.0049960827005320584
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,65536,1,4,1024,0,2,290,1.4489279985427856,0.0049963034432509851
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,0,298,1.4912960529327393,0.0050043491709152324
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,1,298,1.4932479858398438,0.0050108992813417573
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_shared_x4,dot,4,65536,1,8,2048,0,2,298,1.4920320510864258,0.0050068189633772674
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,0,297,1.4536960124969482,0.0048945993686765931
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,1,297,1.4521280527114868,0.0048893200427996188
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,2,297,1.4552320241928101,0.0048997711252283171
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,0,286,1.427839994430542,0.0049924475329739234
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,1,286,1.4272639751434326,0.0049904334795224919
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_pipelined_x4,dot,4,65536,1,4,0,1,2,286,1.4284800291061401,0.0049946854164550358
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,0,293,1.4616960287094116,0.0049887236474723947
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,1,293,1.4608960151672363,0.0049859932258267455
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_pipelined_x4,dot,4,65536,1,4,0,1,2,293,1.4615360498428345,0.0049881776445147939
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,dot,1,4194304,1,0,0,0,0,74,1.8602559566497803,0.025138594008780813
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,dot,1,4194304,1,0,0,0,1,74,1.8598719835281372,0.025133405182812665
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x1,dot,1,4194304,1,0,0,0,2,74,1.8573759794235229,0.025099675397615175
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,dot,1,4194304,1,0,0,0,0,100,1.798975944519043,0.017989759445190431
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,dot,1,4194304,1,0,0,0,1,100,1.7986880540847778,0.01798688054084778
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x1,dot,1,4194304,1,0,0,0,2,100,1.7958400249481201,0.017958400249481202
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,dot,1,4194304,1,4,0,0,0,138,1.7754240036010742,0.012865391330442566
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,dot,1,4194304,1,4,0,0,1,138,1.7760319709777832,0.012869796891143356
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x1,dot,1,4194304,1,4,0,0,2,138,1.7730879783630371,0.012848463611326355
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,dot,1,4194304,1,8,0,0,0,125,1.7624319791793823,0.014099455833435059
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,dot,1,4194304,1,8,0,0,1,125,1.7639360427856445,0.014111488342285157
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x1,dot,1,4194304,1,8,0,0,2,125,1.7631360292434692,0.014105088233947754
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,dot,1,4194304,1,4,0,0,0,132,1.7394880056381226,0.013177939436652443
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,dot,1,4194304,1,4,0,0,1,132,1.7391680479049683,0.013175515514431578
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x1,dot,1,4194304,1,4,0,0,2,132,1.7388800382614136,0.013173333623192528
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,dot,2,4194304,1,0,0,0,0,80,1.8573440313339233,0.023216800391674043
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,dot,2,4194304,1,0,0,0,1,80,1.8564159870147705,0.023205199837684633
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x2,dot,2,4194304,1,0,0,0,2,80,1.8575359582901001,0.023219199478626253
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x2,dot,2,4194304,1,0,0,0,0,105,1.8076159954071045,0.017215390432448616
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x2,dot,2,4194304,1,0,0,0,1,105,1.8067840337753296,0.017207466988336473
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x2,dot,2,4194304,1,0,0,0,2,105,1.8080639839172363,0.017219656989687963
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x2,dot,2,4194304,1,4,0,0,0,147,1.7616640329360962,0.01198410906759249
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x2,dot,2,4194304,1,4,0,0,1,147,1.7606079578399658,0.011976924883265074
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x2,dot,2,4194304,1,4,0,0,2,147,1.7602239847183228,0.011974312821213079
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x2,dot,2,4194304,1,8,0,0,0,127,1.7318400144577026,0.013636535546911044
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x2,dot,2,4194304,1,8,0,0,1,127,1.7323199510574341,0.013640314575255387
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x2,dot,2,4194304,1,8,0,0,2,127,1.7316479682922363,0.013635023372379814
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x2,dot,2,4194304,1,4,0,0,0,143,1.7554559707641602,0.012275915879469652
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x2,dot,2,4194304,1,4,0,0,1,143,1.7569600343704224,0.01228643380678617
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x2,dot,2,4194304,1,4,0,0,2,143,1.7568000555038452,0.012285315073453464
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x4,dot,4,4194304,1,0,0,0,0,80,1.8505599498748779,0.023131999373435973
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x4,dot,4,4194304,1,0,0,0,1,80,1.8523520231246948,0.023154400289058685
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x4,dot,4,4194304,1,0,0,0,2,80,1.8510080575942993,0.023137600719928743
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x4,dot,4,4194304,1,0,0,0,0,105,1.8027839660644531,0.017169371105375746
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x4,dot,4,4194304,1,0,0,0,1,105,1.8034559488296509,0.017175770941234771
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x4,dot,4,4194304,1,0,0,0,2,105,1.8044480085372925,0.017185219128926597
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x4,dot,4,4194304,1,4,0,0,0,148,1.7129919528961182,0.011574269952000799
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x4,dot,4,4194304,1,4,0,0,1,148,1.7151360511779785,0.01158875710255391
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x4,dot,4,4194304,1,4,0,0,2,148,1.7103999853134155,0.011556756657523077
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x4,dot,4,4194304,1,8,0,0,0,133,1.7855039834976196,0.01342484198118511
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x4,dot,4,4194304,1,8,0,0,1,133,1.7852799892425537,0.013423157813853788
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x4,dot,4,4194304,1,8,0,0,2,133,1.7845439910888672,0.013417623993149377
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x4,dot,4,4194304,1,4,0,0,0,147,1.7273600101470947,0.011750748368347583
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x4,dot,4,4194304,1,4,0,0,1,147,1.7253119945526123,0.011736816289473553
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x4,dot,4,4194304,1,4,0,0,2,147,1.726688027381897,0.011746177057019707
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x8,dot,8,4194304,1,0,0,0,0,79,1.8673280477523804,0.02363706389559975
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x8,dot,8,4194304,1,0,0,0,1,79,1.8685760498046875,0.023652861389932753
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,generic_fp64_x8,dot,8,4194304,1,0,0,0,2,79,1.8663680553436279,0.023624912092957317
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x8,dot,8,4194304,1,0,0,0,0,106,1.8148479461669922,0.017121207039311248
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x8,dot,8,4194304,1,0,0,0,1,106,1.8164479732513428,0.01713630163444663
