stage,kernel,family,k,n,q1_ms,median_ms,q3_ms,ratio_fp32_to_fp64,ratio_raw_fp64
initial,dot,mul32f,12,50,0.2874160115,0.28795200600000004,0.28841600575,1.072079607732174,0.9458664045523073
initial,dot,mul32f,16,50,0.293839991,0.2944160105,0.29503199425,1.0961458662208852,0.967099403691146
initial,dot,mul32f,24,50,0.31047199675,0.3111200035,0.311872005,1.1583368212753917,1.0219687759176306
initial,dot,mul32f,32,50,0.330688,0.33102400600000004,0.33171199225000003,1.2324417927562996,1.0873495577444299
initial,dot,raw_fp32,0,50,0.26484799375,0.265231997,0.2656879945,0.9874903087210342,0.87123558838697
initial,dot,raw_fp64,0,50,0.3039760065,0.304432005,0.30538400275,1.1334366064514207,1.0
initial,dot,rot32,1,50,0.272159994,0.272783995,0.27369601275,1.0156072965687735,0.8960424348287559
initial,dot,rot32,2,50,0.274080008,0.27454400050000005,0.27539200375,1.0221600066271521,0.9018237110122507
initial,dot,rot32,4,50,0.277280003,0.27790400400000004,0.278296009,1.0346696997676774,0.9128606698234636
initial,dot,rot32,8,50,0.29163999125,0.29208,0.2928239925,1.0874486209566927,0.9594260629725839
initial,dot,rot32,12,50,0.30723200775,0.308176011,0.30871999975000003,1.1473759866265565,1.0122983324305868
initial,dot,rot32,16,50,0.32599199525,0.32692800450000004,0.32757600375,1.2171918914189552,1.0738949884720563
initial,dot,rot32,24,50,0.38510400075,0.38619199400000004,0.38702399275,1.4378387814975875,1.2685656818506978
initial,dot,rot32,32,50,0.48048000825,0.4819680005,0.48274399325,1.7944242587269912,1.5831712585541062
initial,dot,u32_base,0,50,0.2710160095,0.27150399999999997,0.272159994,1.0108417227616606,0.8918378998949206
initial,gemv,add32f,1,50,0.129472002,0.1298400015,0.130384002,1.0266953397536795,0.8388464345996912
initial,gemv,add32f,2,50,0.130247995,0.130495995,0.13122399499999998,1.0318825352371817,0.8430845569213055
initial,gemv,add32f,4,50,0.132320002,0.132720001,0.13339999675,1.0494686147920578,0.8574530064135701
initial,gemv,add32f,8,50,0.14104799525,0.1413599995,0.141784001,1.117788439907192,0.9132727218552068
initial,gemv,add32f,12,50,0.1514,0.15188799800000002,0.15243199875,1.2010374145837963,0.9812900809369218
initial,gemv,add32f,16,50,0.164583996,0.1652799995,0.165664002,1.3069331737580154,1.0678106645833159
initial,gemv,add32f,24,50,0.19355199825,0.19417599600000002,0.19471200175,1.5354250453026153,1.254496611581169
initial,gemv,add32f,32,50,0.22958400499999998,0.230048001,0.23063199975,1.8190789265074816,1.4862518730457361
initial,gemv,fma32f,1,50,0.12944799675000002,0.1296159995,0.13013600175,1.0249240689061856,0.8373992436194662
initial,gemv,fma32f,2,50,0.13051199525,0.1309920025,0.131295994,1.035804659257897,0.8462890710779825
initial,gemv,fma32f,4,50,0.132640004,0.133119993,0.13365600275,1.0526315069485148,0.8600372012625542
initial,gemv,fma32f,8,50,0.142368004,0.14267200200000002,0.143199995,1.1281629534387188,0.9217490666379885
initial,gemv,fma32f,12,50,0.153663993,0.1541759965,0.15476799375,1.2191295076997484,0.9960719614199901
initial,gemv,fma32f,16,50,0.16792000425,0.1684959975,0.168960005,1.3323633194843858,1.088587993794759
initial,gemv,fma32f,24,50,0.199264005,0.1997599975,0.20057599975,1.5795799147649938,1.2905727028855452
initial,gemv,fma32f,32,50,0.235952001,0.23652800200000001,0.23715200275,1.870318812147033,1.5281166733557734
initial,gemv,fp32_to_fp64,0,50,0.126016006,0.126464002,0.126944005,1.0,0.8170353970837578
initial,gemv,mul32f,1,50,0.129503995,0.1297920045,0.130263999,1.0263158088259774,0.8385363443974704
initial,gemv,mul32f,2,50,0.13027999925,0.1306720005,0.131231993,1.0332742791106675,0.8442216609296178
initial,gemv,mul32f,4,50,0.13235999675,0.132576004,0.133016005,1.0483299745646197,0.8565226970432097
initial,gemv,mul32f,8,50,0.141120002,0.141504005,0.142015994,1.1189271473474325,0.9142030861408059
initial,gemv,mul32f,12,50,0.15138400325,0.1518559975,0.15231199975,1.2007843741968565,0.9810833379839003
initial,gemv,mul32f,16,50,0.164511994,0.1649120005,0.16561599475,1.3040232626830834,1.0654331642327306
initial,gemv,mul32f,24,50,0.194015995,0.194335997,0.195024002,1.53669023537623,1.2555303166553513
initial,gemv,mul32f,32,50,0.22970400400000002,0.23017599449999998,0.23076000075,1.820091020842437,1.4870787899425826
initial,gemv,raw_fp32,0,50,0.12420799925,0.124448001,0.124871997,0.9840586967981608,0.8040107880922106
initial,gemv,raw_fp64,0,50,0.15416000400000002,0.154783994,0.15532000399999998,1.2239371801629368,1.0
initial,gemv,rot32,1,50,0.129896,0.1304479985,0.130751997,1.0315030082631735,0.8427744699493928
initial,gemv,rot32,2,50,0.130352002,0.130784005,0.131231993,1.0341599422102743,0.8449452790318875
initial,gemv,rot32,4,50,0.137711998,0.138208002,0.13864800324999998,1.0928643710010064,0.8929088753194984
initial,gemv,rot32,8,50,0.159424007,0.160063997,0.160735995,1.2656882153705686,1.0341120736295253
initial,gemv,rot32,12,50,0.187368002,0.187616006,0.18824799775,1.4835526555612246,1.2121150330311286
initial,gemv,rot32,16,50,0.222655997,0.22340799900000002,0.223864004,1.7665738507943156,1.443353367661517
initial,gemv,rot32,24,50,0.29490400125,0.295599997,0.29598399999999997,2.3374240283808194,1.9097581691812398
initial,gemv,rot32,32,50,0.36798399675,0.368831992,0.369207993,2.9164978663256287,2.382881992307292
initial,gemv,u32_base,0,50,0.12739999600000002,0.127680004,0.128128007,1.0096154002780966,0.8248915194680918
